model,``,our,advice,to,garc,is,to,reconsider,their,planned,parade,this,friday,to,take,a,step,back,and,act,in,the,interests,of,peace,in,our,community,.
protest,-1,-1,0.20053946443138293,-1,-0.0358004162906862,-1,-1,0.277521045551259,-1,0.531022993444013,0.42475979530185803,-1,0.5204792641496058,-1,0.38733041879391883,-1,0.3764017242252562,-1,-1,0.3177306046879884,-1,-1,0.29503643683657566,-1,0.3490337101095392,-1,-1,0.4047594650419013,-1
against,-1,-1,0.2229839389082986,-1,-0.006464388150241973,-1,-1,0.1809215832587323,-1,0.35308151426451073,0.23198725106469553,-1,0.463834040655982,-1,0.37781769870654225,-1,0.30782478976712957,-1,-1,0.4379663075927027,-1,-1,0.3615346413820746,-1,0.28174951916421964,-1,-1,0.28142427487316257,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
orange,-1,-1,0.14919222011119415,-1,0.01495437775916697,-1,-1,0.1665364186345928,-1,0.14325441574881548,0.5303173047636928,-1,0.21579597147740603,-1,0.15105529315353539,-1,0.0772452385805853,-1,-1,0.3741301208497717,-1,-1,0.2416582646232246,-1,0.22806490428593806,-1,-1,0.41368552189569874,-1
order,-1,-1,0.49990007746624576,-1,-0.0010516849133941353,-1,-1,0.4010400167381717,-1,0.29756959614555445,0.3095934427859601,-1,0.3903889644786549,-1,0.42849298480265563,-1,0.3380441822522291,-1,-1,0.6244811458184246,-1,-1,0.46296670380177296,-1,0.38744418847846107,-1,-1,0.5671024317251657,-1
parade,-1,-1,0.1231927495006242,-1,-0.020226397941892182,-1,-1,0.21035509698370003,-1,0.41884502547426905,1.0,-1,0.39410815430754975,-1,0.3066644067956684,-1,0.18122423378410601,-1,-1,0.15324113545369578,-1,-1,0.1823421244570138,-1,0.23379533848487322,-1,-1,0.2603139241815119,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
north,-1,-1,0.18117430414041402,-1,-0.012024726596768787,-1,-1,0.09583322726362331,-1,0.333282951756638,0.38491822378066765,-1,0.49093255872085895,-1,0.3853003114194832,-1,0.33454991573845305,-1,-1,0.2960101642783758,-1,-1,0.27839628674000094,-1,0.23930875342014069,-1,-1,0.5282843023094235,-1
belfast,-1,-1,0.1997890464559856,-1,-0.011827959399255406,-1,-1,0.06606334730161612,-1,0.3820093589593708,0.44673085827554826,-1,0.631515728488948,-1,0.3928472988493179,-1,0.2523552211414073,-1,-1,0.28156043337927006,-1,-1,0.21604993273215223,-1,0.2760265261987771,-1,-1,0.5571454524191126,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
