model,``,it,is,our,view,the,introduction,of,another,evening,parade,no,matter,what,part,of,the,community,it,comes,from,would,inevitably,and,regrettably,whether,intentional,or,otherwise,raise,tensions,damage,community,relations,and,has,the,potential,to,end,in,confrontation,and,undermine,a,long,sought,after,resolution,.
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
call,-1,-1,-1,-1,0.4884738634100132,-1,0.39228915962098587,-1,0.593645694426282,0.5879729335679502,0.22452381366277796,0.46619943716046675,0.6622907016330765,-1,0.3949457029005101,-1,-1,0.47565981375874666,-1,0.5990547022154064,-1,-1,0.21397602143423633,-1,0.0031061843653740207,0.5292802619936025,0.12696817642911085,-1,0.39966696064288276,0.4111861684597814,0.15870044211775158,0.47733937824237893,0.47565981375874666,0.3094151502060969,-1,-1,-1,0.39586625897279126,-1,-1,-1,0.39184403842321514,-1,0.31640586453246344,-1,0.5158097753995045,0.46094738823881365,-1,0.32518483818096144,-1
off,-1,-1,-1,-1,0.34956852080914447,-1,0.27999068775785374,-1,0.489770545744298,0.42769261999491237,0.3110265759444941,0.2853076987270139,0.3406877679963555,-1,0.3655616709213757,-1,-1,0.25704477758259214,-1,0.43066220016993895,-1,-1,0.2023009095501661,-1,-0.11759105460897112,0.2313271794403714,-0.04068424002847726,-1,0.1697516727527938,0.22487494241864803,0.15960546286846666,0.25203747079295113,0.25704477758259214,0.2381743560575177,-1,-1,-1,0.22717873554088297,-1,-1,-1,0.14332590166720405,-1,0.12974884167820233,-1,0.43324048371049784,0.250152971045578,-1,0.1686927397394279,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
protest,-1,-1,-1,-1,0.31741507956024373,-1,0.3613028774291621,-1,0.4013037778838192,0.5011279170429073,0.42475979530185803,0.25650053767965075,0.37773808985832047,-1,0.4860884239220571,-1,-1,0.4047594650419013,-1,0.33968828937573603,-1,-1,0.1840808349609122,-1,0.013073657853485243,0.3396944547194466,0.02509967265646984,-1,0.16065283499357452,0.18854598578532744,0.24737447014853686,0.27901706808687576,0.4047594650419013,0.29161584936176244,-1,-1,-1,0.3344397735948641,-1,-1,-1,0.3485893565351411,-1,0.24998000317774993,-1,0.36943298380319733,0.38688706650535454,-1,0.3471408873945383,-1
against,-1,-1,-1,-1,0.2041967998829579,-1,0.3612749495283073,-1,0.3638523714734786,0.3853002517945867,0.23198725106469553,0.3309499407322436,0.28539897261665836,-1,0.3961623883909602,-1,-1,0.28142427487316257,-1,0.30608779970656597,-1,-1,0.06945058866491471,-1,-0.09871875060558222,0.30852325213789844,-0.011044884296081525,-1,0.1454531509028819,0.23458465466223355,0.21397148095278173,0.2179782856824446,0.28142427487316257,0.3129474448363969,-1,-1,-1,0.28191550306194635,-1,-1,-1,0.20779536592335612,-1,0.2244510733412497,-1,0.2756672039695426,0.28196439027745646,-1,0.28212935202951583,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
orange,-1,-1,-1,-1,0.2276076215399545,-1,0.33956254564153476,-1,0.21891174205756303,0.21065419916834272,0.5303173047636928,0.22818599680194707,0.13024000193566299,-1,0.30792800582069,-1,-1,0.41368552189569874,-1,0.06777868711531743,-1,-1,0.023969198412985504,-1,-0.04166558653651875,0.1935069805233437,0.19889713066442316,-1,0.154011607100612,0.07790295606363751,-0.01240095127403662,0.26425862582735093,0.41368552189569874,0.2669866714098196,-1,-1,-1,0.07162122316551156,-1,-1,-1,0.14369412570917717,-1,0.17360610870869508,-1,0.13008242548510585,0.10687959556465454,-1,0.2587001765556798,-1
order,-1,-1,-1,-1,0.3846903483309647,-1,0.4866456432397922,-1,0.4608227711216939,0.3613576488260193,0.3095934427859601,0.3902489115119967,0.4422092476208124,-1,0.44293904871621903,-1,-1,0.5671024317251657,-1,0.37693623357250716,-1,-1,0.12739843963296993,-1,-0.02808658685100518,0.401654515805152,0.16058426882003274,-1,0.2938938328659363,0.44207327007947683,0.16191282331349766,0.5616140350304291,0.5671024317251657,0.4308359208836734,-1,-1,-1,0.37796051862795776,-1,-1,-1,0.2826780950432147,-1,0.4357051644402137,-1,0.39242286402179327,0.45799142641648083,-1,0.3914492392285446,-1
parade,-1,-1,-1,-1,0.2036150851270676,-1,0.30386916968375854,-1,0.23047514155547089,0.419179334106059,1.0,0.1161920458610669,0.17246206563330047,-1,0.42547919651188304,-1,-1,0.2603139241815119,-1,0.1833307005642143,-1,-1,0.23967771279615646,-1,-0.10041513045569372,0.20267699409058926,0.07337503972395587,-1,0.18666072973799452,0.025840493171838008,0.11946334703453387,0.19537341487712845,0.2603139241815119,0.24893086406886766,-1,-1,-1,0.03871859941430056,-1,-1,-1,0.262394243859688,-1,0.14076865898222257,-1,0.3026349079285655,0.19661688124506194,-1,0.2723038562611728,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
north,-1,-1,-1,-1,0.40280620670325873,-1,0.25833255262508403,-1,0.44553756305263126,0.4828655751623042,0.38491822378066765,0.3045178745471768,0.3630373294992588,-1,0.4887652185358299,-1,-1,0.5282843023094235,-1,0.4289229964847785,-1,-1,0.1260927204097122,-1,-0.09612922878803976,0.3301466987384336,-0.0672105980902784,-1,0.13406417167497775,0.21124325278892775,0.38611733213687993,0.29449210696132355,0.5282843023094235,0.37324632910106026,-1,-1,-1,0.27092928582757025,-1,-1,-1,0.2046512648245078,-1,0.1849926856171995,-1,0.4019115045433286,0.2762711744416101,-1,0.2626777555705153,-1
belfast,-1,-1,-1,-1,0.3696220962494621,-1,0.2514243241238733,-1,0.49425579025800515,0.6408884109707819,0.44673085827554826,0.2946455744632156,0.3424049648716554,-1,0.5057028214861787,-1,-1,0.5571454524191126,-1,0.3388172420058697,-1,-1,0.04921837897652004,-1,-0.15866474053889212,0.3151911784224193,-0.11434044502680996,-1,0.08143549394108807,0.2336968327951725,0.24054454647091417,0.2181671741623168,0.5571454524191126,0.3102134099939635,-1,-1,-1,0.2232312802031674,-1,-1,-1,0.15218069884991636,-1,0.08081120559768074,-1,0.33443202340338307,0.2796372865732528,-1,0.31468207010376537,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
