model,the,greater,ardoyne,residents,collective,-lrb-,garc,-rrb-,is,protesting,against,an,agreement,aimed,at,resolving,a,long-running,dispute,in,the,area,.
protest,-1,0.30037371712098915,0.07740758110239443,0.4730377301868297,0.21574912106474964,-1,-0.0358004162906862,-1,-1,0.6221355551253245,0.5628074131904187,-1,0.355091544298086,0.4531982845149791,-1,0.3138117676567611,-1,0.36259634486393777,0.47165174694623746,-1,-1,0.3441811459222188,-1
against,-1,0.312905855496999,-0.03403035713887048,0.21604667745139539,0.20236962260241587,-1,-0.006464388150241973,-1,-1,0.6219046507941927,1.0,-1,0.36003099886754786,0.3245114287029285,-1,0.16645924271830803,-1,0.20580434882738197,0.3544472583922207,-1,-1,0.21749678741712308,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
orange,-1,0.1882756857767831,0.25351368893998993,0.1808180857923506,0.32884027387935133,-1,0.01495437775916697,-1,-1,0.09880591310168407,0.2216523853064194,-1,0.39752572650905327,0.1433872052157409,-1,-0.013402651805428434,-1,0.1194832393805525,0.24367459975827988,-1,-1,0.43137569623363736,-1
order,-1,0.4528296383303527,0.036744666624807465,0.39519154514084387,0.34790939441376123,-1,-0.0010516849133941353,-1,-1,0.23202538324254318,0.4168254473056052,-1,0.5762042323420804,0.3820463912284402,-1,0.13183878853552533,-1,0.1778415704969465,0.4264220268981693,-1,-1,0.4542239960487141,-1
parade,-1,0.1291885743157577,0.19831284565684504,0.20662039878544636,0.1478000657956593,-1,-0.020226397941892182,-1,-1,0.1997380511480461,0.23198725106469553,-1,0.29065212844519805,0.2251736773488615,-1,0.15766295926897456,-1,0.3116601635931854,0.34784263617282696,-1,-1,0.3836849530051911,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
north,-1,0.5380531421553072,0.1938516611254446,0.433429340454734,0.11479097018809803,-1,-0.012024726596768787,-1,-1,0.190021464686833,0.409937901587794,-1,0.3452751040719606,0.17869103723807034,-1,-0.002701562567345661,-1,0.16562070497239056,0.3675963276563443,-1,-1,0.5891128491794833,-1
belfast,-1,0.44829844679441555,0.27196360749079274,0.5095312673776374,0.12736613745355774,-1,-0.011827959399255406,-1,-1,0.22423157278670325,0.40360226019477763,-1,0.31626927949370964,0.15634155671973904,-1,-0.02817956280553391,-1,0.15091275082026945,0.32807606848637594,-1,-1,0.5768490994156045,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
