model,despite,a,categorical,denial,of,the,reports,by,imperial,palace,spokesman,shinichiro,yamamoto,the,emperor,'s,reported,wishes,are,being,given,prominent,attention,in,the,japanese,media,.
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
next,0.34037402173182074,-1,-0.2708026296117487,0.053973083543816025,-1,-1,0.2768519922728605,-1,0.07608860755395042,0.4006955153077483,0.26860811953117547,-0.458081500574969,-0.3356983382385761,-1,-0.01858404675433789,-1,0.3061518315116516,0.18393088591608542,-1,-1,0.4632291257001857,0.17784153980435546,0.19616310370893975,-1,-1,0.31877303115332967,0.2280108054078548,-1
few,0.4338845374082758,-1,-0.07204021356250578,0.04539105433486412,-1,-1,0.4411042715307423,-1,-0.010963271116094075,0.14813296135052434,0.21568105724085918,-0.4894128451392008,-0.3307527718640477,-1,-0.03315554662593523,-1,0.40647096968637597,0.18646030377717837,-1,-1,0.530557969570224,0.363507867756207,0.23502555204687048,-1,-1,0.232291653268215,0.3246392663909027,-1
years,0.45061015900466206,-1,-0.23665748142189535,0.10537568374382666,-1,-1,0.40015065048973386,-1,0.12277333055178274,0.27103687042349467,0.283544279765932,-0.5547992894302989,-0.37130355476002785,-1,0.025609189921733,-1,0.47104513697176986,0.16027988294297102,-1,-1,0.5855102430241457,0.27204913648039697,0.2418448551130028,-1,-1,0.41083527451149904,0.3230950138877361,-1
public,0.3499514882049828,-1,0.006915095898703538,0.11344127264194515,-1,-1,0.3548018690092475,-1,0.07858940093328437,0.16894834765501754,0.3866547911377278,-0.4413496900355156,-0.33117595855031223,-1,-0.09419568323132754,-1,0.35227387914613617,0.24049673369842406,-1,-1,0.47729301599497176,0.33756245766693205,0.44802815761225967,-1,-1,0.3530309575186572,0.39285476347956827,-1
broadcaster,0.14566108044663661,-1,-0.17522766379484933,0.1160041783034167,-1,-1,0.5215021131927648,-1,0.2761434881295435,0.28599766112435576,0.6296957711846594,-0.41493761295964093,-0.12746612542461944,-1,0.22111915821431571,-1,0.45109220527075733,0.140763626847632,-1,-1,0.20565080570692884,0.2674283072977094,0.09157848634676191,-1,-1,0.5875220909467535,0.4643795307029719,-1
nhk,-0.1879240049635187,-1,0.006768775939328564,0.04379901795152974,-1,-1,0.23844820776166653,-1,0.18753292895025475,0.005827322941811541,0.3504715594442124,0.07810488469503596,0.2515424140407203,-1,0.16869222391792738,-1,0.1982400461262428,-0.1590664935932382,-1,-1,-0.2155994041987792,-0.025630926320493908,-0.1916849763928219,-1,-1,0.18563539587976896,0.0639614644859463,-1
reports,0.46370604495517054,-1,-0.0631963158831883,0.09982282370484907,-1,-1,1.0,-1,0.02187651744573682,0.26005068172192924,0.5501950286392178,-0.49164608461318715,-0.16755972623459958,-1,-0.12154725488808404,-1,0.8449454000179571,0.15746159529679193,-1,-1,0.4462987120504289,0.3463713486034593,0.3283046846606752,-1,-1,0.46365296447111426,0.726105710769947,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
