model,``,we,live,in,a,multicultural,area,with,lots,of,moroccans,i,'ve,never,had,a,second,thought,before,-,we,'re,friends,we,greet,each,other,talk,to,each,other,.
carnival,-1,-1,0.18310874485090856,-1,-1,0.2550554176302865,0.2247078844476068,-1,0.16023669756703318,-1,-0.1266715685572244,-1,-1,0.027215430004757235,-1,-1,0.09965296216479413,0.12384789051345135,-1,-1,-1,-1,0.0535385968135792,-1,-0.10093211407712555,0.06704704885017554,-1,0.06502737789057034,-1,0.06704704885017554,-1,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,-1,-1,0.45025722309962135,-1,-1,0.009340180690678879,0.3427949853000125,-1,0.4840693756378851,-1,0.15639530765258391,-1,-1,0.48203073640858296,-1,-1,0.45291366910471753,0.5454156518289063,-1,-1,-1,-1,0.47617831384280085,-1,0.23762639539182628,0.6959791872893778,-1,0.5718855566658797,-1,0.6959791872893778,-1,-1
suffered,-1,-1,0.15701964801166113,-1,-1,-0.06482926355459107,0.25505504770446275,-1,0.2154631452693906,-1,0.022051946722373428,-1,-1,0.37367086172978925,-1,-1,0.36377564637931337,0.4348480760812976,-1,-1,-1,-1,0.27895933106923,-1,0.025652412235489308,0.283038865420015,-1,0.18912942661746013,-1,0.283038865420015,-1,-1
sexual,-1,-1,0.17881242426413713,-1,-1,-0.03304713328577935,0.19174645488370734,-1,0.2305777852678056,-1,0.06856858120146514,-1,-1,0.22232567879172582,-1,-1,0.2623106484179203,0.21901677769128425,-1,-1,-1,-1,0.2317996634214169,-1,0.15232852406261865,0.37412560871607625,-1,0.30156721305035483,-1,0.37412560871607625,-1,-1
assaults,-1,-1,0.16871822069212017,-1,-1,-0.10534380406091581,0.15996456128547432,-1,0.22434118413905801,-1,0.2883657152385384,-1,-1,0.11790321447698737,-1,-1,0.24164328102301647,0.15526677645716824,-1,-1,-1,-1,0.15833296590355395,-1,0.13948731540836223,0.35572813390694835,-1,0.1756559697252842,-1,0.35572813390694835,-1,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,-1,-1,-0.005030479407633681,-1,-1,0.12225669778812553,0.10919069561727801,-1,0.14685454885087457,-1,0.33783246434858094,-1,-1,-0.062171038501239284,-1,-1,0.09117009921032626,-0.03817476936988462,-1,-1,-1,-1,0.07031166841518321,-1,0.0989818229632663,0.18644790862288974,-1,-0.08291083359927609,-1,0.18644790862288974,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,-1,0.3912271445041403,-1,-1,-0.07537675844835712,0.37212800259059087,-1,0.37115169102206447,-1,-0.0918455033168235,-1,-1,0.43190758463121415,-1,-1,0.5737029463932116,0.5443792718653884,-1,-1,-1,-1,0.37559903065667344,-1,0.043797164473124206,0.7330180144743811,-1,0.4332761030906571,-1,0.7330180144743811,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,-1,0.21297022540193722,-1,-1,-0.043728985110290886,0.17393479742641937,-1,0.23319008614263992,-1,-0.11749662052155618,-1,-1,0.15951266980032675,-1,-1,0.23918937878358038,0.2062851274295594,-1,-1,-1,-1,0.21772569441531908,-1,-0.0732711402537225,0.3153965261363333,-1,0.19916912705454926,-1,0.3153965261363333,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
