model,however,statistics,canada,notes,many,police,services,have,reached,out,to,ethnic,communities,and,there,have,been,efforts,by,groups,like,the,national,council,of,canadian,muslims,-lrb-,nccm,-rrb-,to,encourage,reporting,.
mainly,0.5115162499436772,0.22919219520949374,0.6036614919710576,0.3331497014279535,-1,0.38921610698704723,0.5063901644687716,-1,0.43654512059720463,-1,-1,0.44402431685335975,0.594406428552079,-1,-1,-1,-1,0.3873681455703839,-1,0.590079900639987,0.4636108977255503,-1,0.33697736500463626,0.35698830632957224,-1,0.4979439841603035,0.7049344731226258,-1,-0.6821038495404332,-1,-1,0.43088493795471505,0.6641744992784148,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
incidents,0.43494104104086906,0.2666294181428903,0.31072644875359956,0.23831067742839207,-1,0.43445563745078897,0.3283479950355215,-1,0.36688309539537656,-1,-1,0.2789129496316387,0.31064416622794067,-1,-1,-1,-1,0.2630704682788043,-1,0.3187250313489025,0.41315495550436265,-1,0.18635068728901616,0.16028505841025464,-1,0.19586836308673727,0.3152569675069816,-1,-0.4688157763036027,-1,-1,0.2955505475482576,0.6060617043416203,-1
targeting,0.405219376163964,0.19907833865614033,0.422537473814818,0.09660078555532992,-1,0.36549424225552496,0.317832729072672,-1,0.32483083264149193,-1,-1,0.5365930207512415,0.502798927380345,-1,-1,-1,-1,0.44714331893386894,-1,0.5830962368110096,0.3432954219456883,-1,0.2162607326080871,0.19227672894411463,-1,0.3778484098284465,0.6701442175020175,-1,-0.5372221669107173,-1,-1,0.4924571166132332,0.5511008600466447,-1
muslims,0.3315638095638438,0.21042009336435075,0.5347629119780116,0.16862017101782456,-1,0.29006149775779466,0.29039778378054004,-1,0.2415908673743581,-1,-1,0.6457577263535397,0.6256472876075845,-1,-1,-1,-1,0.28922336358321854,-1,0.5705849650249047,0.46390298574998456,-1,0.24640704691117254,0.19334764848469232,-1,0.4109475888897747,1.0,-1,-0.5749397775738241,-1,-1,0.5222219682097348,0.4630270239686656,-1
arabs,0.056208833165778294,0.0731079039202448,0.1659404620369288,-0.01191656801395502,-1,0.08356294890793059,-0.01186631060216281,-1,-0.017243984913751786,-1,-1,0.39319935185476085,0.2663329635688747,-1,-1,-1,-1,-0.03945095400052101,-1,0.23492166898674594,0.08497220110834558,-1,-0.005385048192288799,-0.05017038348388314,-1,0.2761004646926407,0.5516759801301715,-1,-0.19002141744227563,-1,-1,0.1655467372201097,0.10192603941537826,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
west,0.44223223873583406,0.29155749960252053,0.6299440329775726,0.18723335628774151,-1,0.5935658522217445,0.44801382149782454,-1,0.4612261824697905,-1,-1,0.26732478626180156,0.5262986522855535,-1,-1,-1,-1,0.26304187947645885,-1,0.27705648879532974,0.3552576961117051,-1,0.3291710507468928,0.5546704693875267,-1,0.49712723823974847,0.37741017431351254,-1,-0.5626226719775493,-1,-1,0.2156676283047575,0.3944398386992056,-1
asians,-0.025640599533283792,0.0507418392846416,0.18479781724785016,-0.025210395807434116,-1,0.1612405628837471,0.04453991634014598,-1,-0.10732928564135746,-1,-1,0.22004105781503736,0.37570003463956503,-1,-1,-1,-1,0.02264607861506507,-1,0.10370252619861053,0.09399078840621533,-1,0.02031833084112522,0.13231376880300882,-1,0.22087955017876948,0.4090157671107242,-1,-0.15516937671679654,-1,-1,0.12059077588181633,0.04661467036042677,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
official,0.6128302096307908,0.6191168624035742,0.4667075674383714,0.4217573204497653,-1,0.4811440670531739,0.3483626373129646,-1,0.42757683202482255,-1,-1,0.13736549097599737,0.38220674040095726,-1,-1,-1,-1,0.34302372749644605,-1,0.2772977412189589,0.2397548086982263,-1,0.5697871061111547,0.38044398499516363,-1,0.664962916043949,0.17476269723274107,-1,-0.5647687156436656,-1,-1,0.20262789358381328,0.6649778980972866,-1
figures,0.6797159406442546,0.6973311078529473,0.4391617003200279,0.5108914146638877,-1,0.3952290858582219,0.40922474764490113,-1,0.42486721391482085,-1,-1,0.22790475986961423,0.4294724201753065,-1,-1,-1,-1,0.44434563455097553,-1,0.37564128255364704,0.26353024768583455,-1,0.5057256981926445,0.345642131464706,-1,0.48752746606238506,0.2701263873886187,-1,-0.5562930734347202,-1,-1,0.32466942432003476,0.734922281452577,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
