model,in,a,news,conference,following,the,report,'s,release,the,nccm,'s,legal,counsel,khalid,elgazzar,pointed,to,the,murder,of,six,men,in,a,quebec,city,mosque,this,january,as,``,a,painful,reminder,of,how,hate,can,destroy,lives,and,deeply,shake,communities,'',.
mainly,-1,-1,0.2945085470045523,0.26438686359704855,0.31682863497894775,-1,0.3447362616054389,-1,0.43466121098302546,-1,-0.6821038495404332,-1,0.2800149539278336,-0.0072252350098438445,0.14164534504765136,-1,0.28849440887889366,-1,-1,0.27704455653656423,-1,0.5001983402805003,0.5865979177366524,-1,-1,0.2925482807846972,0.45254075435667207,0.4221017868286947,-1,0.3893858449284191,-1,-1,-1,0.3135150607815469,0.21843498134859807,-1,0.3950404723517271,0.30409472656386605,-1,0.3078582223772165,0.4320224743918595,-1,0.26256745962512595,0.1743164988056114,0.594406428552079,-1,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
incidents,-1,-1,0.3082808443089673,0.2022940455149671,0.45583176258999214,-1,0.4437644575725225,-1,0.3811176742872917,-1,-0.4688157763036027,-1,0.21489756421869555,-0.05237354582337517,-0.016737223651598354,-1,0.2550014381149419,-1,-1,0.3814030802689221,-1,0.4828288655803926,0.44515371036863316,-1,-1,0.037728077308820995,0.21621617276568483,0.13144072818944574,-1,0.36492658561443414,-1,-1,-1,0.3813473582889264,0.28968776545747377,-1,0.3546250890408056,0.5223214302022812,-1,0.13564422253950836,0.18587246716646355,-1,0.3277105464235548,-0.10108147404912038,0.31064416622794067,-1,-1
targeting,-1,-1,0.19114587059003318,0.18383036376733652,0.2877372691416743,-1,0.24432826286218123,-1,0.36296456220036144,-1,-0.5372221669107173,-1,0.31538125706834363,0.13842338829784162,0.13103610826252043,-1,0.27088214491789,-1,-1,0.3601060263952125,-1,0.3926641017656217,0.5332688341123462,-1,-1,0.35854330364855524,0.2916940351438011,0.34982167372962225,-1,0.2774904465919925,-1,-1,-1,0.26460822832135333,0.22355481224431195,-1,0.32027274543960327,0.39531138078582306,-1,0.44359686517482455,0.33550070510476426,-1,0.32603016041723465,0.08002938143033389,0.502798927380345,-1,-1
muslims,-1,-1,0.16429186384386985,0.10827803436226902,0.1115115245584839,-1,0.11669481133957815,-1,0.22725791388053418,-1,-0.5749397775738241,-1,0.1989621056426728,-0.016935156099526782,0.22299688706469767,-1,0.2539866832170927,-1,-1,0.17911342162850818,-1,0.35005521680405094,0.48352699344195726,-1,-1,0.3597143568280603,0.25706837007809336,0.32778288894220053,-1,0.1769714882574165,-1,-1,-1,0.1748562425807848,0.14573219714909091,-1,0.2877789090316938,0.3475692685020819,-1,0.41417122497516345,0.34431292604729646,-1,0.24822622623649426,0.21066461797158742,0.6256472876075845,-1,-1
arabs,-1,-1,-0.01950284557699078,-0.1265333813190348,-0.07708999662919869,-1,-0.09168651126329452,-1,-0.05348517428099364,-1,-0.19002141744227563,-1,-0.016452020633561437,0.11841774402534733,0.2961116814477498,-1,-0.004946701829183331,-1,-1,0.07685991502073253,-1,0.11852527476475627,0.15806649023484187,-1,-1,0.3082613869161107,-0.02393439640095374,0.157344456219781,-1,0.11409245800512235,-1,-1,-1,-0.07483221363492976,-0.014048652057647937,-1,-0.021728612710519624,0.2033859058688896,-1,0.18107546591255885,0.03538224040384874,-1,0.0059709148163688,0.08189412068778124,0.2663329635688747,-1,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
west,-1,-1,0.38034229001322983,0.3513717037175905,0.45781762165325923,-1,0.2729608363949556,-1,0.358715606783085,-1,-0.5626226719775493,-1,0.14355442237151927,0.11789549403991106,0.04755921263489593,-1,0.1430357216152648,-1,-1,0.2947519768563749,-1,0.49503281125640486,0.41407467235814877,-1,-1,0.40143851685390697,0.6626769462445796,0.394615049307228,-1,0.4719092019877351,-1,-1,-1,0.03775137884851876,0.015384671783712722,-1,0.31092274846582746,0.17783994622940602,-1,0.16434409227998115,0.332733745454616,-1,0.14224073218383848,0.013998343534758595,0.5262986522855535,-1,-1
asians,-1,-1,0.11526040877741206,-0.06383530213512545,-0.1794509273779099,-1,-0.08989666427736864,-1,-0.20457516003625353,-1,-0.15516937671679654,-1,-0.13240271329960263,-0.03608040573409754,0.13605538387967486,-1,-0.06870181956610022,-1,-1,-0.06769167402808063,-1,-0.005035253670517825,0.05432402786044155,-1,-1,0.44274081520825315,0.14842218724405287,0.1902703088947426,-1,-0.13286805148560044,-1,-1,-1,-0.05544728334653248,0.07995292443035273,-1,-0.014580990916598147,0.045723228949065,-1,0.047142936574406935,0.08783505537585323,-1,0.12547753119868277,-0.05126859584788512,0.37570003463956503,-1,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
official,-1,-1,0.656833381969545,0.6413664701766142,0.49607255861383814,-1,0.6042166370632848,-1,0.7231881976902109,-1,-0.5647687156436656,-1,0.41977627890176916,0.4506183877968313,-0.11855947483355878,-1,0.31903356325736654,-1,-1,0.31257287119264054,-1,0.4090368056561223,0.3559598372169157,-1,-1,0.173047482327082,0.32770235823309635,0.20270755583360522,-1,0.41793316833488214,-1,-1,-1,0.16011275069442021,0.23528488411853066,-1,0.36582288249162587,0.2723921621002754,-1,0.13348129212749726,0.22452231981604542,-1,0.17062498202808696,-0.02439943011327106,0.38220674040095726,-1,-1
figures,-1,-1,0.5181084647865367,0.4434170029975446,0.4348761077583423,-1,0.6874607973806993,-1,0.6133838669917738,-1,-0.5562930734347202,-1,0.3236823544933016,0.21176082862434764,-0.1552378150695779,-1,0.37041465990502753,-1,-1,0.21782927917681416,-1,0.4605812165177745,0.4069915926066213,-1,-1,0.08193315832636361,0.30632114253511844,0.05918140936838301,-1,0.45330927710153746,-1,-1,-1,0.2770169807427234,0.27437734329286045,-1,0.4699998213945977,0.28198077576013314,-1,0.13371231318555254,0.28675795866518183,-1,0.19900541132009164,-0.03312683426879981,0.4294724201753065,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
