model,almost,40,%,of,all,reported,hate,crimes,were,considered,violent,incidents,which,could,include,assault,and,uttering,threats,.
mainly,0.5046214669930601,0.5635493832996376,-1,-1,0.4733807530199228,0.5280708550944953,0.30409472656386605,0.3986988493587782,-1,0.5116176329936334,0.4157861321499836,0.45818652543158545,-1,-1,0.41015602900920434,0.33788563036472685,-1,-0.2732128453708065,0.37212391169471803,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
incidents,0.43486791937716784,0.4748227353215826,-1,-1,0.417680032710428,0.5865721598021241,0.5223214302022812,0.6269882582628459,-1,0.37654409282914836,0.6505398406531203,1.0,-1,-1,0.4479961425125134,0.5304188842009212,-1,-0.012419968892669608,0.5125862909680093,-1
targeting,0.3356749634309879,0.351989576051414,-1,-1,0.3899285643714391,0.39585019749663575,0.39531138078582306,0.44172238523662943,-1,0.4835422885640186,0.5136138177749948,0.4560467693869805,-1,-1,0.30255390290940676,0.43296469180128194,-1,-0.05587702449880383,0.41238505732620223,-1
muslims,0.31113981888885656,0.3809072183024349,-1,-1,0.45957625094862353,0.2680904131073675,0.3475692685020819,0.4094441104864426,-1,0.3943355396106747,0.43024487884482676,0.3152569675069816,-1,-1,0.33080017512029436,0.20242590246031256,-1,-0.1835347303485082,0.36798710103610177,-1
arabs,0.045585596682663154,0.13643482961287157,-1,-1,0.06738143501358917,0.04370616409256267,0.2033859058688896,0.1977273656806503,-1,0.001446899352195996,0.20219082192443083,0.1353366644765699,-1,-1,0.0634077637005186,0.08981041135153278,-1,0.029058879693646955,0.1931441914550187,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
west,0.36690388153494125,0.4677200589249635,-1,-1,0.36050920094102745,0.3756856544265186,0.17783994622940602,0.21958564634478706,-1,0.3318371569094556,0.23932305243714258,0.31676214458804663,-1,-1,0.3035280454007906,0.23040090493061216,-1,-0.3682965510206344,0.2474727488770745,-1
asians,-0.03887926970083555,0.002434964903557546,-1,-1,0.005650242479627421,0.04588809312358566,0.045723228949065,0.07658020328113335,-1,0.09326323397313607,0.01103307215654814,0.027938637770365093,-1,-1,0.026220558018121065,-0.10502256401353272,-1,-0.018732496173595514,0.059676721507877395,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
official,0.3369006405454815,0.3827991395834315,-1,-1,0.36163451390227996,0.6731942041726675,0.2723921621002754,0.279001598240723,-1,0.3753247531140188,0.25929574218599194,0.3301829055404477,-1,-1,0.3646491100911984,0.30574842026543914,-1,-0.10514215846746966,0.4044954605180566,-1
figures,0.4404761392507227,0.5071111511059134,-1,-1,0.4073127028111029,0.7225229008364709,0.28198077576013314,0.38247465164703454,-1,0.3823285376199068,0.3188344472592126,0.5096621017354818,-1,-1,0.5271387610721413,0.26621269262538116,-1,-0.22536798057640084,0.44479177790384905,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
