model,canada,'s,jewish,population,remained,the,most,targeted,religious,group,accounting,for,13,%,of,all,incidents,despite,a,decline,in,the,overall,number,of,reported,crimes,.
incidents,0.31072644875359956,-1,0.2149895647543003,0.30614862828615497,0.2710488378965844,-1,-1,0.4580929673546228,0.29057309616504257,-1,0.37541340000501355,-1,0.5027681532410453,-1,-1,0.417680032710428,1.0,0.3328310105820146,-1,0.5149715110584905,-1,-1,0.25593541490165594,0.5375963749100409,-1,0.5865721598021241,0.6269882582628459,-1
targeting,0.422537473814818,-1,0.4971030293267129,0.4141620796616057,0.31951085770582743,-1,-1,0.814082059812207,0.48953703760433687,-1,0.23307636166028844,-1,0.3778009676856504,-1,-1,0.3899285643714391,0.4560467693869805,0.36655022465196374,-1,0.34524311906402483,-1,-1,0.21618523384861965,0.36373829426253956,-1,0.39585019749663575,0.44172238523662943,-1
muslims,0.5347629119780116,-1,0.6391542563138319,0.444318430944616,0.2059366363406353,-1,-1,0.5446913780161897,0.6035528440408563,-1,0.1747275286045753,-1,0.32515207768908205,-1,-1,0.45957625094862353,0.3152569675069816,0.24494248882005598,-1,0.26110550398790877,-1,-1,0.10713209460263418,0.3515877781315544,-1,0.2680904131073675,0.4094441104864426,-1
arabs,0.1659404620369288,-1,0.4073300267405887,0.18743034278065784,-0.017070913060661663,-1,-1,0.26551014027648834,0.30149193900681315,-1,0.11203413916023264,-1,0.16867704399279104,-1,-1,0.06738143501358917,0.1353366644765699,-0.07843281842872885,-1,0.07663314927587994,-1,-1,-0.020205452296021553,0.057772913178252394,-1,0.04370616409256267,0.1977273656806503,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
west,0.6299440329775726,-1,0.37244803890855693,0.3311595737399461,0.3020607348172686,-1,-1,0.3000266831780074,0.27931993702231317,-1,-0.02572969785667789,-1,0.4858148069579269,-1,-1,0.36050920094102745,0.31676214458804663,0.3588007516213374,-1,0.25306174519925784,-1,-1,0.1983397512728422,0.391794483892399,-1,0.3756856544265186,0.21958564634478706,-1
asians,0.18479781724785016,-1,0.29885338540012807,0.1628911270539798,0.03169277082916666,-1,-1,0.12101996772812051,0.15049914801005448,-1,-0.041973991590825044,-1,-0.06267594375070784,-1,-1,0.005650242479627421,0.027938637770365093,-0.013456718059397632,-1,0.04843412224649757,-1,-1,-0.036483380436699964,0.07305520857179926,-1,0.04588809312358566,0.07658020328113335,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
official,0.4667075674383714,-1,0.23516884287618756,0.38894958064620955,0.3072205098920121,-1,-1,0.2823889931527226,0.3550823813619559,-1,0.31882464642159625,-1,0.3796892054639245,-1,-1,0.36163451390227996,0.3301829055404477,0.4501266835049813,-1,0.3676451215219706,-1,-1,0.4151525790466337,0.4170583264015715,-1,0.6731942041726675,0.279001598240723,-1
figures,0.4391617003200279,-1,0.17395140089034444,0.508308791488292,0.31409159412375187,-1,-1,0.31819636945486696,0.31639701651732843,-1,0.35291002955958484,-1,0.4649535489234011,-1,-1,0.4073127028111029,0.5096621017354818,0.5322033300230636,-1,0.5735423558342277,-1,-1,0.5243969410468029,0.537237538174504,-1,0.7225229008364709,0.38247465164703454,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
