model,so,is,she,right,?,has,the,much,vaunted,burmese,reform,project,ground,to,a,halt,?,the,answer,depends,on,how,narrowly,you,define,reform,.
suu,-0.19706831350277798,-1,-1,0.03181382159838342,-1,-1,-1,-0.1685265610090081,-0.2461140163783322,0.20840172604335117,-0.01502293156197454,-0.001870606427245125,-0.07830341237689176,-1,-1,0.010406876979914714,-1,-1,-0.030020763894893943,-0.17540630893873788,-1,-0.0896410331491071,0.004986006691982792,-1,0.010198339832468983,-0.01502293156197454,-1
kyi,-0.132138879467518,-1,-1,0.04507179272001949,-1,-1,-1,-0.10565798114655589,-0.21721937209344633,0.23176280577219266,0.008107354898911234,0.017975878658663902,-0.036046259600114317,-1,-1,0.02770868228924761,-1,-1,0.010087586213999966,-0.13345689326517163,-1,-0.05122574945792735,0.062243275981264334,-1,0.0781485597868895,0.008107354898911234,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
asked,0.5113059789636967,-1,-1,0.3900454300427292,-1,-1,-1,0.3880248423598973,-0.3933980934717394,0.16871508320275685,0.4082333732289527,0.3385982271242194,0.35001994008483295,-1,-1,0.261977467352287,-1,-1,0.6093188535967704,0.22426757972365263,-1,0.6547580984728649,0.13531906422212192,-1,0.2793129631190555,0.4082333732289527,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assessment,0.3990104247201409,-1,-1,0.3440004018456375,-1,-1,-1,0.34987591394050155,-0.20706375578315583,-0.07757099023779523,0.41689805791599055,0.460398468079677,0.3569250840466902,-1,-1,0.3260682072899186,-1,-1,0.3975737944893658,0.24943248800292184,-1,0.39175160807370224,0.07045197765114852,-1,0.2207149737332963,0.41689805791599055,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
myanmar,0.17783863174822012,-1,-1,0.19465077957476062,-1,-1,-1,0.16997501534344361,-0.25196424053942845,0.4751421562125444,0.2698955291777758,0.17463561362435853,0.2640553714013165,-1,-1,0.19095639544251874,-1,-1,0.06300495336474232,0.016899774216868724,-1,0.13946212087264465,0.12234009170073623,-1,0.07199651532149665,0.2698955291777758,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
reform,0.4035100007395621,-1,-1,0.33320300763481137,-1,-1,-1,0.38607887213983194,-0.1775279716310676,0.18052350596375843,1.0,0.6099351784873903,0.42998266445404854,-1,-1,0.4102769079792077,-1,-1,0.3788921328461792,0.2558087667525957,-1,0.4059498543368929,0.023546959762500874,-1,0.21850929314501466,1.0,-1
process,0.4496733003382284,-1,-1,0.314274070984667,-1,-1,-1,0.37802834047953626,-0.19881533839449395,-0.04703012338677803,0.5633064417175905,0.5567773588868387,0.3578392403679249,-1,-1,0.37268138300545617,-1,-1,0.3675716091823671,0.24785043707216148,-1,0.38189905057586226,0.061403796512108255,-1,0.2668343590363593,0.5633064417175905,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
