model,so,did,the,reformers,run,out,of,steam,?,did,thein,sein,'s,project,reach,a,roadblock,manned,by,hardliners,in,the,burmese,army,?,or,perhaps,we,'re,close,to,the,final,destination,-,that,is,with,sanctions,lifted,and,the,army,still,really,in,charge,.
suu,-0.19706831350277798,-0.00017408715645550465,-1,-0.06529930957670138,-0.1726432826443678,-1,-1,0.01591997361692432,-1,-0.00017408715645550465,0.11212814492326051,0.16306089755451536,-1,-0.001870606427245125,-0.10551594748113846,-1,0.04511868974153044,-0.03212521253215872,-1,0.2268237094082115,-1,-1,0.20840172604335117,0.2286556883479538,-1,-1,-0.15000266641688875,-1,-1,-0.01383866408324086,-1,-1,0.017232671609000105,-0.20720868230755984,-1,-1,-1,-1,-0.014359003005105064,-0.014444628978860008,-1,-1,0.2286556883479538,-0.12043197052968302,-0.12285651672285969,-1,-0.04294090678410467,-1
kyi,-0.132138879467518,0.030646227060602937,-1,-0.05258795258911286,-0.09164816287679423,-1,-1,0.03474339217956479,-1,0.030646227060602937,0.10293429776892227,0.15324992071816934,-1,0.017975878658663902,-0.05570163391543237,-1,0.07901059370359442,0.01854181753713069,-1,0.25738134996445994,-1,-1,0.23176280577219266,0.2346438318757873,-1,-1,-0.07565933425888516,-1,-1,0.007114828237586468,-1,-1,0.0708861650448186,-0.1075791306928977,-1,-1,-1,-1,0.024072879281725967,0.04294796108452559,-1,-1,0.2346438318757873,-0.05452491802884296,-0.08657835512861634,-1,-0.007960185456513669,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
asked,0.5113059789636967,0.6427719253761075,-1,-0.24092772975720567,0.3693599445735296,-1,-1,0.008666976104673596,-1,0.6427719253761075,-0.07348976693891895,-0.0712431341646318,-1,0.3385982271242194,0.2768572222783052,-1,-0.174570993114878,-0.04116027655109966,-1,0.11841893412755755,-1,-1,0.16871508320275685,0.4009432948749454,-1,-1,0.48294034780916006,-1,-1,0.3220659705479719,-1,-1,0.24453875432796324,0.07376857595428454,-1,-1,-1,-1,0.24248866567815808,0.2909551897624749,-1,-1,0.4009432948749454,0.39138453477435864,0.42555317774322776,-1,0.3033628749631686,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assessment,0.3990104247201409,0.39723358005303844,-1,-0.08591203888599819,0.3842479470409148,-1,-1,0.10876823497281773,-1,0.39723358005303844,-0.40438338750269187,-0.3812120853493115,-1,0.460398468079677,0.30449279675079544,-1,0.08634390315251728,0.27983424131199597,-1,0.0366470382115931,-1,-1,-0.07757099023779523,0.3145004656943535,-1,-1,0.4668545608994539,-1,-1,0.23879304230197418,-1,-1,0.28906136423783635,0.28991047537695336,-1,-1,-1,-1,0.28825180263141126,0.2002662171346573,-1,-1,0.3145004656943535,0.3618734066385345,0.3250408302285852,-1,0.3375146451875871,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
myanmar,0.17783863174822012,0.175325176937578,-1,0.14382630765806448,0.16016411964910182,-1,-1,0.10429867935944126,-1,0.175325176937578,0.15907017027561177,0.1610981505325354,-1,0.17463561362435853,0.17926378657462128,-1,-0.19489196128790698,-0.049237162702955084,-1,0.5126025212944052,-1,-1,0.4751421562125444,0.5085396997296306,-1,-1,0.16936014203902472,-1,-1,0.2094686857020145,-1,-1,0.1377287909827527,0.07668211773045064,-1,-1,-1,-1,0.40350896277591664,0.22648375165011836,-1,-1,0.5085396997296306,0.20324201834256317,0.0720896683205362,-1,0.119642650913108,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
reform,0.4035100007395621,0.4091160143397494,-1,-0.13060751986323793,0.4246701589356432,-1,-1,0.21356920363606346,-1,0.4091160143397494,0.01878876364738502,0.03114200029513392,-1,0.6099351784873903,0.3248663619686114,-1,0.004609318644356986,0.014189885699366078,-1,0.04848893687197342,-1,-1,0.18052350596375843,0.41138068675131256,-1,-1,0.39725938150397855,-1,-1,0.2735706738756907,-1,-1,0.31331195139170465,0.24863650715349084,-1,-1,-1,-1,0.59804285857692,0.28371098434384523,-1,-1,0.41138068675131256,0.34374731467261155,0.2767303185626042,-1,0.3322949121421652,-1
process,0.4496733003382284,0.3660185092648476,-1,-0.05553613225612963,0.48570472105694507,-1,-1,0.15649244511598248,-1,0.3660185092648476,-0.19439955305104673,-0.18682043990614572,-1,0.5567773588868387,0.37316922405734987,-1,0.07904871957709725,0.2104331907260215,-1,-0.021774271155389213,-1,-1,-0.04703012338677803,0.16134972586440643,-1,-1,0.42052826520222986,-1,-1,0.25579751160231323,-1,-1,0.361320233259666,0.1335368739179057,-1,-1,-1,-1,0.3749562959034748,0.2402907181245102,-1,-1,0.16134972586440643,0.4603420939065266,0.36666673736276434,-1,0.301399217278574,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
