model,stories,critical,of,ministers,were,suddenly,on,the,front,page,of,private,newspapers,and,demonstrations,mostly,connected,to,land,rights,have,become,almost,daily,events,.
asked,0.36910725528168953,0.28645966379863586,-1,0.5526031880855273,-1,0.3541470508053296,-1,-1,0.40123291953437035,0.33871109641308594,-1,0.4314912016492267,0.31825282890404694,-1,0.1665713236470704,0.3350528043236771,0.3392011463979361,-1,0.33681769137597084,0.3349227392962384,-1,0.38078116033062526,0.3070588145872608,0.30564372348785585,0.2899346512518858,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assessment,0.1345183728809246,0.45837613011638045,-1,0.22228497106123923,-1,0.22156945664975203,-1,-1,0.3614657760996691,0.237415866124852,-1,0.35897079139672294,0.22792230750186726,-1,0.1991615903270093,0.16372996659577232,0.25380800446855967,-1,0.302087374344682,0.3878131429083995,-1,0.2968886189433927,0.2871260545882668,0.3115064674798411,0.3156367796577457,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
myanmar,0.08733097695771919,0.15534036852009536,-1,0.27708991139890715,-1,0.13154137731249382,-1,-1,0.2384584213568568,0.007706069499419099,-1,0.10928088808753644,0.35271184619904705,-1,0.17878429545720842,0.5745688441069503,0.167884247983357,-1,0.3874909591697657,0.29575726691335824,-1,0.23361505885957046,0.22345392200783887,0.1516106472583959,0.13547440335576066,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
reform,0.14547247422682008,0.3799852955804499,-1,0.5205182019459218,-1,0.07745005882490374,-1,-1,0.28416223890506676,0.2546074182017799,-1,0.4297545993666094,0.27831884321514355,-1,0.18721897471896143,0.3135010439405139,0.19026201762102757,-1,0.5683775707067448,0.5502782971212088,-1,0.33733691895344875,0.20558763009150915,0.2860382174851517,0.32160397404272034,-1
process,0.11246864426833558,0.28088069123113857,-1,0.3946942932527645,-1,0.2912048351601666,-1,-1,0.2808567049141888,0.16451276691471994,-1,0.37206674048211275,0.08196205730024375,-1,0.292334423793591,0.23676790760829114,0.214806602748012,-1,0.3886005491819007,0.38501679486534823,-1,0.3709175072691224,0.29712210951613605,0.16776836139313822,0.3841322629068815,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
