model,strike,action,due,to,take,place,in,wales,has,been,averted,after,a,``,significant,'',change,of,direction,by,the,welsh,government,the,fbu,said,.
row,0.35036647860310866,0.30639474912618747,-1,-1,0.349929517314417,0.41306107626543365,-1,0.3650123769260769,-1,-1,0.11519354974824547,-1,-1,-1,0.32014549047144447,-1,0.33888183125699833,-1,0.3877302875799358,-1,-1,0.3093167282691298,0.3006872306432833,-1,0.011998486997828905,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pensions,0.1897298535493388,0.2706161085718094,-1,-1,0.25928714830860744,0.18366940507613605,-1,0.4102462521666608,-1,-1,-0.17807274387354055,-1,-1,-1,0.21216037179029457,-1,0.3436742955032204,-1,0.13749822872100526,-1,-1,0.40246389838952934,0.38187140327685076,-1,-0.29953484230852356,-1,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
one,0.21514649225696192,0.3811233406417829,-1,-1,0.43196055920296295,0.48955470670406354,-1,0.46214799841440657,-1,-1,0.010947645152935448,-1,-1,-1,0.43977468204618453,-1,0.4418880581689908,-1,0.5742825821152234,-1,-1,0.3935417261153431,0.3496286568693796,-1,0.021744423336159557,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
service,0.2963011609787243,0.48706377933270484,-1,-1,0.39925576363686965,0.3877777758092267,-1,0.5425026137481489,-1,-1,-0.033780965044116984,-1,-1,-1,0.3663927865319283,-1,0.3378957604769772,-1,0.10202199272159762,-1,-1,0.36434262742306034,0.32344427360165584,-1,-0.05181060478944621,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
busiest,0.12642205327377742,0.09302839856731249,-1,-1,0.15773240591265603,0.36046808071845193,-1,0.24996012283446745,-1,-1,0.036286873028626765,-1,-1,-1,0.2041485527295872,-1,0.12239761456119547,-1,0.3111339472094373,-1,-1,0.183405055255506,0.05117735470839291,-1,0.12745048979649187,-1,-1
weekends,0.1538414872971512,0.17366657941471764,-1,-1,0.3133858566042449,0.37660047428971954,-1,0.17542284782907336,-1,-1,0.02383485831245835,-1,-1,-1,0.17312920971642187,-1,0.17551896866716732,-1,0.1500288285459206,-1,-1,0.15537959204504836,0.09558136275564977,-1,-0.04777622411218885,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.3701281046244851,0.40216188580705303,-1,-1,0.48026838013445095,0.5020602121595958,-1,0.5421669812925414,-1,-1,0.004794747112213726,-1,-1,-1,0.4514453386998153,-1,0.47027768572635975,-1,0.2843750512291833,-1,-1,0.47156531154331627,0.46018287011009185,-1,0.009948561610392148,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
