model,the,west,yorkshire,brigade,said,the,public,would,be,left,in,a,``,vulnerable,position,'',and,asked,people,to,take,extra,care,this,weekend,.
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pensions,-1,0.30580134007119086,0.2196660002473919,-0.2813938055594265,-1,-1,0.3702422718436015,-1,-1,0.19975434708253303,-1,-1,-1,0.38009095520670855,0.23156230273541023,-1,-1,0.33049572715893905,0.23973189967784259,-1,0.25928714830860744,0.37338860742280744,0.593348537329085,-1,0.1911124091200317,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
one,-1,0.4688075439197539,0.37340772792870225,0.16745851057230876,-1,-1,0.2835647249416764,-1,-1,0.46545768697419077,-1,-1,-1,0.4736814605383455,0.5534879859671716,-1,-1,0.4672369010137103,0.45985464574651225,-1,0.43196055920296295,0.42194616160674236,0.37346055550891843,-1,0.4958153533989771,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
service,-1,0.487560935988244,0.42556209042320514,0.18848399056297016,-1,-1,0.5199215754788651,-1,-1,0.29364200784416583,-1,-1,-1,0.41352919548085676,0.33620753708751516,-1,-1,0.4524155699327004,0.42692451186119285,-1,0.39925576363686965,0.5621154168727572,0.6280515079699748,-1,0.43618593315509946,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
busiest,-1,0.24171287520646267,0.23161436893854725,0.19748406514589723,-1,-1,0.163556154554641,-1,-1,0.05127113194202526,-1,-1,-1,0.07844767866130564,0.2852939302133124,-1,-1,0.020866671660595193,0.13949989157799358,-1,0.15773240591265603,0.192684396724649,0.06549479166419658,-1,0.5042863930230541,-1
weekends,-1,0.16093068782898823,0.13156381279471407,-0.0007664172750734277,-1,-1,0.27470387434098675,-1,-1,0.1541955900552402,-1,-1,-1,0.39669194140461195,0.32162331717860226,-1,-1,0.09574801222043461,0.31231885394212344,-1,0.3133858566042449,0.2851247390531423,0.3086932153641374,-1,0.523641104338238,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,0.4105301828168596,0.34799276600567386,0.1250478700348312,-1,-1,0.4114399784740914,-1,-1,0.3841078594267471,-1,-1,-1,0.40080185143540303,0.46838198879204884,-1,-1,0.43059100013726814,0.5359879052284826,-1,0.48026838013445095,0.619634518322547,0.39611749977155375,-1,0.7197654383473827,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
