model,the,fire,minister,said,:,``,all,fire,and,rescue,authorities,have,robust,and,well-tested,plans,in,place,that,include,back-up,support,if,needed,.
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
service,-1,0.6191776878717906,0.3448103910351292,-1,-1,-1,0.35284005993305034,0.6191776878717906,-1,0.6686680942572828,0.4279267224796963,-1,0.36867573290916433,-1,-0.34529656976654266,0.34951285775828,-1,0.3877777758092267,-1,0.344621715901557,0.2850352940545091,0.5516987678584322,-1,0.4282275215180644,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
busiest,-1,0.20401254850712236,-0.01223305427084953,-1,-1,-1,0.23309719442479104,0.20401254850712236,-1,0.18074463243415917,0.03446319752583893,-1,0.12194457067759745,-1,-0.21373344632901747,0.17741035242127,-1,0.36046808071845193,-1,0.10347674538033813,0.04977080792825439,0.0748651744053318,-1,0.09530185452980078,-1
weekends,-1,0.19512614893633773,0.026072752248878617,-1,-1,-1,0.34353929738406164,0.19512614893633773,-1,0.19803327368192392,0.14493780511307963,-1,0.19634920643613107,-1,-0.2784825940100093,0.12534459881685645,-1,0.37660047428971954,-1,0.19185022940650254,0.22396292249859395,0.20932662987704598,-1,0.28362216674532126,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,0.2519761291277003,0.35902537883882135,-1,-1,-1,0.4726124957910268,0.2519761291277003,-1,0.26216505791196965,0.432067862097421,-1,0.23834398119248723,-1,-0.5311088298136095,0.4969475342127161,-1,0.5020602121595958,-1,0.429979257724562,0.048539041726726184,0.4879917860832257,-1,0.48516759726675596,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
