model,the,mining,engineer,author,and,motivational,speaker,completed,the,event,using,custom-made,gear,and,brake,levers,on,her,bike,to,accommodate,the,severe,injuries,to,her,hands,.
trapped,-1,0.2531047836049729,0.2540761619024545,0.17701272948935465,-1,-0.17245690363384636,0.2424496472800648,0.4659890640088894,-1,0.3321106798401281,0.6057503641719966,-0.029845700488372096,0.12278888281955491,-1,0.17961243446219655,0.04934741456740521,-1,-1,0.4467075134599895,-1,0.32916202996109156,-1,0.39322146545884884,0.4813205760384941,-1,-1,0.510137731045746,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bushfire,-1,0.059182551682012585,-0.11853357887534721,-0.13985326503871476,-1,0.3351736513857746,-0.09879679083819548,-0.25750828120347924,-1,0.01162337302392702,-0.21278533867821925,0.10499029405802007,0.02776333257014152,-1,-0.20294363225162915,0.16360688739503293,-1,-1,-0.14592070684683245,-1,-0.1643403836151578,-1,0.0736796686914043,-0.12892896647122964,-1,-1,-0.17652247679803912,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
race,-1,0.1779890234570839,0.15908457076997717,0.1542703578760476,-1,-0.039598658188648495,0.2052741883007061,0.41709088480232503,-1,0.66991706115957,0.2925617818837427,-0.15180049735893908,0.23494874184720294,-1,0.15304703337458037,-0.02391184917636746,-1,-1,0.5749390776606051,-1,0.05259172777565191,-1,0.22532140423654723,0.28746036883495796,-1,-1,0.35548621325784036,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
completed,-1,0.13291830732490484,0.20034836205389828,0.277810253825705,-1,-0.13253579681754868,0.3029608163280124,1.0,-1,0.4379048073987035,0.32510986784197704,-0.1244944443323881,0.15514474060592254,-1,0.08259852570751847,-0.1142715284411111,-1,-1,0.310770995379694,-1,0.23512748869784728,-1,0.21829632524818676,0.28649977540106875,-1,-1,0.2767547908408885,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hawaii,-1,0.15912225283225945,0.0251686466107246,0.07800782283151064,-1,-0.06874295067081015,0.014520538312692177,0.053778525863272475,-1,0.057330418625011204,0.12282635159483557,-0.1609154185185735,0.1814377848483517,-1,0.034871436617508134,-0.011369002597900524,-1,-1,0.18666848182754814,-1,0.044809284792615256,-1,0.12071753213425507,0.05443217564002767,-1,-1,0.05964131215414814,-1
ironman,-1,0.14183700585324788,-0.09214018111890265,-0.11062533216146964,-1,0.08177871959144101,-0.08414408872065215,0.017324825043751546,-1,0.29974175821562454,-0.24560828484811248,-0.015188502479086763,0.033665224694753304,-1,-0.11578032723358045,0.058170856086011136,-1,-1,0.054539649032769644,-1,-0.07006785655155601,-1,-0.06941445848780425,-0.22970536615487425,-1,-1,-0.3021865862823727,-1
seen,-1,0.24235985758947198,0.1749728958746497,0.13905085031304742,-1,-0.08859685331456735,0.2497847339788727,0.3561311001204721,-1,0.3881179945866329,0.5172221341602361,-0.19876691754125542,0.19556865122638944,-1,-0.03959930809023171,-0.01762748514844681,-1,-1,0.2528824344130295,-1,0.2045436151507547,-1,0.29347111132820314,0.34778750911039413,-1,-1,0.3067937214783065,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,0.2745708650279587,0.1463304437219196,0.18095305505327008,-1,-0.14541623265839476,0.19669711860032568,0.3616477121453048,-1,0.4936777271726026,0.3424367732963758,-0.18601443774208004,0.2107333211943997,-1,-0.021353597684641956,-0.027274230814515965,-1,-1,0.35789790876291894,-1,0.12091786450727593,-1,0.1669732056895319,0.1607000178017427,-1,-1,0.2373889689164742,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toughest,-1,0.18281473170212803,0.051506110402674055,0.033896929487801986,-1,0.16020458970890794,-0.08874864552081196,0.26472392952666624,-1,0.31362639282707994,0.18984613159450814,0.08067796270278815,0.16714804804691064,-1,-0.10368821928121674,0.3413621257759729,-1,-1,0.2849303359382631,-1,0.13575412351316907,-1,0.2012058194169858,0.19053443840378936,-1,-1,0.24137374533745504,-1
triathlon,-1,0.3132386339351627,0.1478439677489738,0.167430840648358,-1,0.1081996956307738,0.0764690991302065,0.10994759127699849,-1,0.4962937978172419,0.12530494454558594,0.11005005681607327,0.212808102168474,-1,-0.03330870460548496,0.022672588662988158,-1,-1,0.4351935224409327,-1,-0.04136779164511828,-1,0.03164700713282598,-0.03137060951781523,-1,-1,0.05373616615594845,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
