model,``,competing,in,ironman,has,ultimately,showed,me,that,i,literally,can,do,anything,i,put,my,mind,to,'',she,said,on,her,blog,.
bushfire,-1,-0.12968905099030947,-1,0.23536577504007217,-1,-0.1161484534267323,-0.10757798309012512,-0.23618550777031988,-1,-1,-0.2695908812903194,-1,-0.22508545065569874,-0.18830814601987478,-1,-0.1946045292836136,-0.15656988044926745,-0.13534968188709318,-1,-1,-1,-1,-1,-1,0.07305136021130698,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
race,-1,0.4687932464318867,-1,0.1649129447813773,-1,0.34153856196251664,0.30092583151154795,0.35481797746547294,-1,-1,0.24625134449152974,-1,0.41415038425010975,0.30568778675015285,-1,0.4290555281245848,0.34543243177646565,0.4536329215357371,-1,-1,-1,-1,-1,-1,0.22076655829879321,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
completed,-1,0.30898001509990636,-1,0.017324825043751546,-1,0.5028017733696192,0.2654445956215268,0.19920535676571194,-1,-1,0.32973314642965634,-1,0.32643272442098137,0.2370159684703197,-1,0.4353935300106775,0.27261651400906994,0.37057090846660334,-1,-1,-1,-1,-1,-1,0.19237867534789155,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hawaii,-1,0.06966293060983175,-1,0.19694550974935265,-1,0.025211794508395946,0.05942927554687927,0.04413782626088236,-1,-1,0.048896700401677484,-1,0.044545546001905856,0.018655944984972805,-1,0.06617821436045868,0.04959945561206203,0.07602148560660293,-1,-1,-1,-1,-1,-1,0.0973295795924356,-1
ironman,-1,0.15716606272939826,-1,1.0,-1,-0.23951910579435554,-0.20087076029885242,-0.23867657573764434,-1,-1,-0.3112827149389923,-1,-0.18691312374041336,-0.26686117388184405,-1,-0.2758787857751299,-0.20465709261706033,-0.17071125105551643,-1,-1,-1,-1,-1,-1,-0.11699340418767479,-1
seen,-1,0.36147055597717326,-1,-0.12459360281419052,-1,0.3361048947664884,0.549058116446394,0.40908339022026996,-1,-1,0.4184429513926269,-1,0.48690410077333035,0.6147717364187392,-1,0.49615957364034036,0.34166461090319866,0.5088571081038313,-1,-1,-1,-1,-1,-1,0.2700863199700334,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,0.43048698895943827,-1,0.4328818740785505,-1,0.2797914315321073,0.33797928683326295,0.32029942546504686,-1,-1,0.20152499786221667,-1,0.36521924608230627,0.2597061880213474,-1,0.3233176953011889,0.27968325302028374,0.41692747746724046,-1,-1,-1,-1,-1,-1,0.13895417199112203,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toughest,-1,0.37438516682352185,-1,0.238692729784723,-1,0.292409155323508,0.11804305330505582,0.13685500308670273,-1,-1,0.27801396375528364,-1,0.23371729665564656,0.19396894162272338,-1,0.17961363739203218,0.33110719016074985,0.37634964701480644,-1,-1,-1,-1,-1,-1,0.1669086012948927,-1
triathlon,-1,0.373936832542741,-1,0.6548399993718971,-1,-0.026498330615467136,0.10894280896560227,0.136689504132675,-1,-1,-0.06697953406788537,-1,0.09636656654518483,-0.026338823870747152,-1,0.027651423278631126,0.13710195879220055,0.20258090016559704,-1,-1,-1,-1,-1,-1,0.28691572087566675,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
