model,``,such,a,great,example,of,what,can,be,done,through,hard,work,belief,in,one,'s,self,and,good,a,support,system,'',one,person,wrote,on,her,facebook,page,.
trapped,-1,0.45790489414936697,-1,0.3064664678781506,0.43280536062443553,-1,-1,-1,-1,0.481278502298393,0.4583592674379219,0.4628683384475081,-1,0.30537397269895106,-1,0.5096473764861758,-1,0.1946893631585387,-1,0.3864329430642903,-1,0.46944592742317415,0.31056066229539747,-1,0.5096473764861758,0.664068969190645,0.339710060497879,-1,-1,0.27562258882061097,0.16329453734521193,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bushfire,-1,0.01698784729533076,-1,0.09114393110804042,0.00685827939526662,-1,-1,-1,-1,-0.28231519747168954,-0.17431815272567053,-0.1990197421811084,-1,0.031324230665461195,-1,-0.1607225053891952,-1,-0.010202563722615077,-1,-0.13030576891350343,-1,-0.10398809967532419,0.014496763458890394,-1,-0.1607225053891952,-0.1720079509092982,-0.2523017839168089,-1,-1,-0.18270735664007476,-0.11482444035101236,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
race,-1,0.3216219818553536,-1,0.46020071267734153,0.33334311896623414,-1,-1,-1,-1,0.32066803381958997,0.389080268181238,0.369787195784534,-1,0.22453300682916266,-1,0.4312183734927424,-1,0.07861748682063463,-1,0.4374974773296101,-1,0.3031837847004444,0.26003667380839535,-1,0.4312183734927424,0.41534922204132174,0.3010834512063182,-1,-1,0.21899944901505342,0.24844693916155625,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
completed,-1,0.2541436971509363,-1,0.29465475503769545,0.29821014776599664,-1,-1,-1,-1,0.526728578450171,0.3886491385387364,0.37604086081056876,-1,0.1905347826234316,-1,0.3708638050736084,-1,-0.02005878929910332,-1,0.32866968552725506,-1,0.2940623561069933,0.2868935369725869,-1,0.3708638050736084,0.3320599013662857,0.22815799399229963,-1,-1,0.1802676959043481,0.2103844604557873,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hawaii,-1,0.06564774822711428,-1,0.037540645294777186,0.029396586479143227,-1,-1,-1,-1,0.043203100331163924,0.06076154996041794,0.08781884223083969,-1,0.08278992895677184,-1,0.07630719406508746,-1,0.05188448461169748,-1,0.07629236369295322,-1,0.062303983107408145,0.08263302814820461,-1,0.07630719406508746,0.05439102056090728,0.07536958685348238,-1,-1,0.068635461798917,0.06869098027364673,-1
ironman,-1,-0.02541170064879772,-1,0.060798480700887225,-0.021571853484084524,-1,-1,-1,-1,-0.1709959582667595,-0.13014569919497898,-0.14142821021403362,-1,-0.1730375308683496,-1,-0.04228570019226052,-1,-0.29159522273896465,-1,-0.04822232602057541,-1,-0.16228909596520258,-0.09903686037521586,-1,-0.04228570019226052,-0.17870564369372466,-0.2089497082714964,-1,-1,-0.1639789060864696,0.07108686460859603,-1
seen,-1,0.5659339783387674,-1,0.4334161599485342,0.4726585622171602,-1,-1,-1,-1,0.5674521537586343,0.45448237633338007,0.4220263927694974,-1,0.325816301813171,-1,0.4619219023420206,-1,0.09702168709054737,-1,0.4538820768064732,-1,0.41678664852433633,0.3346932613313778,-1,0.4619219023420206,0.5204775217351637,0.39672340797599426,-1,-1,0.36591894312156725,0.23777499838401983,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,0.36509584652531535,-1,0.44471128750935307,0.394309000666238,-1,-1,-1,-1,0.3286977551767638,0.318503739007721,0.3042526016917043,-1,0.18396340100211706,-1,0.5233370852855473,-1,-0.06863456527276779,-1,0.3700630009055903,-1,0.32785546171585667,0.2512153856706999,-1,0.5233370852855473,0.41374991668890715,0.31684895801158885,-1,-1,0.27941268196044455,0.2993511417160575,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toughest,-1,0.2915652743615994,-1,0.3900938407042853,0.23765961406807812,-1,-1,-1,-1,0.2832605826844812,0.0921536226677585,0.20880620677469885,-1,0.32550102519022706,-1,0.41002091591482315,-1,0.14300790348441006,-1,0.25966288734322496,-1,0.14762403920590172,0.21301427852289812,-1,0.41002091591482315,0.28831745687781796,0.042675436465062,-1,-1,0.10135130874909781,0.12211792262108778,-1
triathlon,-1,0.17342044220773256,-1,0.3132415614291548,0.2162891915869496,-1,-1,-1,-1,0.009819219948774549,0.08870652929017675,0.07568289721627564,-1,0.09177303979073015,-1,0.2084013989286706,-1,-0.05440611104832138,-1,0.14464400081439666,-1,0.060050996223026676,0.04664418277796323,-1,0.2084013989286706,0.1164504132043086,0.21925671455363482,-1,-1,0.22501745703506348,0.3570058743624105,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
