model,ms,pitt,completed,a,3.8,km,swim,180km,bike,ride,and,42km,run,in,a,time,of,14:37:30,.
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
completed,0.21428674391165914,0.11601884752064207,1.0,-1,0.14673474515396645,0.16118978809587703,0.2633992665858028,-0.14865342231574408,0.310770995379694,0.4330545155141239,-1,-0.007260250604873342,0.6442701274716776,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hawaii,0.05122099262311719,0.11624187737273617,0.053778525863272475,-1,0.029934764629101718,0.07622677793628374,-0.6809818809923032,-0.19190524803125775,0.18666848182754814,0.042523671011556186,-1,0.9731628099741589,0.05534326601395867,-1,-1,-1,-1,-1,-1
ironman,-0.26209327294460283,0.07186270222027691,0.017324825043751546,-1,-0.10085237446318795,0.1089672499152563,-0.18286643635587474,0.1869331367564513,0.054539649032769644,0.05629174834599793,-1,0.18299033256166364,0.029262943266362917,-1,-1,-1,-1,-1,-1
seen,0.37444098380549207,-0.09645653130789467,0.3561311001204721,-1,0.11812521449405677,0.035792926285742044,0.29700343713480737,-0.3157194115595967,0.2528824344130295,0.3000492342148756,-1,8.948638917649632e-07,0.5012453367381458,-1,-1,-1,-1,-1,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,0.21868387947079126,-0.02791475127903209,0.3616477121453048,-1,0.04005871307205677,0.1985897122039021,0.2131931893603809,-0.11883726992892196,0.35789790876291894,0.32084016885895283,-1,0.01919763858839907,0.46533146483198706,-1,-1,-1,-1,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toughest,-0.11670763699144504,-0.0283203810795567,0.26472392952666624,-1,-0.07376475322972409,-0.1499015372513146,0.21045426635518638,-0.06375650650935971,0.2849303359382631,0.2733055959614116,-1,-0.019305854118313315,0.2234243436304626,-1,-1,-1,-1,-1,-1
triathlon,-0.04007817715028672,0.08864667149521499,0.10994759127699849,-1,-0.11112042376735154,0.05471347574091079,0.1265968925518568,-0.014180779300216217,0.4351935224409327,0.3174904539961614,-1,0.04889641315949056,0.2189686336030997,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
