model,``,because,of,my,burns,i,ca,n't,regulate,my,own,body,temperature,so,i,'ve,had,to,make,some,adjustments,or,use,standard,tri,gear,in,different,ways,'',she,revealed,last,month,.
trapped,-1,0.5952384555432738,-1,0.34095504899656603,0.31977360925077614,-1,0.1006163898765976,-1,0.116793293329148,0.34095504899656603,0.3979087703306652,0.5056713674616432,0.32310553312978585,0.5521928192464413,-1,-1,-1,-1,0.3876012493783796,-1,0.06436873496737516,-1,0.4784491355056797,0.37606754394253006,-0.22385553855598195,0.12278888281955491,-1,0.3946820740005095,0.41071106427239945,-1,-1,0.49219487351531743,-1,0.43588179843751773,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bushfire,-1,-0.15804366655137048,-1,-0.15656988044926745,-0.2246183641181665,-1,0.016650506832770584,-1,-0.010175616426409073,-0.15656988044926745,-0.10998879933423256,-0.1728960037435483,0.10948071011415017,-0.19687541668390418,-1,-1,-1,-1,-0.14961958254173813,-1,-0.013020264956230987,-1,-0.13790632481956644,-0.07087981937586463,0.29885212154406826,0.02776333257014152,-1,-0.1167577045964101,-0.13603715063328758,-1,-1,-0.25986888934168784,-1,-0.12451962287284601,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
race,-1,0.47989695186020176,-1,0.34543243177646565,0.27420104751776875,-1,0.006572884029063419,-1,0.04658116314476535,0.34543243177646565,0.30823334419943715,0.33800400452078705,0.28106304025271633,0.4618761040620608,-1,-1,-1,-1,0.30305663351124046,-1,-0.055582765405293166,-1,0.29589065271648307,0.4954138443937566,-0.018281557627861655,0.23494874184720294,-1,0.312734949160146,0.21813417398296597,-1,-1,0.30192169002480873,-1,0.4428903386059275,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
completed,-1,0.431942009327418,-1,0.27261651400906994,0.193726305582549,-1,0.015130841602282397,-1,0.08745857240262511,0.27261651400906994,0.3890937223061508,0.31702264687409787,0.21367284452263013,0.4498399619975366,-1,-1,-1,-1,0.35572849676448803,-1,0.0927903768975129,-1,0.3061860777167942,0.4367719814756167,-0.1670860005969539,0.15514474060592254,-1,0.2712430355478841,0.28270398060390534,-1,-1,0.5634035990935403,-1,0.511583089785591,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hawaii,-1,0.054062287991997415,-1,0.04959945561206203,0.22377663693666083,-1,-0.9527674877017114,-1,0.06548105746192978,0.04959945561206203,0.05767832567681386,0.07416839551570065,0.14995285936805391,0.046700518061497664,-1,-1,-1,-1,0.048903024008907,-1,-0.0014660918644875398,-1,0.08040200064506575,0.19191160229925253,-0.14450118048880523,0.1814377848483517,-1,0.04101568924287413,0.01670266582622515,-1,-1,0.037515805990011475,-1,0.06654420242663228,-1
ironman,-1,-0.2040867491240137,-1,-0.20465709261706033,-0.18493477585615015,-1,-0.18883014013103416,-1,0.047734724353753255,-0.20465709261706033,-0.17303990180647277,-0.10600955489803776,0.00800616026187928,-0.17594304866794297,-1,-1,-1,-1,-0.07908899343932596,-1,-0.0402927353860163,-1,-0.15388275948784447,0.07568803124303636,0.24109268225350378,0.033665224694753304,-1,-0.039647451677639944,-0.06457842898482502,-1,-1,-0.2312486604826911,-1,-0.05239094469772687,-1
seen,-1,0.5447327565995328,-1,0.34166461090319866,0.18754134839392744,-1,-0.013820874527628257,-1,0.08887678984742653,0.34166461090319866,0.3570031678585732,0.45481964789557194,0.4414592906360205,0.540628731130735,-1,-1,-1,-1,0.40425182450886,-1,-0.004747187437146305,-1,0.48052950906249015,0.43252352854747866,-0.06451201209172464,0.19556865122638944,-1,0.36516202233459916,0.30037622706639866,-1,-1,0.5483209911638087,-1,0.48785987918225415,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,0.412450692874861,-1,0.27968325302028374,0.12724058209039202,-1,-0.03196299717893303,-1,0.12212030220996728,0.27968325302028374,0.3795718698888868,0.527400632497687,0.30228934839844257,0.4367402805128955,-1,-1,-1,-1,0.3898898431446918,-1,-0.06836078836765758,-1,0.3609090688156362,0.43506510018412325,0.0166205445196147,0.2107333211943997,-1,0.3769674736396633,0.3061340489582818,-1,-1,0.3280243010616508,-1,0.42841177483907944,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toughest,-1,0.2993428940705374,-1,0.33110719016074985,-0.042632355351903684,-1,-0.009738129965360054,-1,0.21523585948571644,0.33110719016074985,0.28744209207806315,0.3082420284121057,0.28974033842944025,0.2567911214146873,-1,-1,-1,-1,0.2422010981847874,-1,0.3444393521285898,-1,0.21584952485022602,0.29039057368669186,0.09472504556588202,0.16714804804691064,-1,0.3257086664097789,0.30409468028516407,-1,-1,0.13586972423773513,-1,0.15928279985743343,-1
triathlon,-1,0.05864924888936318,-1,0.13710195879220055,-0.023461228703775205,-1,-0.07414670954400893,-1,0.1667794791468835,0.13710195879220055,0.12681017257718874,0.24299872034117698,0.10377030945865917,0.10511916023925572,-1,-1,-1,-1,0.12440864732931589,-1,-0.09595103111003178,-1,0.11210402439943556,0.19823874334732938,0.12241606112687708,0.212808102168474,-1,0.07799990246981214,0.1043390026887765,-1,-1,0.08844612686780706,-1,0.16278620358290508,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
