model,'',on,behalf,of,plaid,cymru,dr,dafydd,trystan,said,his,party,'s,view,was,absolutely,clear,:,``,we,will,not,vote,for,a,tory,prime,minister,neither,will,we,vote,for,tory,policies,imposed,by,a,labour,party,.
involved,-1,-1,0.33680864279045797,-1,0.1714598155925745,0.16272485174191065,0.2748404166030759,-0.21265304493672166,-0.44523448745765726,-1,-1,0.33270661662349044,-1,0.3291739647718437,-1,0.35211008256411125,0.43660241713549963,-1,-1,-1,-1,-1,0.32558189330837295,-1,-1,0.202881789083589,0.27615571630989333,0.2547054055901611,0.4115937293915317,-1,-1,0.32558189330837295,-1,0.202881789083589,0.2578094866311167,0.3838460445984767,-1,-1,0.32403730309184886,0.33270661662349044,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unedifying,-1,-1,-0.2828125312926888,-1,-0.3528301255496644,-0.30524410538514735,-0.3264762085627111,0.099184638491709,0.16806611869950083,-1,-1,-0.39785452211790817,-1,-0.2080014857560195,-1,0.08391058670322549,-0.2712051227726131,-1,-1,-1,-1,-1,-0.3283357275490837,-1,-1,-0.19581655082781224,-0.33519299100113553,-0.3583064997311247,-0.2337524737186898,-1,-1,-0.3283357275490837,-1,-0.19581655082781224,-0.16839211002125176,-0.25780253946206244,-1,-1,-0.42605310020170517,-0.39785452211790817,-1
squabble,-1,-1,-0.3337753998545272,-1,-0.3191254236456009,-0.38586446299025856,-0.3264099796284978,-0.0812083067298135,0.18389380681999445,-1,-1,-0.215865933502273,-1,-0.2547907822898212,-1,-0.23663354954274896,-0.12097428349228778,-1,-1,-1,-1,-1,-0.13379808940259608,-1,-1,-0.09863381851679898,-0.10771347478565607,-0.1294259335675274,-0.2492886033323798,-1,-1,-0.13379808940259608,-1,-0.09863381851679898,-0.09598439285446148,-0.14159641623440677,-1,-1,-0.18619740751808656,-0.215865933502273,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
support,-1,-1,0.46603219073888313,-1,0.26946491395987615,0.23146392315735154,0.2946530454534313,-0.22045397363588415,-0.505532636486921,-1,-1,0.6029603951676579,-1,0.502479656924878,-1,0.35410927616597343,0.5056459032405508,-1,-1,-1,-1,-1,0.5172235281406935,-1,-1,0.44885778114631925,0.3829216339469339,0.41230564118009305,0.42143883715864017,-1,-1,0.5172235281406935,-1,0.44885778114631925,0.5394972072304512,0.42191526206908003,-1,-1,0.6031769065868179,0.6029603951676579,-1
if,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hung,-1,-1,0.28850116667907466,-1,0.13491503908767455,0.03724825775462759,0.015477128153111419,-0.05963479387128867,-0.20288060575615474,-1,-1,0.38872127099563025,-1,0.23418541137412185,-1,0.1369270316458786,0.19036874341039722,-1,-1,-1,-1,-1,0.5177460052092686,-1,-1,0.37471240821890506,0.23213776725351554,0.19637092030164027,0.1330335059497303,-1,-1,0.5177460052092686,-1,0.37471240821890506,0.32076601271133476,0.45160927675743445,-1,-1,0.3984065824661087,0.38872127099563025,-1
parliament,-1,-1,0.4000640466974156,-1,0.2868301700357574,0.17328961818255129,0.2233094443326067,-0.14105705125586487,-0.3690151134014821,-1,-1,0.6937622593778463,-1,0.39705044774313625,-1,0.18460931802309744,0.43033264228107004,-1,-1,-1,-1,-1,0.743411455633046,-1,-1,0.5445395795764216,0.5530531003359989,0.5036113007991855,0.3498491441717295,-1,-1,0.743411455633046,-1,0.5445395795764216,0.49427363804234026,0.6074953970897505,-1,-1,0.6822472044578055,0.6937622593778463,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
