model,``,there,'s,only,one,party,that,'s,in,a,position,to,secure,an,overall,majority,and,that,'s,the,welsh,conservatives,'',he,told,the,sunday,politics,wales,show,.
involved,-1,-1,-1,0.5096304731144591,0.4295239617488258,0.33270661662349044,-1,-1,-1,-1,0.3529560293903662,-1,0.4011789030906686,-1,0.2143488211781731,0.32696903144187495,-1,-1,-1,-1,0.3534100807445302,0.37087111879335155,-1,-1,-1,-1,0.3283486087256735,0.34101765756605884,0.3769181452004535,0.3564009147279841,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unedifying,-1,-1,-1,-0.3709544861274465,-0.27152399840877783,-0.39785452211790817,-1,-1,-1,-1,-0.26501805377141974,-1,-0.33098426836671635,-1,-0.12999357319420102,-0.24343966688540686,-1,-1,-1,-1,-0.38471804192671266,-0.3171763924280129,-1,-1,-1,-1,-0.4012863577424448,-0.22156719745614373,-0.46930985402008507,-0.289327264559865,-1
squabble,-1,-1,-1,-0.26190011903439214,-0.2841229326026611,-0.215865933502273,-1,-1,-1,-1,-0.2065911967094909,-1,-0.058380727503125174,-1,-0.19830051238100466,-0.07588208860751133,-1,-1,-1,-1,-0.2514534183023993,-0.09279585730911033,-1,-1,-1,-1,-0.31518042596202767,-0.15992695258099454,-0.3168357540785818,-0.342232548295784,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
support,-1,-1,-1,0.5017574467098321,0.3888821406155891,0.6029603951676579,-1,-1,-1,-1,0.5628759167917072,-1,0.6466734703946655,-1,0.4458043373811661,0.5417267048011352,-1,-1,-1,-1,0.5544774362038093,0.5357556795215151,-1,-1,-1,-1,0.3169613824164659,0.43684116493736647,0.5174691305001561,0.5156353789541902,-1
if,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hung,-1,-1,-1,0.18773538354691266,0.20003922131052732,0.38872127099563025,-1,-1,-1,-1,0.28043594167943975,-1,0.14552507202383147,-1,0.11774344099002187,0.3248480843561766,-1,-1,-1,-1,0.21662074895755756,0.33594121217338435,-1,-1,-1,-1,0.2978472015130329,0.30708745599090026,0.14440760245050133,0.2066959695708741,-1
parliament,-1,-1,-1,0.4882753639784756,0.43033267603540815,0.6937622593778463,-1,-1,-1,-1,0.5370304458903024,-1,0.4872116769802455,-1,0.3288366261824974,0.5472346579605039,-1,-1,-1,-1,0.5561601914124463,0.5652950917252252,-1,-1,-1,-1,0.5183188474999004,0.5249267795695092,0.49968165282990307,0.3887383343849311,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
