model,``,training,we,have,to,be,serious,match-day,ultra,serious,but,after,the,game,-,win,lose,or,draw,-,i,'ll,be,me,.
park,-1,0.5421659758009275,-1,-1,-1,-1,0.1891929601055009,-0.17484473780821852,-0.20523466027122272,0.1891929601055009,-1,-1,-1,0.4021817603593655,-1,0.4175587022653817,0.2746164059997922,-1,0.38176643322135817,-1,-1,-1,-1,0.2339467682678461,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
positive,-1,0.40590084486548406,-1,-1,-1,-1,0.4424601618087862,0.19333247244629614,0.02248082437928489,0.4424601618087862,-1,-1,-1,0.39927273016529763,-1,0.2264056236873193,0.2884317224970694,-1,0.28604546020402655,-1,-1,-1,-1,0.3991117672409583,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
despite,-1,0.39866515351638965,-1,-1,-1,-1,0.39849840762903677,0.05656857064377818,-0.0015800702855737203,0.39849840762903677,-1,-1,-1,0.40979790366070623,-1,0.4581834935980932,0.41462065524197445,-1,0.33882233471096534,-1,-1,-1,-1,0.3402178834857559,-1
taking,-1,0.6121384667548955,-1,-1,-1,-1,0.41527100749006296,-0.0359917867075954,-0.16118249970928344,0.41527100749006296,-1,-1,-1,0.5184113729626412,-1,0.4954532164924528,0.4892425860829782,-1,0.3828649021897296,-1,-1,-1,-1,0.5484204704102666,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
side,-1,0.43947576365989893,-1,-1,-1,-1,0.3303173890471762,-0.049178159147601486,-0.08007243415848109,0.3303173890471762,-1,-1,-1,0.5913244467585278,-1,0.6507228029966506,0.46027697765956876,-1,0.5273204305223894,-1,-1,-1,-1,0.3814122503867581,-1
third,-1,0.4550408084558196,-1,-1,-1,-1,0.3098401841280103,0.042668824375643344,-0.07204121167307487,0.3098401841280103,-1,-1,-1,0.5470219707889812,-1,0.6863557354719586,0.45763502637682074,-1,0.47864741532505406,-1,-1,-1,-1,0.3505732102273914,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bottom,-1,0.26191731403956975,-1,-1,-1,-1,0.2597029284480985,-0.035106506065542886,0.14538701151958455,0.2597029284480985,-1,-1,-1,0.4006531091411023,-1,0.42863178451761486,0.33313486309271145,-1,0.41770195235465646,-1,-1,-1,-1,0.2547967244716445,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,0.4458589784380679,-1,-1,-1,-1,0.23472811292455265,0.14338698523985194,-0.05818574269625487,0.23472811292455265,-1,-1,-1,0.6451869507385654,-1,0.6951976120515346,0.43983461175682814,-1,0.5834058746839001,-1,-1,-1,-1,0.29271962158569176,-1
two,-1,0.5209151191030412,-1,-1,-1,-1,0.395473969964233,-0.029715346924660713,-0.1839927034004185,0.395473969964233,-1,-1,-1,0.4933907464842222,-1,0.5058569539717069,0.4337223739268127,-1,0.42656902785675954,-1,-1,-1,-1,0.38569961248978313,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
