model,'',liverpudlian,hignett,is,a,self-confessed,relaxed,and,jovial,character,but,says,that,will,have,no,impact,on,his,performance,with,reference,to,liverpool,boss,jurgen,klopp,.
park,-1,-0.14618965292367614,0.019943370596002152,-1,-1,-0.3166963881712803,0.049681921594340483,-1,-0.31013108620731256,0.21515790430989934,-1,0.37941920967882825,-1,-1,-1,0.2339320001657127,0.18477553745618014,-1,-1,0.30794852633085235,-1,0.05456100121426766,-1,0.5282441966768647,0.31412424711526143,0.0401363158838578,0.13885558760562322,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
positive,-1,-0.23156756467792738,-0.2250633771776238,-1,-1,0.035891264306718074,0.4732311981863826,-1,0.21026597464052044,0.4810769923287316,-1,0.2855836856931888,-1,-1,-1,0.36044362696500176,0.6280432053049301,-1,-1,0.5253916951454342,-1,0.3992412160486343,-1,0.16770234753192004,0.1330514892694401,-0.02153276999657905,0.12885731379713095,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
despite,-1,-0.1629008193693311,-0.25147965500793834,-1,-1,-0.05130448489210182,0.2129763370763268,-1,-0.07419806447414978,0.29797689397791793,-1,0.473308130627458,-1,-1,-1,0.40925479027641165,0.4269725127755637,-1,-1,0.5029890123593947,-1,0.3697116978226911,-1,0.3526416313966103,0.25002229544243093,-0.012665731300094407,0.14684964288523983,-1
taking,-1,-0.2291776879668881,-0.38746418413667794,-1,-1,-0.14467292253281672,0.24227770153215444,-1,-0.162938565914855,0.37340341713742364,-1,0.48244776302166104,-1,-1,-1,0.4721008488645867,0.4286366008108453,-1,-1,0.4095053505945512,-1,0.3307149114973693,-1,0.4034351858925569,0.24963960366574978,-0.06154439101019182,0.12240620264492763,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
side,-1,-0.04086257714657404,-0.11217112517448391,-1,-1,-0.12713450999844866,0.149793937249472,-1,-0.23536278019244272,0.3556636515997136,-1,0.4378125565955281,-1,-1,-1,0.3385968807482227,0.3364553716451313,-1,-1,0.4501552607769771,-1,0.20334018159397338,-1,0.7119554596748116,0.5628483070557703,0.2953229388928942,0.4255224465726827,-1
third,-1,0.037558156707477974,-0.27270159431580554,-1,-1,-0.04503911986665443,0.036807734427215855,-1,-0.14775487656643604,0.3932116940169097,-1,0.3893338850408671,-1,-1,-1,0.4031961338721739,0.27472792139020086,-1,-1,0.4647310506085005,-1,0.35077353904774433,-1,0.47160163524675425,0.30906187572674293,-0.02016006156638661,0.13310315447248577,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bottom,-1,-0.04107033708726715,-0.1582884159113649,-1,-1,-0.01391202991104823,0.0618543063165945,-1,-0.07713427804307815,0.2115903967749888,-1,0.20418742179284854,-1,-1,-1,0.1963268707787933,0.14981835478839345,-1,-1,0.2330690374437564,-1,0.11804949366722728,-1,0.44461963906313695,0.2558711622270632,0.11022662736768618,0.15735848910022887,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,-0.10672735865358218,-0.20864627082097287,-1,-1,-0.08312476379573153,0.045854589862806994,-1,-0.26441612168484174,0.21927154415658434,-1,0.3543662416338813,-1,-1,-1,0.3033687979480201,0.24274227205295018,-1,-1,0.36404150288556947,-1,0.20837101327405372,-1,0.6544370534307851,0.4693655276548093,0.19219003133275891,0.32146724203143284,-1
two,-1,-0.05752625735148742,-0.2954486298591037,-1,-1,-0.11202664869380552,0.1077413170905609,-1,-0.2745617801849707,0.3549072647721989,-1,0.42435219395062385,-1,-1,-1,0.3833229755315646,0.23827748734723597,-1,-1,0.34121229421957966,-1,0.29155021934294156,-1,0.4469138210858954,0.2962463580595859,-0.009108638123947799,0.1488951282240586,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
