model,'',since,hignett,'s,last,stint,on,the,pools,',touchline,the,club,has,been,taken,over,by,jpng,-,led,by,chairman,gary,coxall,-,from,ken,hodcroft,and,ior,limited,.
park,-1,-1,0.019943370596002152,-1,-1,0.21525275182140124,-1,-1,0.29340480809902236,-1,0.051627460334500164,-1,0.5241028456276078,-1,-1,0.4493334641985356,-1,-1,-0.46204093428450665,-1,0.35158572071022764,-1,0.3669272754573081,0.3734992101048955,-0.09059633437333603,-1,-1,0.10340129895230166,-0.5073270805917547,-1,-0.19962905514035678,0.2607752771723535,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
positive,-1,-1,-0.2250633771776238,-1,-1,0.24762337615870023,-1,-1,0.07582364886352644,-1,0.17275289739505784,-1,0.32227233796453125,-1,-1,0.41778267567819305,-1,-1,-0.37033784991221186,-1,0.24711215290020938,-1,0.14489377518121005,0.07280194403158213,-0.4221942139622048,-1,-1,0.02109976974907224,-0.42684113816542135,-1,-0.24353725120081937,0.5547771823777968,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
despite,-1,-1,-0.25147965500793834,-1,-1,0.2560171515611942,-1,-1,0.19171177231011471,-1,0.1749513814866499,-1,0.45059444902629764,-1,-1,0.3774250182521066,-1,-1,-0.4625609287678394,-1,0.5633219215257476,-1,0.2333420997070086,0.11946098208253031,-0.4060393742161432,-1,-1,0.07117726871368979,-0.5002589936535444,-1,-0.2901335453492322,0.50004331465041,-1
taking,-1,-1,-0.38746418413667794,-1,-1,0.2491711120567187,-1,-1,0.23354868665516637,-1,0.1529443320354047,-1,0.4659125638641649,-1,-1,0.8132022533707154,-1,-1,-0.5341052280753891,-1,0.49038433741942167,-1,0.2899045488191424,0.17624126974998988,-0.4825523858535239,-1,-1,0.012376031431035939,-0.6070193478866082,-1,-0.37249873989091187,0.594838805730421,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
side,-1,-1,-0.11217112517448391,-1,-1,0.28446595807896424,-1,-1,0.25579673153584137,-1,0.16846467512064434,-1,0.7306449083763245,-1,-1,0.4468969717580704,-1,-1,-0.5830955691022734,-1,0.5144808284028137,-1,0.39172208882216764,0.44300636904431956,-0.19698424484868715,-1,-1,0.10288606327616767,-0.6057219209954354,-1,-0.3069312461209335,0.4026856885446388,-1
third,-1,-1,-0.27270159431580554,-1,-1,0.4415509173432418,-1,-1,0.26386593187980667,-1,0.11123086627985157,-1,0.5407940848998376,-1,-1,0.46641055106381657,-1,-1,-0.5298913084876262,-1,0.5293568577301209,-1,0.30028062663779276,0.2675128884886899,-0.42630711195717685,-1,-1,0.03688479550725077,-0.6129724358004505,-1,-0.25622380409404966,0.44793874338527706,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bottom,-1,-1,-0.1582884159113649,-1,-1,0.14154715106461535,-1,-1,0.252499337510937,-1,0.15721321864681526,-1,0.5167020728443608,-1,-1,0.34158999551483604,-1,-1,-0.4621427315862643,-1,0.30699692794787325,-1,0.21374150124445324,0.26111133198940095,-0.2752890568757391,-1,-1,-0.04518455887881956,-0.5437061612764551,-1,-0.1375713866609567,0.2655735812726805,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,-1,-0.20864627082097287,-1,-1,0.2646657905956734,-1,-1,0.3141622460858755,-1,0.09564202750766881,-1,0.7783113937633318,-1,-1,0.3035796876022049,-1,-1,-0.5138096156784573,-1,0.3965972797271584,-1,0.34946357141955664,0.27770558249357746,-0.26114711196583595,-1,-1,-0.023769032364067355,-0.5749271644315024,-1,-0.23533747510362057,0.38464712703886295,-1
two,-1,-1,-0.2954486298591037,-1,-1,0.24178191974596008,-1,-1,0.386636162575267,-1,0.08278361550511104,-1,0.49420383921638955,-1,-1,0.5714663458414265,-1,-1,-0.5607139271297954,-1,0.45843150632451,-1,0.24530247164679242,0.24242823857772855,-0.4125911480619462,-1,-1,0.00975913876042156,-0.6736326741038918,-1,-0.3369598448103941,0.5005436193718449,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
