model,``,the,quality,i,'ve,seen,in,training,the,intensity,and,the,tempo,took,me,by,surprise,a,bit,'',hignett,told,bbc,tees,.
despite,-1,-1,0.4492412347594661,-1,-1,0.46833466529730305,-1,0.39866515351638965,-1,0.2867012099945383,-1,-1,0.23999351169622218,0.3089003077338929,0.3402178834857559,-1,0.49437989427824225,-1,0.32662976377514286,-1,-0.25147965500793834,-1,0.2614772080496217,-0.16608047916425872,-1
taking,-1,-1,0.4423539230361553,-1,-1,0.47185221091216145,-1,0.6121384667548955,-1,0.23636446145306755,-1,-1,0.15684836882927033,0.785652385328589,0.5484204704102666,-1,0.43264189322057867,-1,0.4420057286543497,-1,-0.38746418413667794,-1,0.3014464269582049,-0.08170630909070642,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
side,-1,-1,0.43750568533343703,-1,-1,0.34014169370510317,-1,0.43947576365989893,-1,0.32847235894268056,-1,-1,0.20342079901433607,0.40877720868391654,0.3814122503867581,-1,0.3830072358953286,-1,0.40920571736859945,-1,-0.11217112517448391,-1,0.3160349220205765,0.041372723903503106,-1
third,-1,-1,0.3498492785952887,-1,-1,0.36586634842578025,-1,0.4550408084558196,-1,0.23503340857899868,-1,-1,0.18995468627667744,0.529708628051545,0.3505732102273914,-1,0.47316971256011775,-1,0.3228362735290906,-1,-0.27270159431580554,-1,0.2766911602097859,-0.10769425734196458,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bottom,-1,-1,0.34596266972209255,-1,-1,0.21699747549068504,-1,0.26191731403956975,-1,0.3097240637345191,-1,-1,0.2796181982976791,0.2304511943004104,0.2547967244716445,-1,0.18405314158871455,-1,0.3649477478265708,-1,-0.1582884159113649,-1,0.1467171447611223,0.02362837320857636,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,-1,0.34311807961622853,-1,-1,0.29975489744735573,-1,0.4458589784380679,-1,0.2662362322323253,-1,-1,0.18864541601600748,0.3330279028693959,0.29271962158569176,-1,0.3385185471338833,-1,0.24021156986157532,-1,-0.20864627082097287,-1,0.2626403925610823,-0.09940716948763662,-1
two,-1,-1,0.33283601531247964,-1,-1,0.455798155022052,-1,0.5209151191030412,-1,0.229180561396382,-1,-1,0.13453366520193377,0.5496135788167545,0.38569961248978313,-1,0.3289729168782505,-1,0.33952336208405187,-1,-0.2954486298591037,-1,0.3923773525772336,0.023561646309213757,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
