model,footage,showed,the,workers,rescued,through,a,hole,cut,in,one,of,the,glass,windows,of,one,world,trade,center,.
cradle,0.07302070274894001,-0.1259536270522008,-1,-0.06737571916064855,0.10380675707559217,-0.04555417859787103,-1,0.15130881938700913,-0.011471397353113977,-1,-0.06892371679919207,-1,-1,0.28515770204014834,0.07969760961777439,-1,-0.06892371679919207,-0.08099609199835234,-0.046398202988852555,0.07649432938115053,-1
69,0.2356481285273353,0.26825606555447146,-1,0.25617741413575734,0.24930083463040253,0.21490400771210239,-1,0.3348896366340812,0.2752656856730542,-1,0.2973474424967115,-1,-1,0.3405004769612108,0.1334850914643948,-1,0.2973474424967115,0.26855869443469627,0.12318070976226214,0.23381469628142937,-1
storeys,-0.03483947735466675,-0.0197151718440276,-1,0.08947813419312356,-0.014447907239299562,0.03841691166061867,-1,0.12166858853147411,0.1963734778623183,-1,0.011340962647632735,-1,-1,-0.006810809453144495,0.15117133195939547,-1,0.011340962647632735,-0.0019439196281560989,-0.06374765504937052,-0.188374091263255,-1
above,0.15076281314916118,0.37859148504048146,-1,0.38513459123268534,0.32751894229850664,0.48550502039743737,-1,0.5540771948973853,0.6207019787779072,-1,0.5530754083341138,-1,-1,0.29043416347133344,0.4025972657126171,-1,0.5530754083341138,0.35720811263801866,0.23196415685804728,0.059259103723000806,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ground,0.26315458933877434,0.4678243183559099,-1,0.5532874274309303,0.41476819878415927,0.5945665439840798,-1,0.6206797280989241,0.5519842461438711,-1,0.5280616983503885,-1,-1,0.3529098363574903,0.37445448721544317,-1,0.5280616983503885,0.4047847843320047,0.3160523661389327,0.27334600285533184,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,0.18100348053145887,0.33797928683326295,-1,0.3094734420412275,0.19804683758303288,0.318503739007721,-1,0.36873279938209125,0.322145351541564,-1,0.5233370852855473,-1,-1,0.1386065410668056,0.13856066313009174,-1,0.5233370852855473,1.0,0.4415052216549895,0.3018545120282009,-1
trade,0.09876097649489723,0.2688117175322865,-1,0.46397746448112753,0.05795090412792514,0.2935389871659203,-1,0.2416961296265311,0.36945524714826106,-1,0.2674154291741121,-1,-1,0.1812925207030558,0.23880488343390716,-1,0.2674154291741121,0.4415052216549895,1.0,0.47716805617219193,-1
center,0.13140668459338556,0.22590200853184106,-1,0.38292475395753334,0.015036170798306214,0.1948567812852653,-1,0.3485134335915161,0.15290767302954555,-1,0.18946266019883473,-1,-1,0.3742691492565231,0.04678225006518022,-1,0.18946266019883473,0.3018545120282009,0.47716805617219193,1.0,-1
site,0.44410644615991757,0.38328659541529686,-1,0.5516073198417675,0.29391554863718894,0.4758763359469037,-1,0.4173995481900382,0.44365957285237245,-1,0.5168600200996689,-1,-1,0.3492311174382713,0.40369982542016924,-1,0.5168600200996689,0.4108030097929086,0.4019486155908425,0.4330164159634964,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
