model,people,on,the,ground,were,moved,back,in,case,glass,fell,from,one,world,trade,center,the,country,'s,tallest,skyscraper,.
trapped,0.687598662700079,-1,-1,0.6002866599650571,-1,0.5425601969787283,-1,-1,0.4170096994465834,0.46327505957518533,0.40161130087878294,-1,0.5096473764861758,0.3416038151509624,0.2600770779012964,0.13359112058571498,-1,0.507727769528149,-1,0.11416983002948378,-0.11156928815917788,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
collapsed,0.23354970274781528,-1,-1,0.43952484416878046,-1,0.4084686796657242,-1,-1,0.2675460180932314,0.370315060391334,0.41878819097009323,-1,0.301632828903188,0.21067585065077776,0.2562929945542074,0.14591080318323968,-1,0.3144425443099641,-1,0.35052750189942705,0.18449419917480991,-1
cradle,-0.05831420748121041,-1,-1,2.0513881101136278e-05,-1,-0.11107510360920347,-1,-1,-0.1023907127821142,0.28515770204014834,-0.03906501364214465,-1,-0.06892371679919207,-0.08099609199835234,-0.046398202988852555,0.07649432938115053,-1,-0.01858926029667818,-1,0.1812407385528837,0.17300835642874268,-1
69,0.310454280042582,-1,-1,0.3062920114592287,-1,0.25774424114328287,-1,-1,0.08623052230745376,0.3405004769612108,0.42750263893731066,-1,0.2973474424967115,0.26855869443469627,0.12318070976226214,0.23381469628142937,-1,0.15440281743750972,-1,0.0066702198560681936,-0.0906454273095294,-1
storeys,0.03815726925672236,-1,-1,0.10414053961197423,-1,0.049002658023397205,-1,-1,0.024180036712302844,-0.006810809453144495,0.1893683620168386,-1,0.011340962647632735,-0.0019439196281560989,-0.06374765504937052,-0.188374091263255,-1,-0.0019835959902594347,-1,-0.040937585933976006,0.010034565357914582,-1
above,0.41208784852405467,-1,-1,0.6563287707022416,-1,0.5865920260038959,-1,-1,0.344181911740455,0.29043416347133344,0.5430819082869724,-1,0.5530754083341138,0.35720811263801866,0.23196415685804728,0.059259103723000806,-1,0.4678170948044307,-1,0.0457784110777808,-0.16272498447235795,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ground,0.5200397747398952,-1,-1,1.0,-1,0.5891550003352335,-1,-1,0.4109611201539477,0.3529098363574903,0.47398837692498486,-1,0.5280616983503885,0.4047847843320047,0.3160523661389327,0.27334600285533184,-1,0.5685639670572148,-1,0.19075772133077606,-0.022645412632109174,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,0.36496800442501287,-1,-1,0.4047847843320047,-1,0.4043823347028801,-1,-1,0.2933714245137934,0.1386065410668056,0.29668896075228335,-1,0.5233370852855473,1.0,0.4415052216549895,0.3018545120282009,-1,0.51537231920061,-1,0.3090067921342281,0.041778914459369654,-1
trade,0.24857739165460624,-1,-1,0.3160523661389327,-1,0.190376204909958,-1,-1,0.2235539653639781,0.1812925207030558,0.2246769765908876,-1,0.2674154291741121,0.4415052216549895,1.0,0.47716805617219193,-1,0.42969118295818565,-1,0.1546314993984521,-0.12596006177268815,-1
center,0.10771404744525714,-1,-1,0.27334600285533184,-1,0.09510794152701374,-1,-1,0.20678291511610503,0.3742691492565231,0.10200059255958716,-1,0.18946266019883473,0.3018545120282009,0.47716805617219193,1.0,-1,0.22907928739907302,-1,0.25743531540719766,0.1660878057782803,-1
site,0.40786793735491833,-1,-1,0.589733974436483,-1,0.4608135805508995,-1,-1,0.4445006367264629,0.3492311174382713,0.24336440624507505,-1,0.5168600200996689,0.4108030097929086,0.4019486155908425,0.4330164159634964,-1,0.4604577666731493,-1,0.4123024639039852,0.19407600289570648,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
