model,the,call,came,in,at,12:42,est,-lrb-,17:42,gmt,-rrb-,and,firefighters,were,on,the,scene,in,less,than,four,minutes,it,said,.
collapsed,-1,0.2201745685264227,0.3476525609588772,-1,-1,-1,-0.1085978904329914,-1,-1,0.21955860484465417,-1,-1,0.2880696803844425,-1,-1,-1,0.36833001555801625,-1,0.12744920495541967,-1,0.3194423073035133,0.34448816406060634,-1,-1,-1
cradle,-1,-0.04633066237730188,-0.03595575885333413,-1,-1,-1,-0.1438529369204602,-1,-1,-0.2596811903924485,-1,-1,0.0128773579918805,-1,-1,-1,0.0772544512275527,-1,-0.1717362690310591,-1,-0.19686482267851702,-0.13092524780339065,-1,-1,-1
69,-1,-0.009670811133832169,0.2472052500908014,-1,-1,-1,-0.25030683740729165,-1,-1,0.41837312686310657,-1,-1,0.18067865161593566,-1,-1,-1,0.1885298977294575,-1,0.27673615070515867,-1,0.3576085205196402,0.48996061225153276,-1,-1,-1
storeys,-1,-0.07330096387218865,-0.040739168813038296,-1,-1,-1,-0.020218646009837027,-1,-1,0.22529475065461957,-1,-1,0.1391544206035651,-1,-1,-1,0.014262479821595453,-1,0.24469293019123683,-1,0.41487482341311255,0.4054447622224189,-1,-1,-1
above,-1,0.3432085940569607,0.44688292477781477,-1,-1,-1,-0.05819732637677344,-1,-1,0.3866532282876485,-1,-1,0.22186684844326332,-1,-1,-1,0.2278129608362558,-1,0.5553839644167767,-1,0.578576182443566,0.5830109023519309,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ground,-1,0.48540372569336654,0.5351161593489098,-1,-1,-1,-0.036963471405189186,-1,-1,0.28199162302863945,-1,-1,0.3365059314339859,-1,-1,-1,0.49052649819098426,-1,0.44917780587891176,-1,0.5536858542908387,0.4878322032884925,-1,-1,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,0.28036943036472795,0.35355802670391023,-1,-1,-1,-0.09311030839229217,-1,-1,0.19150118560633533,-1,-1,0.1017097106212208,-1,-1,-1,0.32295756551264065,-1,0.28707194683185144,-1,0.4557409425419894,0.2870903504582635,-1,-1,-1
trade,-1,0.34224422433896595,0.24759502450448245,-1,-1,-1,-0.07978490144247319,-1,-1,0.11176600847143692,-1,-1,0.08778301530723764,-1,-1,-1,0.11447196681997829,-1,0.2851675266421081,-1,0.20149138039543202,0.1247260180413361,-1,-1,-1
center,-1,0.17954558151790567,0.1250682579911907,-1,-1,-1,-0.2528840867751425,-1,-1,0.06474939582529426,-1,-1,0.020025441801678756,-1,-1,-1,0.20635778839639718,-1,0.059503586975354184,-1,0.11538680845995719,-0.011200576242989868,-1,-1,-1
site,-1,0.4170886285807405,0.29788091399001715,-1,-1,-1,-0.14664754194237184,-1,-1,0.3017274992069068,-1,-1,0.26550405330410554,-1,-1,-1,0.49696602058644346,-1,0.31579404563554037,-1,0.42087844379051587,0.267604825122739,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
