model,if,you,want,to,listen,to,the,radio,or,have,a,chat,with,a,friend,your,ear,has,to,convert,sound,waves,in,the,air,into,electrical,signals,which,the,brain,will,understand,.
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,-1,-1,0.3215838446242387,-1,0.19668139690260666,-1,-1,0.06571970613429579,-1,-1,-1,0.2010015574341919,-1,-1,0.20531969038227016,0.20272894195715174,0.12648403458475244,-1,-1,0.21339830060682696,0.21780179324056403,0.12542568437770063,-1,-1,0.19704662542153184,-1,0.289311554068894,0.22696581748562838,-1,-1,0.2870419569917576,-1,0.41992197743262527,-1
deafness,-1,-1,-0.013899857239127567,-1,-0.01177939784282156,-1,-1,-0.31358108645278415,-1,-1,-1,0.009456071795876264,-1,-1,-0.09080419545777874,0.18430478734656153,0.14487340112710234,-1,-1,0.07168914788482827,0.09831611616694458,0.14919491084020842,-1,-1,0.0036887076242708705,-1,0.31023157982445215,0.21242101879100783,-1,-1,0.3073283726027295,-1,0.1316821873631634,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,-1,-1,0.13297784859612183,-1,0.09546314752972263,-1,-1,-0.04114527928137868,-1,-1,-1,0.4751673416045723,-1,-1,0.09121472904891981,0.2237378332290163,0.3075207587774351,-1,-1,0.41075986972237066,0.23640415795406433,0.40343263516953454,-1,-1,0.33864651599286333,-1,0.4971133538155772,0.4157971456995656,-1,-1,0.4736753139826525,-1,0.25176384149074305,-1
cells,-1,-1,0.21515675141276647,-1,0.06322156423118852,-1,-1,-0.07098109708289368,-1,-1,-1,0.30691408340910953,-1,-1,0.23498605798168026,0.3321803069278262,0.30660525809030115,-1,-1,0.36418198020354187,0.315941628251311,0.37516061886299956,-1,-1,0.36252920359340035,-1,0.44351412719747096,0.41627319533178575,-1,-1,0.6559260309910249,-1,0.30585724851576135,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,-1,-1,0.44769343943231155,-1,0.3393163114434724,-1,-1,0.26725098987288276,-1,-1,-1,0.4210204760740883,-1,-1,0.36712216964384115,0.38372958672662993,0.17185194009375937,-1,-1,0.27857536767336577,0.4104782754928309,0.3744410131061442,-1,-1,0.4445648195381664,-1,0.3353521271754838,0.39988852771005856,-1,-1,0.35866019021128726,-1,0.41549599683436744,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,-1,-1,0.41277408218928047,-1,0.13881719025195316,-1,-1,-0.026629549105046557,-1,-1,-1,0.1900818284501804,-1,-1,0.2225317310941587,0.2559455720206276,0.21201907348682703,-1,-1,0.31278615055515613,0.10215014810853207,0.1656032125519562,-1,-1,0.31681964025692866,-1,0.31441505154264493,0.13449515222170927,-1,-1,0.2660467238099593,-1,0.36470550652815126,-1
hearing,-1,-1,0.28009885757567843,-1,0.2958867420823046,-1,-1,0.3730083911506993,-1,-1,-1,0.33217793864138834,-1,-1,0.22696752612803095,0.24167142157088306,0.0655917110978308,-1,-1,0.026134636913962006,0.3688871733872998,0.18288024413341175,-1,-1,0.2547777547135195,-1,0.09420901535389692,0.3101214489355222,-1,-1,0.22402598622973446,-1,0.22709489547233308,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,-1,-1,0.5468103250108678,-1,0.3487450863564283,-1,-1,0.21427448712134833,-1,-1,-1,0.40589473468068493,-1,-1,0.3470138578628055,0.42437930115253863,0.243161425773727,-1,-1,0.4120053178624824,0.4488361637316014,0.4351102474042491,-1,-1,0.3830188642269765,-1,0.3556411169010799,0.38795789248688173,-1,-1,0.385969204549545,-1,0.5264955784088907,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
