model,however,in,about,one,in,10,people,with,profound,hearing,loss,nerve,cells,which,should,pick,up,the,signal,are,damaged,.
stem,0.08479342610834129,-1,-1,0.15146995784934125,-1,0.05227866094908462,0.20555205094393159,-1,0.1122416873336648,0.10803873892547877,0.16804666963212223,0.4731552676570694,0.7770479699585419,-1,0.19526189641928104,0.1627124652265115,-1,-1,0.28659089258774817,-1,0.22494736046571606,-1
cells,0.1824554986866388,-1,-1,0.1951955543400089,-1,0.19417423762255037,0.29822110603201757,-1,0.07298560975454516,0.09045052697490752,0.1904036478396438,0.5381292198687484,1.0,-1,0.2939600654150183,0.1887080642452178,-1,-1,0.24355071600631606,-1,0.3450994520834503,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,0.42223099400690534,-1,-1,0.44194020573461934,-1,0.3878319740954618,0.38970287364413814,-1,0.05894853122209043,0.21820121657670943,0.18790972203578393,0.315612902549258,0.4809950432207354,-1,0.48039007428218894,0.3603844916483827,-1,-1,0.29694830926617544,-1,0.3135298031180621,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,0.2327708893664059,-1,-1,0.11373006558286869,-1,0.11329294667708467,0.2653026592323865,-1,0.2324301333522586,0.16135092342192392,0.27581793109060837,0.33400143467387955,0.31611344945718045,-1,0.383078310429539,0.22516197618648492,-1,-1,0.16639742233001287,-1,0.4047423032770665,-1
hearing,0.4226685159041744,-1,-1,0.3235356620792855,-1,0.35412627756633264,0.28115099268395705,-1,0.20887755155952348,1.0,0.47189987153281066,0.2336982971860332,0.09045052697490752,-1,0.3451013700401149,0.24817449932970814,-1,-1,0.1802075526082284,-1,0.1286726571847977,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,0.47070937677173696,-1,-1,0.5163835668597778,-1,0.505168526480091,0.6390127926779304,-1,0.2510112549873982,0.17541058929871622,0.34579534778694176,0.24947914133181393,0.5445997254259705,-1,0.5440808587890985,0.3642056830680054,-1,-1,0.24179429547327713,-1,0.41038348640187583,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
