model,while,there,is,excitement,at,the,prospect,of,using,stem,cells,to,restore,nerves,in,the,ear,this,exact,technique,will,not,help,the,vast,vast,majority,of,people,with,hearing,loss,.
used,0.43588840784204597,-1,-1,0.1969185346642356,-1,-1,0.15369150856522562,-1,0.775743603226459,0.34939384670218043,0.4809950432207354,-1,0.24936609984013303,0.2006585491514533,-1,-1,0.17185194009375937,-1,0.32150923769142237,0.6794599223031769,-1,-1,-1,-1,0.31292720616344105,0.31292720616344105,0.2606380866437028,-1,0.38970287364413814,-1,0.21820121657670943,0.18790972203578393,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,0.21841481236043958,-1,-1,0.28883403414612396,-1,-1,0.16730876999344169,-1,0.29558194933795134,0.3028181453763784,0.31611344945718045,-1,1.0,0.2932622894694784,-1,-1,0.21201907348682703,-1,0.2648161182682982,0.30328060221102904,-1,-1,-1,-1,0.3196786834204155,0.3196786834204155,0.33426251975965593,-1,0.2653026592323865,-1,0.16135092342192392,0.27581793109060837,-1
hearing,0.40678657016002406,-1,-1,0.2749211394441855,-1,-1,0.42041160985951076,-1,0.25519159173990225,0.10803873892547877,0.09045052697490752,-1,0.16135092342192392,0.2559625377020558,-1,-1,0.0655917110978308,-1,0.27046035053224493,0.13253690674014118,-1,-1,-1,-1,0.09420258338186605,0.09420258338186605,0.23476957644547336,-1,0.28115099268395705,-1,1.0,0.47189987153281066,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,0.5747978611096588,-1,-1,0.35178321824487213,-1,-1,0.3518223637523691,-1,0.6917424382333669,0.3858809844752984,0.5445997254259705,-1,0.22472059312732495,0.3742438930495602,-1,-1,0.243161425773727,-1,0.527670850901487,0.35361631399674887,-1,-1,-1,-1,0.40372044236264526,0.40372044236264526,0.3736195799221973,-1,0.6390127926779304,-1,0.17541058929871622,0.34579534778694176,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
