model,the,aim,of,researchers,at,the,university,of,sheffield,was,to,replace,those,baton-dropping,nerve,cells,called,spiral,ganglion,neurons,with,new,ones,.
cells,-1,0.17996422921804944,-1,0.38526809747670665,-1,-1,0.1801974036013384,-1,-0.00772150665171023,-1,-1,0.29129488044949614,0.36084323730479373,-0.31539635585451586,0.5381292198687484,1.0,0.20870505919625948,0.260561540653824,-0.168644004812466,0.40787596906358026,-1,-1,0.4435885612688789,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,-1,0.3626654306492414,-1,0.513860094785522,-1,-1,0.2728080109076261,-1,0.1543441799748002,-1,-1,0.3906506285573714,0.4913242073223829,-0.44088992275558847,0.315612902549258,0.4809950432207354,0.5211187928198209,0.04865960141757231,-0.4982763672280086,0.09597585092242522,-1,-1,0.4743739073746809,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,-1,0.5141166405033227,-1,0.16475352546748034,-1,-1,0.14090003704011145,-1,0.026224755367746266,-1,-1,0.4165187720075735,0.2567142708802044,-0.3548791353356908,0.33400143467387955,0.31611344945718045,0.24192444446320083,0.18240589902963367,-0.341021104499295,0.047878227992039335,-1,-1,0.13500966263745995,-1
hearing,-1,0.25945369750043135,-1,0.32205576453174334,-1,-1,0.35623248189159695,-1,0.3466917003555332,-1,-1,0.1331112035105333,0.3147984595861365,-0.4471602996074189,0.2336982971860332,0.09045052697490752,0.3003360054737234,0.14003985369821204,-0.40597696903135194,-0.07732510113157676,-1,-1,0.14572114108801337,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,-1,0.38589349024526465,-1,0.43429666832225977,-1,-1,0.37017652485938357,-1,0.20496388805186705,-1,-1,0.3773972402612492,0.6730424023007183,-0.5687666848446566,0.24947914133181393,0.5445997254259705,0.34634279324056627,0.05573908296403596,-0.6295224890038438,0.28155371012582453,-1,-1,0.6382762412667614,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
