model,they,used,stem,cells,from,a,human,embryo,which,are,capable,of,becoming,any,other,type,of,cell,in,the,human,body,from,nerve,to,skin,muscle,to,kidney,.
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,-1,0.3505928637858112,0.2843902573334465,0.4013361891579347,-1,-1,0.2979056967339544,0.04101964232900823,-1,-1,0.3904331679053372,-1,0.3304192896197541,0.32961395688071904,-1,0.3380505340902644,-1,0.37607692783304003,-1,-1,0.2979056967339544,0.22411447347256686,-1,0.27508590429044577,-1,0.3770997012425634,0.20149414344133776,-1,0.26039934607114645,-1
deafness,-1,-0.1043528601705801,0.16176356566192984,0.13685190704394756,-1,-1,0.09706584711560717,0.23478703500926423,-1,-1,0.0061326375988722814,-1,-0.02278954569997027,0.20750400490513476,-1,0.033254357762113274,-1,0.09734275574150786,-1,-1,0.09706584711560717,-0.01472458971231827,-1,0.2634111608095666,-1,0.33074668007503916,0.48678886463401716,-1,0.4533325025093383,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,-1,0.34939384670218043,1.0,0.7770479699585419,-1,-1,0.29371911988623944,0.3816854454870888,-1,-1,0.2079398551795657,-1,0.10475333252265417,0.20437031644640025,-1,0.36228072626564567,-1,0.7460070680248282,-1,-1,0.29371911988623944,0.3390773656076106,-1,0.4731552676570694,-1,0.4810632690987431,0.3626025359697569,-1,0.4832054742047438,-1
cells,-1,0.4809950432207354,0.7770479699585419,1.0,-1,-1,0.4991054804227253,0.33893251852849127,-1,-1,0.2727234335567973,-1,0.16809767273977105,0.20195059252305314,-1,0.4116120255562524,-1,0.6906759535761534,-1,-1,0.4991054804227253,0.46768935168463566,-1,0.5381292198687484,-1,0.6961547064928573,0.3782838739213523,-1,0.38903242407169647,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,-1,1.0,0.34939384670218043,0.4809950432207354,-1,-1,0.3699497774466768,0.08163896633148371,-1,-1,0.39083789197941576,-1,0.2996528279994708,0.39509046172191975,-1,0.44247875114313406,-1,0.4018602136604985,-1,-1,0.3699497774466768,0.45927243999890166,-1,0.315612902549258,-1,0.34611110946218326,0.2689993111776572,-1,0.17231373034952946,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,-1,0.24936609984013303,0.3028181453763784,0.31611344945718045,-1,-1,0.18778203881905942,0.17300892615714025,-1,-1,0.14291122991819527,-1,0.20807402291492394,0.2831617918708027,-1,0.06370491333546335,-1,0.1650252658560889,-1,-1,0.18778203881905942,0.3354392835050637,-1,0.33400143467387955,-1,0.25190001276663376,0.33268494264734594,-1,0.2697575550402589,-1
hearing,-1,0.21820121657670943,0.10803873892547877,0.09045052697490752,-1,-1,0.3161308760079333,0.11724150285338486,-1,-1,0.17587529269363666,-1,0.14137884814113266,0.35177122395855887,-1,0.18443361358498989,-1,0.2576520743585171,-1,-1,0.3161308760079333,0.3778569376124905,-1,0.2336982971860332,-1,0.03586569868691358,0.15230513261889,-1,0.07430303337456468,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,-1,0.5636711654952458,0.3858809844752984,0.5445997254259705,-1,-1,0.469301509612601,0.13650705334604618,-1,-1,0.46141860216429476,-1,0.4065924367480549,0.4776655654311146,-1,0.4379035304056689,-1,0.3344585238276555,-1,-1,0.469301509612601,0.37170200350116267,-1,0.24947914133181393,-1,0.599395168601963,0.24319443074068015,-1,0.2152231943042704,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
