model,in,april,2014,a,judge,in,the,high,court,in,belfast,upheld,a,claim,by,a,short,strand,resident,who,can,not,be,named,to,protect,his,safety,that,the,psni,had,failed,in,its,legal,duty,to,stop,the,parades,.
psni,-1,0.2232512776636565,0.29689837758353255,-1,0.4647305980194649,-1,-1,0.23080667787747544,0.34966456988305805,-1,0.5367457527294672,0.30774416356054446,-1,0.3169516136165944,-1,-1,0.11393657185774808,0.004463236314686925,0.34093505585758166,-1,-1,-1,-1,0.44649365595999035,-1,0.3462700662946683,-1,0.4302823529106392,-1,-1,1.0,-1,0.3342213438746282,-1,-1,0.2792135703621481,0.4615281923091845,-1,0.27033978497160527,-1,0.4235450371936794,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wrong,-1,0.2275643345914906,0.18272424703760448,-1,0.2910915233521143,-1,-1,0.25008688137474155,0.3320792898684597,-1,0.23107760935892463,0.22538453020600946,-1,0.3791582181710902,-1,-1,0.4709502154710421,0.2441455458655668,0.15376724493151284,-1,-1,-1,-1,0.30626501819984076,-1,0.33805866911981786,-1,0.33915770636642417,-1,-1,0.15793342200419191,-1,0.3949784033585215,-1,-1,0.2742032688820506,0.2732910198709695,-1,0.4553223809008766,-1,0.01686452339403499,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.3480904341116754,0.3536832029728372,-1,0.2629783997782196,-1,-1,0.2701182975881774,0.3750487490998238,-1,0.35668851178664496,0.1294195088782064,-1,0.46273000583316615,-1,-1,0.4400175816994534,0.1065065800390873,0.09516112218064432,-1,-1,-1,-1,0.36917073995546235,-1,0.6301301894134964,-1,0.47429358374838004,-1,-1,0.27033978497160527,-1,0.5624160657353101,-1,-1,0.28751482410288776,0.5833475060625789,-1,1.0,-1,0.05529257051041292,-1
union,-1,0.32345367008576775,0.3872252116561341,-1,0.2508826665085673,-1,-1,0.3013248569508499,0.3395570104076657,-1,0.4535723926787151,0.13106027016526256,-1,0.37859340498257765,-1,-1,0.22467806386222833,-0.08363222015762384,0.31948323198461026,-1,-1,-1,-1,0.38409039132290546,-1,0.41032486613132535,-1,0.5120031918133905,-1,-1,0.5722004116854658,-1,0.3693034525026706,-1,-1,0.359565176033356,0.4916118579366773,-1,0.3981012086939778,-1,0.2579332947453916,-1
flag,-1,0.14644359840814636,0.17046514076648334,-1,0.21113524531977979,-1,-1,0.3001491931283957,0.33536589202156186,-1,0.39805369173918703,0.29497130775351765,-1,0.353737870246535,-1,-1,0.27793852223169413,0.18666094696161106,0.13353700918932143,-1,-1,-1,-1,0.2620109779462685,-1,0.3038656947061711,-1,0.3002755755122659,-1,-1,0.3116061735383626,-1,0.12093088469000413,-1,-1,0.32136647517922556,0.4909480714386285,-1,0.32599376250515066,-1,0.15216100376152264,-1
protests,-1,0.45515267041520846,0.4827164784521605,-1,0.1338161115957548,-1,-1,0.3631541412788676,0.3254035628620444,-1,0.47203835178938225,0.28508889575570284,-1,0.35778610780274356,-1,-1,0.3325986094137796,0.17619927761040732,0.05202360166648223,-1,-1,-1,-1,0.26456651674324294,-1,0.21176586386646934,-1,0.2074396727855714,-1,-1,0.219424170333826,-1,0.23477386644338905,-1,-1,0.24487823656502594,0.2893491814737871,-1,0.30950456879254384,-1,0.23800400198874838,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
