model,there,were,widespread,loyalist,protests,across,northern,ireland,after,belfast,city,council,decided,not,to,fly,the,union,flag,at,the,city,hall,every,day,of,the,year,in,december,2012,.
psni,-1,-1,0.2184777645642273,0.2803464045461922,0.219424170333826,0.28423552204001346,0.5351360029312388,0.5417770996665873,-1,0.5367457527294672,0.370129470059132,0.46714282669434914,0.43522784064916165,-1,-1,0.18305801523150655,-1,0.5722004116854658,0.3116061735383626,-1,-1,0.370129470059132,0.3399643084007602,0.1812190295172209,0.19931887482374244,-1,-1,0.27171144113241696,-1,0.27095531629885716,0.29145088055558643,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wrong,-1,-1,0.12033322649427158,-0.0832890289765913,0.16117637815329466,0.23059044130884732,0.22245773930562796,0.22299733449802406,-1,0.23107760935892463,0.2955606316509082,0.19738556989759737,0.5021101510462983,-1,-1,0.40317892141005374,-1,0.23032171039109106,0.3049768502431156,-1,-1,0.2955606316509082,0.23428119038364392,0.45305495377063476,0.385881872485373,-1,-1,0.30028577877928875,-1,0.21945072243529962,0.16176548649365707,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,-1,0.29239018603897415,-0.05586775652769638,0.30950456879254384,0.37862474338537266,0.31098389213019595,0.32416228798064195,-1,0.35668851178664496,0.2789931459744419,0.24235745087579552,0.5909949991437305,-1,-1,0.5828903875248361,-1,0.3981012086939778,0.32599376250515066,-1,-1,0.2789931459744419,0.10857794289695111,0.42292887692035164,0.43133394178265894,-1,-1,0.39817814524868034,-1,0.32107256670375794,0.3638655618070781,-1
union,-1,-1,0.16788924529498028,0.12624507757820713,0.22424305367844866,0.40275177005259644,0.5369885798201004,0.5839436531366308,-1,0.4535723926787151,0.38664249801783834,0.4674151617155963,0.46869855596342314,-1,-1,0.2613419781631434,-1,1.0,0.44425391728020913,-1,-1,0.38664249801783834,0.22854003796347222,0.33485196923173777,0.3240628795241878,-1,-1,0.40622237024111096,-1,0.33092025149206794,0.34532039963694383,-1
flag,-1,-1,0.19368710121220645,0.2496906577517498,0.35819842828382054,0.24264956633918766,0.2711695567463138,0.2366954023173744,-1,0.39805369173918703,0.2522741365248028,0.22413312797526352,0.3105006729970252,-1,-1,0.45014908204574855,-1,0.44425391728020913,1.0,-1,-1,0.2522741365248028,0.29562658578318757,0.2647775539506074,0.2992821152028782,-1,-1,0.24845672915823025,-1,0.14157377138612692,0.1903104524769188,-1
protests,-1,-1,0.5808470717927938,0.4379978943091186,1.0,0.4963722192148745,0.38767655694983727,0.33924374604725904,-1,0.47203835178938225,0.3640902964596723,0.1949769153242873,0.2815618545558496,-1,-1,0.20228421831112775,-1,0.22424305367844866,0.35819842828382054,-1,-1,0.3640902964596723,0.27154301039217477,0.23072134652375587,0.36414349784813105,-1,-1,0.422514918733116,-1,0.44902351328443824,0.42956634400766625,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
