model,a,high,court,judge,in,belfast,had,ruled,that,the,psni,should,not,have,facilitated,illegal,parades,and,was,wrong,to,think,it,did,not,have,legal,powers,to,stop,them,.
decision,-1,0.35639623125105835,0.5790980365418638,0.5153121348913575,-1,0.3812345722970465,-1,0.668670509895123,-1,-1,0.362490286075168,0.6206593843802154,-1,-1,0.11944815089330418,0.31567939951286506,0.23976958109898017,-1,-1,0.5472581031446454,-1,0.5478357189337836,-1,0.62141780649282,-1,-1,0.46478731432946563,0.30127303839390973,-1,0.5224988388261255,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
overturn,-1,0.18639459910594525,0.4642765882719737,0.4207183049297869,-1,0.07782203836703339,-1,0.5087074252519799,-1,-1,0.14069193179688977,0.3268622338353676,-1,-1,0.27563838773498006,0.237930078531704,0.22716378935533166,-1,-1,0.25896748841893036,-1,0.1704238536288596,-1,0.38668445846902455,-1,-1,0.3380276644626501,0.21744011157659815,-1,0.32639790595891804,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
court,-1,0.6285435101405337,1.0,0.7382300757525403,-1,0.6128278687534019,-1,0.7994303948486576,-1,-1,0.34966456988305805,0.4513120763884372,-1,-1,-0.054058081488621346,0.2644501023366258,0.2680069855585444,-1,-1,0.3320792898684597,-1,0.31163908119147543,-1,0.4938623906238082,-1,-1,0.4406339837617852,0.23446359707354592,-1,0.3750487490998238,-1,-1
ruling,-1,0.4621524190254084,0.7377828707034109,0.6327724976319815,-1,0.5265704820328374,-1,0.811593512675746,-1,-1,0.5402539161934641,0.5529922000270335,-1,-1,0.10003267808946836,0.32281121616136976,0.3277729361878039,-1,-1,0.3829849438127446,-1,0.42796066030196833,-1,0.5914374614459375,-1,-1,0.465141413436702,0.35786320662751825,-1,0.4535788892742253,-1,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
psni,-1,0.23080667787747544,0.34966456988305805,0.4647305980194649,-1,0.5367457527294672,-1,0.4788146733757527,-1,-1,1.0,0.41723996033240685,-1,-1,0.0816088038560554,0.2700975115556379,0.4235450371936794,-1,-1,0.15793342200419191,-1,0.31577829448470496,-1,0.3713379447671762,-1,-1,0.2792135703621481,0.3040007718785178,-1,0.27033978497160527,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wrong,-1,0.25008688137474155,0.3320792898684597,0.2910915233521143,-1,0.23107760935892463,-1,0.41552107153365636,-1,-1,0.15793342200419191,0.5022883706604703,-1,-1,0.1642319282714797,0.25990900372026116,0.01686452339403499,-1,-1,1.0,-1,0.6514425396934406,-1,0.5664853381928364,-1,-1,0.2742032688820506,0.18459248697020447,-1,0.4553223809008766,-1,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.2701182975881774,0.3750487490998238,0.2629783997782196,-1,0.35668851178664496,-1,0.4267063784071774,-1,-1,0.27033978497160527,0.61631089678428,-1,-1,0.13992740876888365,0.5308231320727821,0.05529257051041292,-1,-1,0.4553223809008766,-1,0.5794874276296729,-1,0.6385185371438764,-1,-1,0.28751482410288776,0.3864479817682793,-1,1.0,-1,-1
union,-1,0.3013248569508499,0.3395570104076657,0.2508826665085673,-1,0.4535723926787151,-1,0.35328520563087684,-1,-1,0.5722004116854658,0.5325177067208829,-1,-1,-0.03952419958546005,0.2845543974006539,0.2579332947453916,-1,-1,0.23032171039109106,-1,0.4438967315135147,-1,0.4209199820488867,-1,-1,0.359565176033356,0.44730363953692753,-1,0.3981012086939778,-1,-1
flag,-1,0.3001491931283957,0.33536589202156186,0.21113524531977979,-1,0.39805369173918703,-1,0.30090378854755584,-1,-1,0.3116061735383626,0.28391632685134094,-1,-1,0.076848507709675,0.3140104180121094,0.15216100376152264,-1,-1,0.3049768502431156,-1,0.24365722497602815,-1,0.17713356466440777,-1,-1,0.32136647517922556,0.3019146769048442,-1,0.32599376250515066,-1,-1
protests,-1,0.3631541412788676,0.3254035628620444,0.1338161115957548,-1,0.47203835178938225,-1,0.35029739670021476,-1,-1,0.219424170333826,0.22392355086734705,-1,-1,0.1777450551151626,0.2981088987332564,0.23800400198874838,-1,-1,0.16117637815329466,-1,0.17147042842702565,-1,0.19785863563145478,-1,-1,0.24487823656502594,0.2640706327866028,-1,0.30950456879254384,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
