model,the,judge,said,the,police,had,not,understood,the,full,scope,of,their,powers,and,had,facilitated,illegal,and,sometimes,violent,parades,in,breach,of,their,legal,duties,.
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
challenged,-1,0.5322864578056367,-1,-1,0.3801308249008224,-1,-1,0.6441600892897613,-1,0.3244061125073755,0.21411670202783495,-1,-1,0.36546009537962454,-1,-1,0.43998798585641885,0.2793779350105625,-1,0.4444127961400981,0.3043981274104247,0.1426343068662289,-1,0.3663203596085308,-1,-1,0.33301196518294507,0.3296803160727715,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
decision,-1,0.5153121348913575,-1,-1,0.3259099119498854,-1,-1,0.4774723065786075,-1,0.5613272005862797,0.2753492333202181,-1,-1,0.30127303839390973,-1,-1,0.11944815089330418,0.31567939951286506,-1,0.4368778130393408,0.29761072183400694,0.23976958109898017,-1,0.46398811163887543,-1,-1,0.46478731432946563,0.33683275391343825,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
overturn,-1,0.4207183049297869,-1,-1,0.096381577399544,-1,-1,0.2566167593890494,-1,0.29165019868191155,0.215042032493994,-1,-1,0.21744011157659815,-1,-1,0.27563838773498006,0.237930078531704,-1,0.17553582870564122,0.08732217593268476,0.22716378935533166,-1,0.3968974182115388,-1,-1,0.3380276644626501,0.26214063562344003,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
court,-1,0.7382300757525403,-1,-1,0.383813384357943,-1,-1,0.34372140958251607,-1,0.4155811063691266,0.10319461131718488,-1,-1,0.23446359707354592,-1,-1,-0.054058081488621346,0.2644501023366258,-1,0.26482627206551435,0.24950516286016922,0.2680069855585444,-1,0.3822811993233166,-1,-1,0.4406339837617852,0.23300023530271785,-1
ruling,-1,0.6327724976319815,-1,-1,0.422919227122724,-1,-1,0.43096629613928306,-1,0.5472009893734171,0.19903204591408075,-1,-1,0.35786320662751825,-1,-1,0.10003267808946836,0.32281121616136976,-1,0.326507034763178,0.3774298148931785,0.3277729361878039,-1,0.5494023981985584,-1,-1,0.465141413436702,0.33035079641857057,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
psni,-1,0.4647305980194649,-1,-1,0.671677717471824,-1,-1,0.4986769444373511,-1,0.29174086883788686,0.2057042091689253,-1,-1,0.3040007718785178,-1,-1,0.0816088038560554,0.2700975115556379,-1,0.16630390672683992,0.26273081295575407,0.4235450371936794,-1,0.4011928456146947,-1,-1,0.2792135703621481,0.20531562052366992,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wrong,-1,0.2910915233521143,-1,-1,0.20543820871002572,-1,-1,0.4579540894002929,-1,0.3406769971589463,0.27130631685610185,-1,-1,0.18459248697020447,-1,-1,0.1642319282714797,0.25990900372026116,-1,0.6003097038663305,0.260370002739716,0.01686452339403499,-1,0.3010348606724589,-1,-1,0.2742032688820506,0.08705727209452763,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.2629783997782196,-1,-1,0.4581111075798592,-1,-1,0.3767470751718174,-1,0.4183321803011153,0.23539351913713458,-1,-1,0.3864479817682793,-1,-1,0.13992740876888365,0.5308231320727821,-1,0.5912191530994909,0.34499827050514953,0.05529257051041292,-1,0.3299647592090533,-1,-1,0.28751482410288776,0.2833112348232256,-1
union,-1,0.2508826665085673,-1,-1,0.3551998890807109,-1,-1,0.29421781368351363,-1,0.41872365144990775,0.07666059702639405,-1,-1,0.44730363953692753,-1,-1,-0.03952419958546005,0.2845543974006539,-1,0.2719786976768013,0.14836319760016503,0.2579332947453916,-1,0.381935506064793,-1,-1,0.359565176033356,0.19412334853037105,-1
flag,-1,0.21113524531977979,-1,-1,0.2714127199359859,-1,-1,0.2351886366291387,-1,0.20644342496577284,0.03851594932238067,-1,-1,0.3019146769048442,-1,-1,0.076848507709675,0.3140104180121094,-1,0.21000764475415645,0.281857833957877,0.15216100376152264,-1,0.2893315717463394,-1,-1,0.32136647517922556,0.291825121946768,-1
protests,-1,0.1338161115957548,-1,-1,0.3861522928327388,-1,-1,0.20696273630046313,-1,0.28083276102956867,0.12994172021587835,-1,-1,0.2640706327866028,-1,-1,0.1777450551151626,0.2981088987332564,-1,0.28387068919030856,0.6881259683363268,0.23800400198874838,-1,0.22751044607704352,-1,-1,0.24487823656502594,0.21196579961337791,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
