model,the,protests,included,a,weekly,parade,between,east,belfast,and,city,hall,which,passed,the,nationalist,short,strand,area,.
decision,-1,0.3457410207605476,0.4052377430814528,-1,0.29553351529402216,0.2780015705512542,0.24016692527151606,0.2503275777543543,0.3812345722970465,-1,0.37447515540808296,0.23172230989958276,-1,0.5174507861319909,-1,0.19950086932581157,0.4463927629376352,0.11297052865272872,0.3103079032970869,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
overturn,-1,0.12430158503410316,0.12517645167640845,-1,0.19858811586695535,0.15655800986693613,-0.0670802251084539,-0.09990365814395075,0.07782203836703339,-1,0.09418426801924251,-0.0314025629940613,-1,0.3178962389454769,-1,0.09818299531790131,0.14384478178899884,0.05801640401427777,0.031734658143038996,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
court,-1,0.3254035628620444,0.3558826975028766,-1,0.29342020462036056,0.24661642590564492,0.25169280396057525,0.33838053477749397,0.6128278687534019,-1,0.46877260604469506,0.37913271409085236,-1,0.414885662163319,-1,0.13785521320637462,0.4153956677752537,0.2533448431896843,0.3612565265427511,-1
ruling,-1,0.43925937480572497,0.4456674485168387,-1,0.3970806663632773,0.2685703906285841,0.2595861273319423,0.33540961107323164,0.5265704820328374,-1,0.42322718480861954,0.29176767163635153,-1,0.5598518772269953,-1,0.4000536149670807,0.4069445414092785,0.11695863300191578,0.3412813340706522,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
psni,-1,0.219424170333826,0.304469995627038,-1,0.16876359527352747,0.1565487441505492,0.2350353182285706,0.4231477594203753,0.5367457527294672,-1,0.370129470059132,0.3399643084007602,-1,0.31851938970185445,-1,0.42791556167477474,0.11393657185774808,0.004463236314686925,0.32463185369793013,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wrong,-1,0.16117637815329466,0.1630211880295368,-1,0.05466623864284936,0.22801203717516838,0.2583895807107164,0.1874770135893321,0.23107760935892463,-1,0.2955606316509082,0.23428119038364392,-1,0.444629977527647,-1,0.0651264512983486,0.4709502154710421,0.2441455458655668,0.3686659997807129,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.30950456879254384,0.30942347815994853,-1,0.15444495984566808,0.302007558672583,0.32033737289909614,0.32817429160820133,0.35668851178664496,-1,0.2789931459744419,0.10857794289695111,-1,0.48973289167404244,-1,0.12099640933965583,0.4400175816994534,0.1065065800390873,0.41776599540378134,-1
union,-1,0.22424305367844866,0.3361879430801564,-1,0.3761922071187771,0.12671281324168215,0.40645891513003063,0.3963765258958243,0.4535723926787151,-1,0.38664249801783834,0.22854003796347222,-1,0.41239098801474716,-1,0.4391326765537953,0.22467806386222833,-0.08363222015762384,0.31762173095732427,-1
flag,-1,0.35819842828382054,0.15816794449345428,-1,0.2670848822902243,0.3866840399623017,0.2574502423037601,0.3298936124153812,0.39805369173918703,-1,0.2522741365248028,0.29562658578318757,-1,0.357318070594834,-1,0.32780450046731513,0.27793852223169413,0.18666094696161106,0.23187784422242963,-1
protests,-1,1.0,0.3802669790804809,-1,0.27350716989220225,0.2966052151960743,0.3780801166526341,0.4754803424820476,0.47203835178938225,-1,0.3640902964596723,0.27154301039217477,-1,0.31164827669712003,-1,0.27614779288825964,0.3325986094137796,0.17619927761040732,0.2760967909444667,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
