model,``,i,think,that,the,fed,wants,to,get,the,market,to,start,pricing,in,a,hike,for,this,year,which,they,were,n't,doing,earlier,and,now,i,'m,seeing,the,probability,of,a,hike,by,december,has,gone,up,slightly,over,a,coin,toss,.
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,-1,0.3841155178064719,-1,-1,0.24441731344229856,0.3445669121113255,-1,0.37405050825208364,-1,0.23860039231676078,-1,0.35748706089541815,0.09344373933036743,-1,-1,-0.011539798420450609,-1,-1,0.35752570635752545,-1,-1,-1,-1,0.3331419464748355,0.3774254118828776,-1,-1,-1,-1,0.33114143762109693,-1,-0.08846151057373941,-1,-1,-0.011539798420450609,-1,0.3107051626378232,-1,0.33783287594599565,-1,0.1505121245195542,-1,-1,0.0018712289407061267,-0.052430237770299426,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
federal,-1,-1,0.257158671127915,-1,-1,0.40118958247518155,0.4329846898285601,-1,0.23061827338306085,-1,0.41150656965313614,-1,0.23838817051775762,0.26194795799147363,-1,-1,0.3745081013854419,-1,-1,0.4195423065932451,-1,-1,-1,-1,0.2158689789609416,0.5282905525508251,-1,-1,-1,-1,0.19699917893424113,-1,0.07526297284598094,-1,-1,0.3745081013854419,-1,0.4305592786468907,-1,0.20300756738127335,-1,0.08652056546558218,-1,-1,0.11786832684674264,0.005437400046911622,-1
reserve,-1,-1,0.33392251304339693,-1,-1,0.41770270754696415,0.3599862092147166,-1,0.2643633891964221,-1,0.5179335166542315,-1,0.2625846966572053,0.2123148602077808,-1,-1,0.3711598785837946,-1,-1,0.367313611124241,-1,-1,-1,-1,0.2724752272626221,0.39560639164329037,-1,-1,-1,-1,0.2525887395059032,-1,0.1421765665089334,-1,-1,0.3711598785837946,-1,0.2722621836228113,-1,0.21469658280456372,-1,0.1205786883073291,-1,-1,0.22263590374281583,0.07723347230024813,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
