model,everton,goalkeeper,joel,robles,who,repeatedly,tried,to,lift,up,de,bruyne,as,he,lay,injured,used,social,media,to,say,sorry,.
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
about,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,0.45188462223449466,0.34906319480592884,-0.06460508911101615,-0.36536926858506513,-1,0.23815444481715997,0.3705473801156265,-1,0.29869386310346524,-1,0.26573033588551076,-0.013838926171875654,-1,-1,0.29377829957508395,0.478939796689154,0.3878319740954618,0.31451556798903324,0.3168616200104142,-1,-1,0.19605752156755885,-1
weeks,0.2976054256886962,0.28636380178771104,-0.06399421111175507,-0.26684264864241425,-1,0.26054088481662185,0.4043902974721614,-1,0.2487569695072267,-1,0.18177149296233108,-0.01869674558617973,-1,-1,0.24772450367312948,0.39088873938088575,0.33270861531586315,0.2837549424446324,0.3183991732673982,-1,-1,0.20582761187608012,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
injuring,0.12403775344553647,0.10889794920529305,0.02505830751790472,0.007774983462765395,-1,0.2724772038927512,0.22408153470354863,-1,0.15928021875382437,-1,-0.07875881889894343,-0.055796248638084966,-1,-1,0.18523645179782766,0.5763064598093669,0.026593250083702724,0.1660524085371483,0.19175765010771784,-1,-1,0.11010236526075579,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
right,0.438439616958056,0.39132637651227786,0.2539482606291761,-0.056096801617119496,-1,0.22202135085262475,0.38410728642857506,-1,0.2734966564298511,-1,0.28780414636026375,0.06107313321153085,-1,-1,0.27045645744496793,0.2811972849327318,0.2708648787130561,0.33853414059237763,0.2928825168739573,-1,-1,0.3738132470337441,-1
knee,0.21929144256023014,-0.0576811811799296,0.1890396769344741,0.04732057478925655,-1,0.3158743494973044,0.3026878315201159,-1,0.26657731507097604,-1,-0.013665533072148017,0.15397731388851943,-1,-1,0.2031431760125031,0.3616873106216836,0.24479482647137463,0.24371368312057295,0.15892137221644442,-1,-1,0.12948519338566378,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wednesday,0.5519140566384295,0.36130550065461287,0.10710432807886494,-0.23011082919579562,-1,0.36096160853942605,0.3957377009874139,-1,0.34489843427346334,-1,0.38673641293200267,0.08331105663568339,-1,-1,0.25283457934206377,0.3490894219199392,0.30343304771602175,0.33447779753438933,0.4601715637614032,-1,-1,0.2193464389046449,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,0.6111059851979485,0.39792566973127785,-0.03939761044935386,-0.31972160471231525,-1,0.12858828276348633,0.2340575360924646,-1,0.4560237993376719,-1,0.33134512729789445,0.06912241008824704,-1,-1,0.062298682461881305,0.2396066144595579,0.22339069685894486,0.1893561433994353,0.2714183118848075,-1,-1,0.13958887190789426,-1
cup,0.48314940404639906,0.344146960403221,-0.14920101478082493,-0.39848184046181645,-1,0.08032182856777315,0.182647464134164,-1,0.46072170330162177,-1,0.41961461355419183,0.10060378566418549,-1,-1,0.10956285190626058,0.20405269799636694,0.1849049945967185,0.09253841905595606,0.18454841999447358,-1,-1,0.07603543480362518,-1
semi-final,0.4309355656181304,0.21244879198688127,-0.041751173778347805,-0.2555252230361147,-1,0.10475152896874651,0.22207900129055957,-1,0.45903076743157,-1,0.3101638075706421,0.07724196747216605,-1,-1,0.19566507192473392,0.21814407740438435,0.19074088954310908,0.12631101712648485,0.14702641236581016,-1,-1,0.027936171276465416,-1
victory,0.4844540658902975,0.3352032935635678,0.07868105360939537,-0.15430679748166898,-1,0.21565013770956232,0.25070213309430966,-1,0.4103349607399678,-1,0.3191295520154507,0.06803102139599992,-1,-1,0.17696551674709138,0.2648488731061942,0.1902794375554736,0.16565707076761438,0.14503109666137814,-1,-1,0.12590374961370976,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
everton,1.0,0.6979916330847793,0.3227993195140706,-0.08846889429538685,-1,0.17811455370433293,0.2962597226669115,-1,0.264594319482103,-1,0.46791135671146056,0.3117744998820655,-1,-1,0.05978401989012383,0.27746427646940064,0.19949873388489203,0.17166443270625076,0.25543317940134713,-1,-1,0.1722564529671231,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
