model,'',de,bruyne,could,miss,up,to,13,league,and,cup,games,including,the,league,cup,final,with,liverpool,on,28,february,both,legs,of,the,champions,league,last-16,tie,with,dynamo,kiev,and,the,manchester,derby,on,20,march,.
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
about,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,0.26573033588551076,-0.013838926171875654,-1,0.3419407248211703,-1,-1,0.9270594285862956,0.5844391653992058,-1,0.4448993078377884,0.6430446846376683,0.5907045580591151,-1,0.5844391653992058,0.4448993078377884,0.560015981114944,-1,0.45170620942621387,-1,0.8513972123805458,0.7168172345858423,0.6817714645259539,0.38496825037045945,-1,-1,0.43624601775731064,0.5844391653992058,0.07931078843604855,0.32132288949236765,-1,-0.26481974844510114,0.15115611219192182,-1,-1,0.5148932484915139,0.5370845020027689,-1,0.9654388066970456,0.709269486461176,-1
weeks,-1,0.18177149296233108,-0.01869674558617973,-1,0.383521975003591,-1,-1,0.632313833632851,0.41957104414924706,-1,0.319113749935483,0.5138997037283507,0.42173002784826585,-1,0.41957104414924706,0.319113749935483,0.46084973562496967,-1,0.2976688566396054,-1,0.6074721977360484,0.513925485124778,0.535968474993667,0.4167694647878202,-1,-1,0.3243418781877172,0.41957104414924706,0.017672876796612114,0.18596881210612703,-1,-0.14826920845017888,0.20370873554502522,-1,-1,0.3585751225294297,0.3498700869428826,-1,0.7018172039030305,0.5260358295043599,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
injuring,-1,-0.07875881889894343,-0.055796248638084966,-1,0.1223430731983366,-1,-1,0.44603529269013276,0.17533187157004804,-1,0.10383828409307139,0.2953493953448334,0.3019852286276874,-1,0.17533187157004804,0.10383828409307139,0.1386424692265028,-1,0.08368055286930343,-1,0.3806577809982439,0.27016476391108535,0.27654014999504795,0.31696048716662417,-1,-1,0.06586031406521342,0.17533187157004804,-0.005931546640941088,0.07316150936972177,-1,-0.10545019227912444,0.006284996575523727,-1,-1,0.10700775309456467,0.04555932008012231,-1,0.4114861143657852,0.25756508276747136,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
right,-1,0.28780414636026375,0.06107313321153085,-1,0.2535253998883711,-1,-1,0.29009682463496533,0.3831932891901152,-1,0.16965066968474307,0.3329491873433932,0.252245479353737,-1,0.3831932891901152,0.16965066968474307,0.3020754943906725,-1,0.43763599986172075,-1,0.27443815040603914,0.2226133887881072,0.42955102969040604,0.3405206709240918,-1,-1,0.2583861640392462,0.3831932891901152,0.02506996639338377,0.22376244409448642,-1,-0.20618494970329393,0.0694902490195265,-1,-1,0.4461315929399713,0.46959599867023016,-1,0.3520364947636673,0.24722119766144868,-1
knee,-1,-0.013665533072148017,0.15397731388851943,-1,0.24068462230932752,-1,-1,0.3604820838407924,0.2583655530624822,-1,0.12565634284317262,0.28352320053197144,0.30190079576443385,-1,0.2583655530624822,0.12565634284317262,0.23780790574485355,-1,0.1554401539155834,-1,0.32750434786925686,0.3203043799869809,0.3505724508373901,0.4636074913484556,-1,-1,0.2145154229582651,0.2583655530624822,0.15307740143556625,0.15270377697347826,-1,0.030936042557833554,0.07836650931413269,-1,-1,0.19656915150408694,0.21368123324258004,-1,0.3251207993633296,0.3252966732649223,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wednesday,-1,0.38673641293200267,0.08331105663568339,-1,0.4266845044134864,-1,-1,0.6935112096745146,0.5214893024620577,-1,0.4962066704871817,0.42105308681592657,0.397227198343302,-1,0.5214893024620577,0.4962066704871817,0.5868878437206168,-1,0.5926194250815391,-1,0.7104106139493396,0.7623934653111861,0.581001800681067,0.3371104144654935,-1,-1,0.4749530488061555,0.5214893024620577,0.29212703062983736,0.45408432017987366,-1,0.1373196870097999,0.4593046742508111,-1,-1,0.6720287091035558,0.7347697147103948,-1,0.6844534538655429,0.7627633770764347,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,0.33134512729789445,0.06912241008824704,-1,0.3149461158853195,-1,-1,0.567172640220876,1.0,-1,0.6974406775658869,0.6686251958578644,0.35841878347106615,-1,1.0,0.6974406775658869,0.6215530256143023,-1,0.6544370534307851,-1,0.5043518792868845,0.4641061046152313,0.543751429701584,0.3196459366731824,-1,-1,0.8160226833714601,1.0,0.5268351933099269,0.6082519995960097,-1,0.07303520849752965,0.21678323035456137,-1,-1,0.6580460281965353,0.715262386029027,-1,0.5031428701064773,0.4457540343605233,-1
cup,-1,0.41961461355419183,0.10060378566418549,-1,0.4043221773671368,-1,-1,0.44997821654029835,0.6974406775658869,-1,1.0,0.5100746165190896,0.34374269814091507,-1,0.6974406775658869,1.0,0.7222498754529367,-1,0.5420646788060279,-1,0.43118893000182346,0.4684767802420253,0.4464220388817093,0.20194900817835593,-1,-1,0.7979661132252056,0.6974406775658869,0.5068382268194012,0.6900313297008986,-1,0.15171564685333805,0.3144373090200365,-1,-1,0.507862959549107,0.5930501328511738,-1,0.3780562164671861,0.49407656005334766,-1
semi-final,-1,0.3101638075706421,0.07724196747216605,-1,0.37394706825332724,-1,-1,0.4398901684509119,0.676055772166724,-1,0.7888943300276174,0.4237301331826864,0.3563617247189672,-1,0.676055772166724,0.7888943300276174,0.7414472955310069,-1,0.5433476467645553,-1,0.39239285979897987,0.4482335599891728,0.44093411057508214,0.4194172238978312,-1,-1,0.7300338421939342,0.676055772166724,0.7186921284145777,0.8063190659325555,-1,0.2572275124187573,0.36475653283893184,-1,-1,0.5017787456961033,0.5969418216399603,-1,0.3541051005323894,0.47429761352299193,-1
victory,-1,0.3191295520154507,0.06803102139599992,-1,0.25755429453939227,-1,-1,0.3480153737161473,0.5795587825481401,-1,0.5521937922992279,0.41310745214015454,0.26494198815194836,-1,0.5795587825481401,0.5521937922992279,0.5610458477860815,-1,0.5231153406776816,-1,0.32524170495734916,0.33962748004291576,0.4173641134152042,0.3196443806888143,-1,-1,0.535818840906038,0.5795587825481401,0.3792511182057874,0.5245659938037853,-1,0.07221815441851698,0.2637350087062924,-1,-1,0.4743413672913034,0.568335010565063,-1,0.3348155416463561,0.33883377098859535,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
everton,-1,0.46791135671146056,0.3117744998820655,-1,0.32421953372540613,-1,-1,0.4393793610212192,0.6111059851979485,-1,0.48314940404639906,0.4198751649249064,0.3429058782104114,-1,0.6111059851979485,0.48314940404639906,0.4101094747005991,-1,0.8038950688752075,-1,0.4929194454529162,0.4200889788523401,0.5131601594611659,0.25737420702453306,-1,-1,0.48965168592087993,0.6111059851979485,0.1283592823682117,0.3442900318689299,-1,0.21467758087127442,0.36512401699724695,-1,-1,0.7353174431226775,0.7942436530827042,-1,0.4506544669867617,0.4246913603716709,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
