model,'',de,bruyne,scored,one,goal,and,set,up,another,to,help,city,to,a,4-3,aggregate,victory,over,the,toffees,.
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
about,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,0.26573033588551076,-0.013838926171875654,0.6501011028521004,0.6043460468153273,0.4865012352029361,-1,0.4835924570585637,-1,0.6296230280677791,-1,-1,0.44440259086753353,-1,-1,0.1672930503556046,0.18255668412326476,0.3881286915539457,-1,-1,0.14312119453915062,-1
weeks,-1,0.18177149296233108,-0.01869674558617973,0.46923811815956706,0.42023856064482645,0.31314165746790934,-1,0.3875019156188715,-1,0.5396126401808292,-1,-1,0.3299528664845308,-1,-1,0.19054814010385512,0.13039289050528602,0.31832853181873255,-1,-1,0.1019401038245672,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
injuring,-1,-0.07875881889894343,-0.055796248638084966,0.3909888226274345,0.23652570838853182,0.13305945658073592,-1,0.022328453393046233,-1,0.26161834994102795,-1,-1,0.06975481752180746,-1,-1,0.13780218755510987,0.15527996629057306,0.18469852818495291,-1,-1,0.07081413476295961,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
right,-1,0.28780414636026375,0.06107313321153085,0.29111100532242995,0.4375509927117349,0.6458849029106859,-1,0.3863207602756725,-1,0.4565457415616012,-1,-1,0.507564733671174,-1,-1,0.18892088650608563,0.12717476025086316,0.3140635693542999,-1,-1,-0.0006064578641735707,-1
knee,-1,-0.013665533072148017,0.15397731388851943,0.3480041510821472,0.29156922317845,0.20946475196748737,-1,0.22278827681144153,-1,0.3499157886357003,-1,-1,0.15447650607619168,-1,-1,0.2637449267345542,0.3504497019867816,0.2531010986749035,-1,-1,-0.03327499055729599,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wednesday,-1,0.38673641293200267,0.08331105663568339,0.3887114963067827,0.47217682473827005,0.4472235762019131,-1,0.4695250231535748,-1,0.5277434705563747,-1,-1,0.585044273194424,-1,-1,0.2708479856954573,0.3163718388803043,0.46129895669972143,-1,-1,0.1697160424482943,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,0.33134512729789445,0.06912241008824704,0.5357660957296574,0.5427455491516405,0.5907914727523452,-1,0.3519950612608488,-1,0.485555770048689,-1,-1,0.5651773352901436,-1,-1,0.33325400191044596,0.4189745906369049,0.5795587825481401,-1,-1,0.34775335844586497,-1
cup,-1,0.41961461355419183,0.10060378566418549,0.3516531083410921,0.37426102402186145,0.42942666706636745,-1,0.378747577498286,-1,0.3766962995663964,-1,-1,0.4102480161840214,-1,-1,0.3725858145300992,0.4136488696607632,0.5521937922992279,-1,-1,0.27764235223949885,-1
semi-final,-1,0.3101638075706421,0.07724196747216605,0.29942783202380086,0.42121405158392844,0.44422456349078776,-1,0.400389368199747,-1,0.40075829462126955,-1,-1,0.4147119997800712,-1,-1,0.5140997016470573,0.6145306173059947,0.6354446682021696,-1,-1,0.20047780169470197,-1
victory,-1,0.3191295520154507,0.06803102139599992,0.4201087205829721,0.39408250378916043,0.5567483370791394,-1,0.3552866371075243,-1,0.44151765949266797,-1,-1,0.4491068954858741,-1,-1,0.6189600593767898,0.6062435850311383,1.0,-1,-1,0.20860096805117934,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
everton,-1,0.46791135671146056,0.3117744998820655,0.5366162291651392,0.3846087987487805,0.5450886617044453,-1,0.3583978139067493,-1,0.3897823037515854,-1,-1,0.6695153659207705,-1,-1,0.26425855635897766,0.2178964267189233,0.4844540658902975,-1,-1,0.5456859938883737,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
