model,but,after,seeing,a,specialist,the,#,55m,former,wolfsburg,player,said,:,``,i,'ll,be,out,for,around,10,weeks,.
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
about,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,-1,0.43094677035627504,-1,0.29608929790259975,-1,-1,0.09607017670115747,0.4075930322962087,0.2502965638146728,0.4835688128847593,-1,-1,-1,-1,-1,-1,-1,-1,0.6274336632618963,1.0,0.723536395247265,-1
weeks,-1,-1,0.45708019696379676,-1,0.27848821011168945,-1,-1,-0.007266335619762865,0.29306366956701446,0.10841259929110436,0.3128481309064257,-1,-1,-1,-1,-1,-1,-1,-1,0.4402180424647517,0.723536395247265,1.0,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
injuring,-1,-1,0.3150065112402156,-1,0.19239160636915442,-1,-1,0.03253296510841652,0.1368118221734178,0.03337575936515902,0.18482978719780419,-1,-1,-1,-1,-1,-1,-1,-1,0.2449915844094066,0.3884622183231241,0.4201340854911604,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
right,-1,-1,0.34239421970420425,-1,0.22683914104749614,-1,-1,0.1618366806933691,0.27788824650363053,0.29099656534636476,0.4538242350829591,-1,-1,-1,-1,-1,-1,-1,-1,0.4533241518100066,0.3713304240517954,0.2518869709517342,-1
knee,-1,-1,0.2371131300942838,-1,0.3615682723937763,-1,-1,0.27444560432683096,0.16789229084494717,0.24042006713023434,0.2106230562157454,-1,-1,-1,-1,-1,-1,-1,-1,0.22806524247937987,0.3098810828097006,0.39062021622074194,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wednesday,-1,-1,0.3535495997882856,-1,0.17991652229815247,-1,-1,0.014699505487678066,0.41809093581430523,0.42575808257775016,0.32086960673528186,-1,-1,-1,-1,-1,-1,-1,-1,0.4385010201389584,0.6464164834342134,0.5322239393069828,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,-1,0.2639261310621268,-1,0.2063335977730495,-1,-1,0.03864125429535714,0.502429654190565,0.5512200620364421,0.6298794334767187,-1,-1,-1,-1,-1,-1,-1,-1,0.34395620945571803,0.5844391653992058,0.41957104414924706,-1
cup,-1,-1,0.18060436328524587,-1,0.03000404978412452,-1,-1,-0.02961817833369218,0.39725474409868067,0.4920783272200864,0.4988325583768206,-1,-1,-1,-1,-1,-1,-1,-1,0.290846914628222,0.4448993078377884,0.319113749935483,-1
semi-final,-1,-1,0.11316189710955138,-1,0.07951755632318092,-1,-1,-0.024938334271304097,0.3339648593737552,0.5635621377711296,0.33746902865377915,-1,-1,-1,-1,-1,-1,-1,-1,0.27601243963904853,0.40952257169628603,0.27311250919318153,-1
victory,-1,-1,0.20720523041820071,-1,0.2042444633459254,-1,-1,0.04378568176063291,0.3548141682670105,0.4575947163848998,0.35740481411250413,-1,-1,-1,-1,-1,-1,-1,-1,0.24714963492353093,0.3881286915539457,0.31832853181873255,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
everton,-1,-1,0.21783911332957928,-1,0.32582852085254754,-1,-1,0.2547347104626183,0.6723958776051928,0.6551766980715106,0.6151804190629675,-1,-1,-1,-1,-1,-1,-1,-1,0.26836066358533783,0.45188462223449466,0.2976054256886962,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
