model,others,believed,to,be,the,running,included,olivier,blanchard,a,former,chief,economist,at,the,international,monetary,fund,and,edward,lazear,a,fellow,at,the,hoover,institution,stanford,university,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nobel,-0.11975337495110905,0.018134639226089155,-1,-1,-1,0.02867377702640017,0.14018511492334318,0.038909125022348556,-0.05979265089470154,-1,0.20294022814976653,0.2064645216723764,0.26622399006908737,-1,-1,0.20040845892140247,0.1337696881951823,0.33739923616425793,-1,0.06034015802788062,-0.25308776168496383,-1,0.15628389911668783,-1,-1,0.19830181943913527,0.10172241526712744,0.17609408489998346,0.09251681167261527,-1
economics,0.12385697831714348,0.14451549157187138,-1,-1,-1,0.14595968157845074,0.1449190216167363,-0.2737575386802611,-0.10425320358764423,-1,0.28123664307004637,0.3372798973039228,0.3821183341938845,-1,-1,0.24107009177946048,0.8169650191852885,0.39195372163344555,-1,0.26103242996990983,-0.5010339271582049,-1,0.16059630845338346,-1,-1,0.21128681531511684,0.6547552981294601,0.449016242329364,0.43238830380311244,-1
prize,0.18972544785969525,0.2171879333237401,-1,-1,-1,0.3142832843391521,0.3779431841977713,0.0157731735622757,-0.3366967173600255,-1,0.3323304284432539,0.29404715175354135,0.2797214145665501,-1,-1,0.3518431549679504,0.15728714650561604,0.5871907698435989,-1,0.12994851176598865,-0.45404689832282474,-1,0.24124890837333668,-1,-1,0.08174207635030584,0.2412550369128963,0.1682590832663,0.25724697814783204,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
work,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contract,0.2145964370727752,0.22638875976257056,-1,-1,-1,0.44538446159116185,0.346658365386906,0.10842240759625654,-0.35259527724810624,-1,0.43251330185843295,0.3075527247226333,0.13055753308782014,-1,-1,0.4191321548371152,0.12558456870221013,0.4249060682031345,-1,0.037632112487612446,-0.4576228095899999,-1,0.34036656049012315,-1,-1,-0.023491669050160313,0.2639368542347049,0.18272569525889581,0.3054833979510123,-1
theory,0.3521232785862589,0.41859589194098445,-1,-1,-1,0.26599221660464334,0.3988426360442281,0.1627052907776273,-0.15547672637522747,-1,0.16006281392163269,0.10166988984225755,0.09440241664527527,-1,-1,0.2099110603399681,0.04177488851060651,0.2233085884595295,-1,0.15383120602992095,-0.45849803204520856,-1,0.15795903617614238,-1,-1,0.012320586892481056,0.3234373636831912,0.16042728097079328,0.21232625699596608,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
