model,the,former,nokia,board,member,declined,to,say,whether,he,thought,executive,pay,was,too,high,these,days,but,commented,:,``,my,personal,view,is,that,-lsb-,top,executives,',contracts,-rsb-,are,too,complicated,today,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nobel,-1,0.20294022814976653,0.06564830933143151,0.1612130697842622,0.15620455078510043,0.033874312121552896,-1,-1,-0.00126864079626543,-1,-0.04475607805758819,0.20001437807865363,0.14181622658107385,-1,-0.06509030065155041,0.09567475980073836,-0.06677507437832575,-0.06154688815935794,-1,0.0170627570650691,-1,-1,0.00894056985393299,0.1527939440608398,-0.04970483775692047,-1,-1,-1,0.17476551295924692,0.21336597634849797,-1,0.30381413220351927,-1,-1,-0.06509030065155041,0.11519647570325486,-0.027291218710129517,-1
economics,-1,0.28123664307004637,0.02263524887347035,0.23721107429654276,0.1667641482432275,0.12893452203679368,-1,-1,0.10133605877297613,-1,0.14792621494979363,0.2362021583874181,0.030223417701955135,-1,0.0852094146739163,0.17254175641433178,0.1091690219626732,0.1020740361988175,-1,0.1127967292995109,-1,-1,0.12630125577943752,0.28037860634313017,0.22625715425068038,-1,-1,-1,0.16041797143074965,0.25954715388487026,-1,0.08864120688122501,-1,-1,0.0852094146739163,0.0889758540472656,0.159744507186952,-1
prize,-1,0.3323304284432539,0.09162293404326749,0.28010818066748566,0.25898136240644365,0.12502073896657018,-1,-1,0.1703735417015857,-1,0.23914174098634222,0.2570449878030572,0.4211368410231311,-1,0.12905348667356276,0.29288067216708313,0.13006789341328873,0.17986553834229557,-1,0.05982618010134333,-1,-1,0.24078469407525538,0.4645566983676075,0.1680569515137984,-1,-1,-1,0.39226965528238367,0.33843341216690503,-1,0.39791298205912184,-1,-1,0.12905348667356276,0.1824878208488543,0.147241913816339,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
work,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contract,-1,0.43251330185843295,0.2455943496269315,0.3633685976717147,0.2762723504393487,0.27045182580211957,-1,-1,0.23375089280162686,-1,0.26016393644192326,0.3668485405060775,0.41671295266369646,-1,0.1747996021329684,0.2092820089213513,0.17617270348728287,0.3184612890226324,-1,0.25103110543525853,-1,-1,0.41808786726650815,0.3684817237387883,0.28330649967838706,-1,-1,-1,0.28941857252203174,0.2155327513722498,-1,0.7506464685841651,-1,-1,0.1747996021329684,0.21946005910121658,0.2367442236368138,-1
theory,-1,0.16006281392163269,0.12820612714022928,0.13297485805066656,0.16734927048634618,0.16842113300490347,-1,-1,0.3974144956198469,-1,0.44193702891169584,0.11019710934685434,0.18586058415601714,-1,0.298505412896358,0.2823483545798753,0.46259403177978786,0.23051450392978667,-1,0.32578819894655897,-1,-1,0.3435622711935784,0.4496961721680972,0.45865559095984065,-1,-1,-1,0.30250389415291423,0.1585014329197978,-1,0.26522094926775,-1,-1,0.298505412896358,0.4529850418581418,0.3662976184604678,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
