model,bairns,manager,peter,houston,told,bbc,scotland,:,``,i,am,thrilled,that,people,have,voted,for,me,and,it,has,come,as,a,surprise,.
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
running,-0.053747389612699425,0.3017787992754881,0.2837979805354214,0.1413158442027489,-1,0.3799378841454981,0.5712702841002906,-1,-1,-1,0.4400590241599407,0.2939171198927689,-1,0.5792869190690204,-1,0.3185028092192851,-1,0.577529957583211,-1,-1,-1,0.649963186121338,-1,-1,0.3494969299863815,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pfa,0.04647152954372502,0.18482029870624472,0.11850803665942211,0.13066967495555115,-1,0.1298065324321107,0.16758891454124714,-1,-1,-1,0.07700405724163395,-0.0016590119108430557,-1,0.07666464387620109,-1,0.09031169802739492,-1,0.0839653989957061,-1,-1,-1,0.07663740013752118,-1,-1,0.01430682572074915,-1
scotland,-0.0634965804466956,0.507849131791219,0.4515537675143926,0.3145189536485964,-1,0.6496157692732665,1.0,-1,-1,-1,0.38342774193006757,0.2049164876280225,-1,0.483324089252136,-1,0.5258905935006324,-1,0.36735829680407117,-1,-1,-1,0.5431162810909503,-1,-1,0.25599554230354815,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
manager,0.18395902085406246,1.0,0.6282413162518803,0.4743943946444169,-1,0.4208602338321996,0.507849131791219,-1,-1,-1,0.40909684086293874,0.25526539453308383,-1,0.18661014182639324,-1,0.16553337909492738,-1,0.33646060278918477,-1,-1,-1,0.3412823193490786,-1,-1,0.283024691507048,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-0.03655999195039028,0.35850813063647635,0.26403877523545405,0.10077462930163039,-1,0.3995488641618281,0.5871828825688267,-1,-1,-1,0.3350969588215189,0.24779709457988686,-1,0.5359879052284826,-1,0.4106090374230237,-1,0.4260387191840531,-1,-1,-1,0.5475901654241833,-1,-1,0.414518890173566,-1
award,0.08953799079524805,0.34350661657924997,0.1992410665055654,0.04874596899988015,-1,0.3566361801071555,0.38910160295407636,-1,-1,-1,0.1847212806525993,0.22940280246624867,-1,0.2500921650437452,-1,0.2440388480180321,-1,0.3576505432925402,-1,-1,-1,0.2962363251274286,-1,-1,0.43949881706002725,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
