model,the,county,manager,said,:,``,it,was,a,big,surprise,as,there,are,some,fantastic,nominees,beside,me,and,there,also,other,managers,out,there,who,have,had,real,success,this,season,by,winning,their,leagues,and,they,have,not,been,nominated,.
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
running,-1,0.39319383166675825,0.3017787992754881,-1,-1,-1,-1,-1,-1,0.5166200280629474,0.3494969299863815,-1,-1,-1,-1,0.46912216383125516,0.2274569646779956,0.3910339054587886,0.577529957583211,-1,-1,-1,-1,0.39797522655792206,-1,-1,-1,-1,-1,0.48691290932314446,0.47852586406740205,-1,0.5242573964407792,-1,0.515450546255132,-1,0.30529470887726196,-1,-1,-1,-1,-1,0.3381297712273117,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pfa,-1,0.14483668802094551,0.18482029870624472,-1,-1,-1,-1,-1,-1,0.10495396820115976,0.01430682572074915,-1,-1,-1,-1,0.11912059143876752,0.20368755008307882,-0.001551690000599848,0.0839653989957061,-1,-1,-1,-1,0.18872660898453164,-1,-1,-1,-1,-1,-0.029707487407683475,0.11072162610709135,-1,0.10799379846801926,-1,0.11912805408414062,-1,0.15036623735960308,-1,-1,-1,-1,-1,0.15921655341436403,-1
scotland,-1,0.559195292611209,0.507849131791219,-1,-1,-1,-1,-1,-1,0.33356812916966627,0.25599554230354815,-1,-1,-1,-1,0.37857659520254194,0.22414038915764123,0.016591774141928584,0.36735829680407117,-1,-1,-1,-1,0.49122894985549825,-1,-1,-1,-1,-1,0.42460811646732166,0.5117206164224294,-1,0.40914378262298434,-1,0.36790574146163735,-1,0.21623917660197522,-1,-1,-1,-1,-1,0.2935394254799897,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
manager,-1,0.5256787257763336,1.0,-1,-1,-1,-1,-1,-1,0.2636461863931405,0.283024691507048,-1,-1,-1,-1,0.4058817421099802,0.08023290288871454,-0.04199261871675097,0.33646060278918477,-1,-1,-1,-1,0.4090929973639097,-1,-1,-1,-1,-1,0.428076313049089,0.4068823398668009,-1,0.52274597131666,-1,0.4145995819302465,-1,0.0849857493879086,-1,-1,-1,-1,-1,0.207512757104222,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,0.37144474278117556,0.35850813063647635,-1,-1,-1,-1,-1,-1,0.43519658457230914,0.414518890173566,-1,-1,-1,-1,0.43713050819406307,0.37578595843994567,0.045418514984048475,0.4260387191840531,-1,-1,-1,-1,0.41921023236088506,-1,-1,-1,-1,-1,0.40732112682762867,0.5756510359049443,-1,0.603450457182549,-1,0.5251959744464957,-1,0.2371700560132901,-1,-1,-1,-1,-1,0.45437156557007596,-1
award,-1,0.2013407025319941,0.34350661657924997,-1,-1,-1,-1,-1,-1,0.4187337846954564,0.43949881706002725,-1,-1,-1,-1,0.5327949172118924,0.587665457280205,0.0581412331835679,0.3576505432925402,-1,-1,-1,-1,0.360333773982908,-1,-1,-1,-1,-1,0.3731584424205756,0.5689426751954452,-1,0.4440578455250874,-1,0.5515040840042235,-1,0.19118117702003545,-1,-1,-1,-1,-1,0.7001999496218627,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
