model,however,the,norwegian,has,already,announced,he,will,stand,down,at,the,end,of,the,season,after,failing,to,win,either,domestic,cup,competition,and,having,had,poor,campaigns,in,the,champions,league,qualifiers,and,europa,league,group,stage,.
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
running,0.5489143164427771,-1,0.2589029855292092,-1,0.6277683629661229,0.46437296382927906,-1,-1,0.6960074003552561,0.5889242817094508,-1,-1,-1,-1,-1,0.5242573964407792,-1,0.45175131408467917,-1,0.4553541627928026,0.604854555903469,0.5146277381838655,0.3683163335610682,0.6740269043759802,-1,0.713868851284725,-1,0.5147363419248591,0.3843886247937238,-1,-1,0.36820459863055865,0.45981673331623774,0.2874769942997417,-1,0.30720374705037834,0.45981673331623774,-1,0.5775716170862614,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pfa,0.10993571986209816,-1,0.1506369907066516,-1,0.08673919127692675,0.09260269114293629,-1,-1,0.06271526951431539,0.05928284862685829,-1,-1,-1,-1,-1,0.10799379846801926,-1,0.08017937582643075,-1,0.1181794912030455,0.0555434006266573,0.3593888982178569,0.12194279244566586,0.24822948054343486,-1,0.12226277085260207,-1,0.11852840725901626,0.11129417700123456,-1,-1,0.0717361190422795,0.13791307064709046,0.13609519930312586,-1,0.058910404403527794,0.13791307064709046,-1,0.0782411251735563,-1
scotland,0.5970163815347733,-1,0.381107114352381,-1,0.5216099775648939,0.43323349688505175,-1,-1,0.5165156744437979,0.4134577549243472,-1,-1,-1,-1,-1,0.40914378262298434,-1,0.38254549670215343,-1,0.4594411141768575,0.41635966423591786,0.47808465826201263,0.4688049309326989,0.6155085774785741,-1,0.5296551804220523,-1,0.4765725420918552,0.3972679007181976,-1,-1,0.40342807957602167,0.4349943324846127,0.3182110599484489,-1,0.28542855976346193,0.4349943324846127,-1,0.41615748399592245,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
manager,0.42419319862215454,-1,0.3193615995556438,-1,0.3367246712723444,0.4177386082239155,-1,-1,0.30257352103379187,0.2585681741537691,-1,-1,-1,-1,-1,0.52274597131666,-1,0.22013455759912626,-1,0.44931844738452176,0.32620258814716496,0.19983262603849739,0.40305730656044836,0.3811649878626515,-1,0.40218984057242846,-1,0.22700785210306984,0.2703438961394986,-1,-1,0.40798907346121527,0.5255629320322626,0.15211925746544597,-1,0.2751694944910418,0.5255629320322626,-1,0.2719011580603541,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.587253602155484,-1,0.3380648102567687,-1,0.572168882097242,0.6456218107723556,-1,-1,0.4568457263452934,0.4337975081796017,-1,-1,-1,-1,-1,0.603450457182549,-1,0.39115711138205256,-1,0.49903510427448894,0.4272755785646125,0.5402718632009257,0.5121023843441938,0.6903515269651704,-1,0.6541062390431038,-1,0.4011955285553944,0.3786119770535463,-1,-1,0.41515094730901525,0.48153965018652034,0.43647413963102855,-1,0.35614953196976307,0.48153965018652034,-1,0.5832570329620883,-1
award,0.3378742726731987,-1,0.3131599107237174,-1,0.3215698509677434,0.42834683879191227,-1,-1,0.2935882737612945,0.17652236025437806,-1,-1,-1,-1,-1,0.4440578455250874,-1,0.2548162214501769,-1,0.4414690992927657,0.22664438552888044,0.40922631958932,0.5005607267963088,0.5629175274550583,-1,0.47677376587381626,-1,0.27774547420659956,0.412549517511702,-1,-1,0.2870400667756263,0.405420817092226,0.3736291811946775,-1,0.3255112156422316,0.405420817092226,-1,0.554634754471013,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
