model,despite,deila,leading,his,side,to,a,league,and,league,cup,double,last,season,'s,award,went,to,john,hughes,whose,inverness,caledonian,thistle,side,lifted,the,scottish,cup,and,finished,third,in,the,premiership,-,their,highest-ever,position,ensuring,a,debut,in,european,competition,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
running,0.5481903681418848,-0.04532360335512542,0.4938606754141537,-1,0.5047447715977554,-1,-1,0.45981673331623774,-1,0.45981673331623774,0.3683163335610682,0.39884421574327966,-1,0.5242573964407792,-1,0.38318751226895675,0.7280761554255423,-1,0.26398522943372804,0.32075852626455614,0.45147637741837277,0.2551016698656946,-0.11326501923405585,0.07213407424735963,0.5047447715977554,0.5039469566734104,-1,0.4364746040812486,0.3683163335610682,-1,0.4984789275956254,0.6460942424327756,-1,-1,0.33966540858552063,-1,-1,0.024278006111311812,0.623267616275241,0.43708192461582906,-1,0.3495902666540617,-1,0.4825975248396568,0.6740269043759802,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pfa,0.09190314317169257,0.17695033924922843,0.1571126077059205,-1,0.12957559004693386,-1,-1,0.13791307064709046,-1,0.13791307064709046,0.12194279244566586,0.06913078279758311,-1,0.10799379846801926,-1,0.20545142336842437,0.09719994574852453,-1,0.1288296097812387,0.1868945122047022,0.12364653007613124,0.003810849540327399,0.13439336614218111,0.09613766572927318,0.12957559004693386,0.01913489419179837,-1,0.1777112538645087,0.12194279244566586,-1,0.09241251776594295,0.15286239356604392,-1,-1,0.21138365887578558,-1,-1,0.08932383581330006,0.14860387748189563,0.06764893933070348,-1,0.1662377824371689,-1,0.21498860734193503,0.24822948054343486,-1
scotland,0.4933920013118557,0.1360686795999385,0.492416285071096,-1,0.490889061780573,-1,-1,0.4349943324846127,-1,0.4349943324846127,0.4688049309326989,0.30942900645506644,-1,0.40914378262298434,-1,0.38910160295407636,0.46785860523970313,-1,0.4057963781563002,0.4782802717931307,0.34035496257585074,0.2940140592692946,0.03922453372923551,0.22819453011649582,0.490889061780573,0.28731482002201747,-1,0.685768563638836,0.4688049309326989,-1,0.3675934939244251,0.533387048920506,-1,-1,0.434662703120529,-1,-1,-0.14703753152590515,0.5238636233494254,0.4613955164754836,-1,0.410011389818155,-1,0.5741265332872592,0.6155085774785741,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
manager,0.2792676889384409,0.5117331185755443,0.2612105290400617,-1,0.6090695494709629,-1,-1,0.5255629320322626,-1,0.5255629320322626,0.40305730656044836,0.23146459491841986,-1,0.52274597131666,-1,0.34350661657924997,0.35114197508352407,-1,0.6774775311934988,0.6889734946731341,0.30856964280653254,0.39506723031889834,0.17156778696478248,0.39118865092100374,0.6090695494709629,0.2200760783418123,-1,0.44698189118347775,0.40305730656044836,-1,0.30482999555280366,0.3668160552166867,-1,-1,0.480268338753999,-1,-1,-0.26536026906098664,0.4325635501583859,0.22006374274102614,-1,0.37915258870927104,-1,0.4267469691229826,0.3811649878626515,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.5106556434544308,0.10363096042216302,0.49085064807114764,-1,0.4089091803449252,-1,-1,0.48153965018652034,-1,0.48153965018652034,0.5121023843441938,0.5499563593235035,-1,0.603450457182549,-1,0.6331931705563634,0.5562307866904648,-1,0.3579536710393363,0.36778149402843874,0.4445172654065146,0.292823437792912,0.03156077755340847,0.21667346937793275,0.4089091803449252,0.37997258326622063,-1,0.502630525800717,0.5121023843441938,-1,0.5191759912044489,0.7070818723100047,-1,-1,0.3748735946945789,-1,-1,-0.08200322874039112,0.46838198879204884,0.3093391900217941,-1,0.43965665490303585,-1,0.5378235504087885,0.6903515269651704,-1
award,0.31938151405209747,0.19718003243676352,0.3801675655002211,-1,0.26460365059017144,-1,-1,0.405420817092226,-1,0.405420817092226,0.5005607267963088,0.557726134004215,-1,0.4440578455250874,-1,1.0,0.2884681526131774,-1,0.33729384433401244,0.2681520763891396,0.41026900904515484,0.13440606712875336,-0.04053352189005155,0.018762553697537987,0.26460365059017144,0.2540206991448464,-1,0.35899464209829235,0.5005607267963088,-1,0.3329864837902048,0.5359139762826288,-1,-1,0.3348336989433145,-1,-1,0.17844946513456716,0.3883135228376037,0.27292958427954406,-1,0.5683882520380982,-1,0.4373223817612778,0.5629175274550583,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
