model,a,recovery,vehicle,headed,out,to,pick,the,car,up,and,that,section,of,track,was,put,under,double,waved,yellow,caution,flags,meaning,a,hazard,bad,enough,that,drivers,should,be,prepared,to,stop,.
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,-1,0.29035669184131074,0.6852319982978822,0.18723647625421314,-1,-1,0.053803660213216586,-1,0.6565063925871062,-1,-1,-1,0.5286217694636787,-1,0.35666287226972826,-1,0.32376057018687854,0.2847855592435762,0.30593241665438464,-0.01453114321345339,0.2189655293078243,0.24853791300886974,0.3154559232911709,0.33718363230196946,-1,0.1553383581308867,0.2603374201762112,0.15410961977192306,-1,0.4999874336397281,0.25122222030357433,-1,0.15621742968590446,-1,0.483891535135891,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,-1,0.36953414086585,0.3517895813678682,0.19665792974857688,-1,-1,0.1948829607165974,-1,0.37291897619140435,-1,-1,-1,0.48165888761834297,-1,0.42393595335710366,-1,0.35714680287791734,0.40116226081275963,0.4562895006205949,-0.03917298826023852,0.1817445819425385,0.0824007523305943,0.1497042023380819,0.4803763144875519,-1,0.11792050852756053,0.23733238716231053,0.2575669490277852,-1,0.34642500934975673,0.35466004683516017,-1,0.32213259572391306,-1,0.3536832029728372,-1
japanese,-1,0.2519513756515891,0.43571379425054646,0.22625979870104862,-1,-1,0.20843029661870083,-1,0.4337362795749462,-1,-1,-1,0.4679439644199064,-1,0.3550057253634573,-1,0.3637522579175554,0.34832566486993577,0.36551987886606563,0.007261932992034925,0.2684599688267917,0.12890180017050024,0.45829504927732334,0.3638932583274923,-1,0.20610882789798057,0.1788917899204593,0.18402575831616275,-1,0.5981644770006662,0.35217443597386144,-1,0.3189883505146731,-1,0.354767218979369,-1
grand,-1,0.2127585784913053,0.28014116685231416,0.10272039081103201,-1,-1,0.18558476849897243,-1,0.23000628457743078,-1,-1,-1,0.26846480529931305,-1,0.427678459877042,-1,0.21726812851598432,0.21036893235852228,0.501402137697645,0.08566833228235782,0.15540621880719163,0.0073739395294429855,0.2011754900859033,0.31086817094227215,-1,0.15132748872903168,0.021087089370673162,0.15476064833232828,-1,0.3532662720403653,0.2706216971148788,-1,0.18385505436038985,-1,0.2204430821202401,-1
prix,-1,0.16246601492404922,0.1159159436366004,-0.018017764577308748,-1,-1,0.12061240919289229,-1,0.1240823670952913,-1,-1,-1,0.1421745754227448,-1,0.2132690365808545,-1,0.04317312745516577,0.04936447058711024,0.26446147589160707,0.038405672540496316,0.0910821527019241,0.029150047742294904,0.13604274027021357,0.14776410200528478,-1,0.14291297012504778,-0.040273990949821314,0.06179585941593302,-1,0.25310231641518977,0.1457986986073403,-1,0.11195672363687681,-1,0.07261320829445339,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
