model,it,was,too,early,in,bianchi,'s,career,to,judge,his,ultimate,potential,and,whether,he,could,have,gone,on,to,become,a,race,winner,and,even,world,champion,.
head,-1,-1,0.24073583040173685,0.25937880007398684,-1,0.10136638552969757,-1,0.319247908336165,-1,0.3272017065724677,-1,0.054978716305407516,0.2534103194272681,-1,0.20884643974048522,-1,-1,-1,0.33783287594599565,-1,-1,0.38347370912155077,-1,0.25289100300951484,0.2210658832008492,-1,0.3708859739990722,0.2371222275328414,0.27133653040087236,-1
injuries,-1,-1,0.2295163457594308,0.2874070214619837,-1,0.2900318481052484,-1,0.22050562000860807,-1,0.20084125893210203,-1,-0.034586246617515526,0.3694336251297152,-1,0.21333850735908544,-1,-1,-1,0.3310461572446881,-1,-1,0.2478424960819421,-1,0.28746036883495796,0.1654629588722868,-1,0.35083006486183144,0.1607000178017427,0.06662541546407286,-1
sustained,-1,-1,0.2003548632720703,0.27854928935876444,-1,0.2967308633974688,-1,0.277963903261109,-1,0.22435379247034326,-1,0.07296713137114075,0.35057137132729277,-1,0.16706368944947425,-1,-1,-1,0.32434420869341096,-1,-1,0.19985824908758487,-1,0.29549672281667083,0.21578968333166726,-1,0.30216177585007054,0.12039429938868373,0.08197175768602627,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,-1,-1,0.14219517789447222,0.31922199334657164,-1,0.2526781314296076,-1,0.17093725187350173,-1,0.20751160276747993,-1,-0.06565125747405487,0.31271127894604944,-1,0.29140232863176974,-1,-1,-1,0.36216254609263965,-1,-1,0.25170699586574363,-1,0.4060064106773904,0.2454182530087956,-1,0.3026807606874701,0.21286392420291955,0.16568794384107188,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,-1,-1,0.2895679930360444,0.47501083764773333,-1,-0.03082892811945337,-1,0.3701568617922988,-1,0.26860808172499095,-1,0.11053195400854299,0.323756408881794,-1,0.263430049057669,-1,-1,-1,0.33198872462564144,-1,-1,0.36566710502169286,-1,0.4082711011884229,0.47646113875861973,-1,0.4138062558453055,0.5389941357274879,0.45839758260850005,-1
japanese,-1,-1,0.17369910704721492,0.24749852829873664,-1,0.05999496559919004,-1,0.2811382316126396,-1,0.2888935934869268,-1,0.15453723450815127,0.33658273544546546,-1,0.30765534740546574,-1,-1,-1,0.270849665589746,-1,-1,0.4089403703195389,-1,0.35096897349198675,0.388492702611712,-1,0.34837959886225955,0.4096151811627703,0.427997221029236,-1
grand,-1,-1,0.023473254460832038,0.2374834854976331,-1,-0.05499864500240115,-1,0.42747814719363675,-1,0.19919057021862807,-1,0.23355328039949574,0.23498275009106695,-1,0.20226578408999174,-1,-1,-1,0.20722706049041206,-1,-1,0.2625905076470961,-1,0.5785854775231947,0.6448422187920939,-1,0.24910587207839652,0.4930581045419997,0.605940250450205,-1
prix,-1,-1,-0.11203821435944716,0.14359551581939622,-1,-0.05086344031115897,-1,0.17671198876744842,-1,0.05523624379813197,-1,0.03646539734281362,0.06631859376494253,-1,0.11302525962919274,-1,-1,-1,0.039892968616168645,-1,-1,0.057650438734982656,-1,0.43724603947705265,0.42200669004918023,-1,0.08775451526086342,0.2876390686576977,0.3478426580246209,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
