model,in,only,34,races,he,had,done,enough,with,the,back-of-the-grid,marussia,team,to,suggest,he,had,a,bright,future,in,the,sport,.
injuries,-1,0.3695963585884956,0.3588396840868815,0.3133563375050622,-1,-1,0.352014656304546,0.25963829155769713,-1,-1,-0.38581691054970624,0.08082080333183528,0.29694767216665774,-1,0.40091176915654714,-1,-1,-1,0.27884894560061313,0.2271917245834345,-1,-1,0.20233613887616508,-1
sustained,-1,0.33294750463882106,0.33726347228995335,0.26534010186901225,-1,-1,0.33386219588066746,0.2589932626578195,-1,-1,-0.3687981174792263,0.054272822473126814,0.2642047960826841,-1,0.31273568483953373,-1,-1,-1,0.29800125240424746,0.2300627868302929,-1,-1,0.139859280709146,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,-1,0.32865478363887557,0.3099762556501062,0.41517453381171665,-1,-1,0.3021163480643365,0.15410961977192306,-1,-1,-0.39190090107501496,0.17952715855029788,0.262816040781904,-1,0.24840907046444916,-1,-1,-1,0.2639562359225094,0.2269233990811742,-1,-1,0.14560727044235244,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,-1,0.5108247577378046,0.6035033629038427,0.35573007802119894,-1,-1,0.32690478009881097,0.2575669490277852,-1,-1,-0.5093776183193062,0.023345102283900188,0.4444527498079931,-1,0.36067058455305545,-1,-1,-1,0.16349234941873336,0.36333704322210414,-1,-1,0.396509788183926,-1
japanese,-1,0.4161646443958722,0.3538774869117358,0.2993730838080476,-1,-1,0.24555233238068352,0.18402575831616275,-1,-1,-0.43815487745440596,0.17226596246195802,0.38298386001534823,-1,0.381313676268203,-1,-1,-1,0.21984309043207428,0.3356682821636551,-1,-1,0.388791577618085,-1
grand,-1,0.37083854724664667,0.2388257966847871,0.622119009835884,-1,-1,0.14157866813240838,0.15476064833232828,-1,-1,-0.21933560192839363,0.26613598575733755,0.40073866525673396,-1,0.17864332607434397,-1,-1,-1,0.2141942801440635,0.30491731709077197,-1,-1,0.36873968324011197,-1
prix,-1,0.16519927803320444,0.10741680802940845,0.4500422730753184,-1,-1,-0.00014403433747744998,0.06179585941593302,-1,-1,-0.1215954203942684,0.23262792620600203,0.24349917259746068,-1,0.25985313856248715,-1,-1,-1,0.06524189288117654,0.12366493614871632,-1,-1,0.29556537818869544,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
