model,it,is,never,easy,for,a,new,driver,in,a,struggling,team,to,prove,his,worth,but,bianchi,had,done,so,by,producing,performances,that,would,not,normally,be,expected,of,the,car,and,outclassing,his,team-mate,englishman,max,chilton,.
sustained,-1,-1,0.29687276234572557,0.1553297705006338,-1,-1,-1,0.458845980630184,-1,-1,0.21368218836672515,0.2642047960826841,-1,0.3219243978813253,-1,0.16438165218152934,-1,0.2967308633974688,-1,0.33386219588066746,0.3005917579550892,-1,0.20733464294008574,0.4264736224335439,-1,-1,-1,0.1583000464609362,-1,0.30891127561796394,-1,-1,0.3700131350693231,-1,-0.2656402507321496,-1,0.14250722780769354,0.2810781491911516,0.18928132807814813,-0.04756242289748269,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,-1,-1,0.3401092854409943,0.13563261226836976,-1,-1,-1,0.599424693926214,-1,-1,0.1608541597274299,0.262816040781904,-1,0.22092240515086725,-1,0.23952064053392674,-1,0.2526781314296076,-1,0.3021163480643365,0.31861523747495657,-1,0.18280998128634374,0.14929591278218501,-1,-1,-1,0.32029074670102897,-1,0.29151482199276524,-1,-1,0.6565063925871062,-1,-0.4512346382152663,-1,0.10792263782476763,0.19759559380688563,0.15373784750909347,0.0016853425824050472,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,-1,-1,0.3643042925107379,0.19504918516844694,-1,-1,-1,0.29499993454238194,-1,-1,0.3145997880645096,0.4444527498079931,-1,0.2510239204205216,-1,0.3864508033423524,-1,-0.03082892811945337,-1,0.32690478009881097,0.43286105239761796,-1,0.28657292658492617,0.29843541394273165,-1,-1,-1,0.19822035106818015,-1,0.5498305332778655,-1,-1,0.37291897619140435,-1,-0.5144125200838952,-1,0.23606547042981807,0.17399065100170896,0.19990917087219406,-0.19776229234405518,-1
japanese,-1,-1,0.23772398246671822,0.11218987266503655,-1,-1,-1,0.4758734091674667,-1,-1,0.376716048066688,0.38298386001534823,-1,0.1380775372555172,-1,0.320529408565043,-1,0.05999496559919004,-1,0.24555233238068352,0.3102883964242533,-1,0.3734909802679134,0.22715697353117958,-1,-1,-1,0.20761004805764416,-1,0.38604819672379076,-1,-1,0.4337362795749462,-1,-0.5581784742811862,-1,0.48035870510685474,0.385620900745278,0.48694311439708116,0.02954063998552514,-1
grand,-1,-1,0.24971210935350507,0.12841669750063434,-1,-1,-1,0.3338078877750126,-1,-1,0.14649758962236703,0.40073866525673396,-1,0.13772853799993878,-1,0.02611859497694846,-1,-0.05499864500240115,-1,0.14157866813240838,0.22704657217202973,-1,0.20222454297682557,0.2890993106374198,-1,-1,-1,0.1578821279821382,-1,0.3183169272033499,-1,-1,0.23000628457743078,-1,-0.5333828267956828,-1,0.4366335275357146,0.31992612927653963,0.22538902144815665,-0.031248725323990145,-1
prix,-1,-1,0.04585867390578602,-0.016170196028707284,-1,-1,-1,0.2188894415940572,-1,-1,0.00825350476959763,0.24349917259746068,-1,0.01587527198329619,-1,-0.07516957927396772,-1,-0.05086344031115897,-1,-0.00014403433747744998,0.03645267443683731,-1,0.09965792523004713,0.22913735613774644,-1,-1,-1,0.09314261329236662,-1,0.23714244113724825,-1,-1,0.1240823670952913,-1,-0.4330474151952233,-1,0.3147010967310555,0.1874851803121651,0.22051838537309487,0.10550732222023729,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
