model,the,local,authorities,have,refused,to,allow,the,book,to,be,reprinted,to,prevent,incitement,of,hatred,although,the,book,was,so,widely,printed,during,the,war,that,it,remained,relatively,easily,available,.
manifesto,-1,0.3073523241337741,0.16050995150672875,-1,0.20866387256886854,-1,0.2487533989461177,-1,0.3397777501931223,-1,-1,-0.15818899035071765,-1,0.10678744684149455,-0.09853116778262239,-1,-0.061462849231137096,0.3112114231726454,-1,0.3397777501931223,-1,0.23590096300439312,0.17338993950446147,0.20998619397389573,-1,-1,0.1039352406849946,-1,-1,0.15123777219379098,0.027140607541869866,0.07086248300641573,0.14784589341506327,-1
mein,-1,-0.38290814413700236,-0.3275450941634055,-1,-0.17762309286400346,-1,-0.3211025765382145,-1,-0.15875033590900656,-1,-1,0.015985271667741774,-1,-0.29796460526396173,0.1860350118307449,-1,-0.16348832969403615,-0.4296493725294801,-1,-0.15875033590900656,-1,-0.4385547278493849,-0.29974909649992787,-0.15335019450354315,-1,-1,-0.19646762608156654,-1,-1,-0.3488284771270018,-0.34338623895234877,-0.24285204224372747,-0.4107268604281331,-1
kampf,-1,-0.47923659105168426,-0.4444014520038544,-1,-0.31576213618099347,-1,-0.41914495815906894,-1,-0.22294418428924145,-1,-1,0.08891918496678297,-1,-0.3607458843210225,0.16710024614433405,-1,-0.1847475800191396,-0.5330767648917756,-1,-0.22294418428924145,-1,-0.5134362621310085,-0.35589518398611153,-0.13392258294261783,-1,-1,-0.2200267095873114,-1,-1,-0.3504125507900484,-0.31172948632550646,-0.28630457907565754,-0.4025879408801991,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
available,-1,0.3580534024627423,0.3515118220916229,-1,0.3259870523588806,-1,0.43883092039675575,-1,0.3263529523873403,-1,-1,-0.05495037285857385,-1,0.2836548134131427,-0.069948196730377,-1,0.1254112977265368,0.49888658162978916,-1,0.3263529523873403,-1,0.4582263347509121,0.5128153109511722,0.32996198765689866,-1,-1,0.1814536530736648,-1,-1,0.2508785325344327,0.3002294766051067,0.46946224508217416,1.0,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
buy,-1,0.38979316223472593,0.39533262677966097,-1,0.5284306195416043,-1,0.6576473297845857,-1,0.47072130713347415,-1,-1,-0.20574248791784955,-1,0.45351815752057356,-0.06860113646545662,-1,0.1597059676292787,0.45916835481251184,-1,0.47072130713347415,-1,0.5400671199145275,0.196202148794839,0.3117176722088708,-1,-1,0.26726447989456736,-1,-1,0.17553786601405708,0.23523381724181203,0.4319394312903866,0.4921891692348461,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
germany,-1,0.24527770818157046,0.4166884110479253,-1,0.35812034602228027,-1,0.40265494127852564,-1,0.24144466558363753,-1,-1,-0.18509138823553561,-1,0.3711395936093851,0.1089316249374126,-1,0.17298930900294796,0.5449622600924422,-1,0.24144466558363753,-1,0.4283166978690721,0.23906142007164455,0.08105665341177415,-1,-1,0.4477586251576182,-1,-1,0.2673377407184322,0.17284059910535787,0.31746059784304914,0.26538034464241,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
