model,many,jewish,groups,have,welcomed,this,particular,publication,saying,it,is,important,to,have,access,to,a,critical,edition,to,help,explain,the,holocaust,reports,the,bbc,'s,damien,mcguinness,in,berlin,.
nazi,-1,0.38295927781876626,0.18585934270549198,-1,-0.015298029213506092,-1,0.1158812537174021,0.019216793022381107,0.08212059420416873,-1,-1,0.05265072466659371,-1,-1,-0.003390602211985616,-1,-1,-0.0022573592192294267,-0.08243558669568563,-1,-1,0.06559196708662718,-1,0.44723883928028596,-0.02629546065915722,-1,-0.0969963950392938,-1,0.12814712994235322,0.21104807414752913,-1,0.4004243162176747,-1
manifesto,-1,0.09178232382309703,0.2569062366499739,-1,0.426091197124956,-1,0.2338483184041258,0.41042591469038214,0.384379130758578,-1,-1,0.2741260376880257,-1,-1,0.10046675549932715,-1,-1,0.2291994996718678,0.3979629812895691,-1,-1,0.3443188451434235,-1,0.13689423515302646,0.20839038285680755,-1,0.25429905620345183,-1,0.05658358949520692,0.24236786178891767,-1,0.16621768012215843,-1
mein,-1,-0.13425209299141083,-0.3109242829389829,-1,-0.17229427421156518,-1,-0.33312936085352063,-0.13225399761501833,-0.3324837283025439,-1,-1,-0.3212411981161105,-1,-1,-0.4515201089249161,-1,-1,-0.28786777518206286,-0.14754188183745098,-1,-1,-0.14864055182920333,-1,0.0175155621271057,-0.32471387738378366,-1,-0.13992705145005147,-1,0.33247997451557665,0.31201196200061965,-1,0.16048164503346019,-1
kampf,-1,-0.26461826342451267,-0.42596869116094926,-1,-0.38207922556830054,-1,-0.4095768761512817,-0.1925173678805685,-0.48278178385970816,-1,-1,-0.39382958103090115,-1,-1,-0.45574541154491843,-1,-1,-0.34503233896933616,-0.15532944371626267,-1,-1,-0.28763284609210915,-1,-0.06769592825631054,-0.3993910226873818,-1,-0.2762454714830149,-1,0.19927536612775665,0.072979389370876,-1,0.3135034865160813,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
available,-1,0.07547640118050747,0.18195698196237708,-1,0.32443229201151624,-1,0.31381427195959466,0.2926485827135643,0.3035623711899922,-1,-1,0.3871797247481912,-1,-1,0.5855876611198234,-1,-1,0.3573440348735326,0.2636266425609147,-1,-1,0.18227131531135843,-1,0.116230310791955,0.33762215502372617,-1,0.34233777882496785,-1,0.021299870615247518,0.10864878789696764,-1,0.13703652508829067,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
buy,-1,0.35039651114670245,0.3001989849946709,-1,0.3029560247656129,-1,0.33492603507151,0.20192404235394212,0.4403870411797275,-1,-1,0.3465499924481801,-1,-1,0.6884169948401115,-1,-1,0.154388431900069,0.12782695086240192,-1,-1,0.4259417902257263,-1,0.15943166457970404,0.19783759634343068,-1,0.1916249597359676,-1,-0.06733573982439167,0.030826915483863293,-1,0.2072970624204863,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
germany,-1,0.30310311230142917,0.3595140224278355,-1,0.39707905719439374,-1,0.3520230258589623,0.21518787432752207,0.41679283057943906,-1,-1,0.36335094273227364,-1,-1,0.30530768272411546,-1,-1,0.1929838806212223,0.14292257740063297,-1,-1,0.23337307273790175,-1,0.17421228592237625,0.2937581277807083,-1,0.26845250206235205,-1,0.10202411735989514,0.35838650566720964,-1,0.4407905568021726,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
