model,under,european,copyright,law,the,rights,of,an,author,of,a,literary,or,artistic,work,runs,for,the,life,of,the,author,and,for,70,years,after,his,death,-,in,hitler,'s,case,on,30,april,1945,when,he,shot,himself,in,his,bunker,in,berlin,.
nazi,0.09668768023243102,0.263906527271097,0.24417821562195052,0.25983613583667786,-1,0.18875143343634548,-1,-1,0.016081843142391028,-1,-1,0.048532503266222826,-1,0.03621987418589656,-1,0.04146743175350731,-1,-1,0.14186245027561528,-1,-1,0.016081843142391028,-1,-1,0.1528384337787071,0.14625005618014475,-1,-1,0.3788429662163927,-1,-1,0.5323311839304654,-1,0.10176739032628968,-1,-0.007435532814476176,0.10238857230303977,0.3823101789349943,-1,-1,0.16862521542133824,0.11418424089937496,-1,-1,0.3445246641784805,-1,0.4004243162176747,-1
manifesto,0.20393383352023253,0.2824898140347202,0.12865755829299086,0.18940655311025856,-1,0.2645968893950714,-1,-1,0.34262248949711493,-1,-1,0.32489533588195596,-1,0.2970428927750772,-1,0.17246930067359423,-1,-1,0.13505633120025817,-1,-1,0.34262248949711493,-1,-1,0.09845550111014745,0.14771836090566293,-1,-1,0.021547802107050984,-1,-1,0.12900739894471602,-1,0.25712432150612774,-1,0.20781440430448173,0.343046441264822,0.2917129954053763,-1,-1,-0.1639658348119184,0.1306538909842596,-1,-1,0.033878912550217466,-1,0.16621768012215843,-1
mein,-0.31104469387959455,-0.3070892423189877,0.029037937760430288,-0.20479630204034338,-1,-0.2834477382329825,-1,-1,0.17741255456640892,-1,-1,-0.06448984653368184,-1,0.10457620566320736,-1,-0.3596240746965016,-1,-1,-0.34540667410700143,-1,-1,0.17741255456640892,-1,-1,-0.4000706368286562,-0.36753699050762756,-1,-1,-0.11789964837726719,-1,-1,0.2619705600350959,-1,-0.3221957536563649,-1,-0.4425023147925624,-0.35787764814634526,-0.03441709473934762,-1,-1,-0.31549406872024477,-0.24757972882706425,-1,-1,0.13083935412779368,-1,0.16048164503346019,-1
kampf,-0.35826060364370793,-0.37600566256270596,0.03263947380890864,-0.27850708404189417,-1,-0.36880152457497184,-1,-1,0.01443325460720224,-1,-1,-0.12010565626483771,-1,0.026029788776570695,-1,-0.335981394578186,-1,-1,-0.4336119847343918,-1,-1,0.01443325460720224,-1,-1,-0.40864458067672427,-0.4169928336769655,-1,-1,-0.21030220938282818,-1,-1,0.11184761378580499,-1,-0.43249493243508574,-1,-0.4672210154560046,-0.3715396830626234,-0.026320694082857754,-1,-1,-0.30109896497821675,-0.3168292291672241,-1,-1,0.2469043497351674,-1,0.3135034865160813,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
available,0.252227099787393,0.35652670070993775,0.1251850740163477,0.3185884760776897,-1,0.22575394521429315,-1,-1,0.14919919650749103,-1,-1,0.1417589897638093,-1,0.1389492766484376,-1,0.3751328438447341,-1,-1,0.3524527824561505,-1,-1,0.14919919650749103,-1,-1,0.38416632906342385,0.3334462013973525,-1,-1,0.15194647008660211,-1,-1,0.05285156048708717,-1,0.3390816686481408,-1,0.4129954431882943,0.37062252414904884,0.14161859328458237,-1,-1,0.16359187657702678,0.36594604369354866,-1,-1,-0.038782452165129655,-1,0.13703652508829067,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
buy,0.2893969387626343,0.35078735496301006,0.32573372408394097,0.43413790502127036,-1,0.32488558355120456,-1,-1,0.14327758600053675,-1,-1,0.040496304997923116,-1,0.09147291850420836,-1,0.3722052626908492,-1,-1,0.48102109626296063,-1,-1,0.14327758600053675,-1,-1,0.43713421577067324,0.3726570884262903,-1,-1,0.12455982477245975,-1,-1,0.16478117068627673,-1,0.26601815832423514,-1,0.36742764312023235,0.25952387724383885,0.08386635550990706,-1,-1,0.26937066078109173,0.3427903265239056,-1,-1,0.164938831987254,-1,0.2072970624204863,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
germany,0.25628814786891185,0.6395789709613424,0.14652986759439368,0.4493719600537478,-1,0.3679272807417959,-1,-1,0.08419915717185833,-1,-1,-0.004284350074468923,-1,0.006616628861128349,-1,0.33051521428925923,-1,-1,0.29382917920827256,-1,-1,0.08419915717185833,-1,-1,0.4472932223658206,0.4382374243390915,-1,-1,0.3498708321598343,-1,-1,0.38777002712851216,-1,0.3610538512934417,-1,0.35750785929319484,0.4897417644298312,0.38070011567149664,-1,-1,0.32356335788831125,0.2165219027947629,-1,-1,0.056112243280495244,-1,0.4407905568021726,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
