model,the,princess,of,wales,died,on,31,august,1997,in,paris,when,william,now,the,duke,of,cambridge,was,15,and,his,brother,was,12,.
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,0.5266411558337768,-1,0.3205088996672951,0.6738179626585684,-1,0.35431019858629376,0.32090618428719686,0.3590216432084268,-1,0.1810389190809507,-1,0.45499636303566215,-1,-1,0.30828512724129087,-1,0.279051336827298,-1,0.40918708670983417,-1,-1,0.7287012360380515,-1,0.40460039771489686,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,0.27861830912200847,-1,0.14347004595711432,0.32752038778920955,-1,0.3233137195117499,0.41911203112702333,0.29908720335980876,-1,0.25187740125409075,-1,0.18232069571034182,-1,-1,0.1920605360954738,-1,0.1328968731298812,-1,0.32368276789935124,-1,-1,0.29709408082404853,-1,0.35210547515262147,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20th,-1,0.2901053268243243,-1,0.16645652780639375,0.24332595083013953,-1,0.3439363080334642,0.39289206707446267,0.3962785926796091,-1,0.29660233832987093,-1,0.19429129092111408,-1,-1,0.0838333051578819,-1,0.03221008790656554,-1,0.34029432884531174,-1,-1,0.2630130610636552,-1,0.4044522268244266,-1
anniversary,-1,0.17799548065887816,-1,0.1380410579207616,0.13552141955927088,-1,0.2572400178567742,0.3231748750215746,0.25454423614496924,-1,0.267322278444299,-1,0.25956958163000377,-1,-1,0.11586263906858818,-1,-0.005795857654307346,-1,0.2699860577117221,-1,-1,0.2502722972883127,-1,0.3080883124481172,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
death,-1,0.27399202496160135,-1,0.26000784168460433,0.5362215016044009,-1,0.34299158916039785,0.33285086881759685,0.26957354520993126,-1,0.20293126699378017,-1,0.25849486534539945,-1,-1,0.17646404100649282,-1,0.19526489857992246,-1,0.3855107013958512,-1,-1,0.3822153603780345,-1,0.37907457815570367,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
