model,the,moment,she,saw,her,she,shouted,her,name,:,`,amina,amina,!,',she,gave,her,the,biggest,hug,ever,as,if,they,were,going,to,roll,on,the,ground,we,had,to,stabilise,them,.
years,-1,0.3858387682829596,-1,0.3902691148051105,-1,-1,0.08778220484560384,-1,0.44356020427660714,-1,-1,-0.11002406468574022,-0.11002406468574022,-1,-1,-1,0.2914951486784516,-1,-1,0.35229094031279184,0.04474483552516839,0.4091184856317144,-1,-1,-1,-1,0.4795512197043875,-1,0.17727657130326957,-1,-1,0.5046234160654316,-1,-1,-1,0.10015625492493163,-1,-1
ago,-1,0.3979921044662832,-1,0.45366577039248057,-1,-1,0.05662516829054265,-1,0.40347877364972173,-1,-1,-0.06465898699214834,-0.06465898699214834,-1,-1,-1,0.3339346368776346,-1,-1,0.3062139920822601,0.04151687411410321,0.39408507333264575,-1,-1,-1,-1,0.4930419754338977,-1,0.17033308475202136,-1,-1,0.46036293967165864,-1,-1,-1,0.06375286851101647,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,-1,0.5097654553702102,-1,0.28630672022118975,-1,-1,0.36744277291018235,-1,0.34729172116837104,-1,-1,0.056510750700308976,0.056510750700308976,-1,-1,-1,0.35020987172960716,-1,-1,0.25810097170316904,0.3323648509828949,0.271719119606592,-1,-1,-1,-1,0.3214751265608533,-1,0.09575830863312018,-1,-1,0.31836171222263987,-1,-1,-1,0.11662796272327358,-1,-1
reunion,-1,0.3113015236688943,-1,0.09128085939017949,-1,-1,0.003334710935600005,-1,0.19626262158297791,-1,-1,-0.05951017646589629,-0.05951017646589629,-1,-1,-1,-0.025657687773775972,-1,-1,0.22450499083580577,0.10261362365369575,0.16045445828061777,-1,-1,-1,-1,0.10318571395833787,-1,0.12444464034181624,-1,-1,0.21255320361145635,-1,-1,-1,0.062189416608665504,-1,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,0.36686965074773403,-1,0.43057438008338744,-1,-1,0.35333393826328663,-1,0.6392669847632395,-1,-1,0.35460344694310164,0.35460344694310164,-1,-1,-1,0.4737901499029302,-1,-1,0.22423072821295242,0.2639380666077811,0.3017619180779867,-1,-1,-1,-1,0.40802411747458767,-1,0.19830191402984731,-1,-1,0.34590917041726243,-1,-1,-1,0.044860835483432115,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
