model,a,spokesman,for,nigeria,'s,president,muhammadu,buhari,said,the,rescued,young,woman,would,be,brought,to,meet,the,head,of,state,before,being,helped,to,reintegrate,into,society,.
since,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capture,-1,0.11245040591291666,-1,0.23862149578869862,-1,0.13941809039974906,-0.05584421139938667,0.06124453593799539,-1,-1,0.22755260624714035,0.29777533643207243,0.19243632890458606,-1,-1,0.33545842823827154,-1,0.24904147301892254,-1,-0.0028912842129489302,-1,0.23797070700551348,-1,-1,0.4986519437703667,-1,0.08976136644755628,-1,0.21939369485447158,-1
two,-1,0.3085509435842757,-1,0.4663289627721411,-1,0.25828014895996887,-0.16039850686588464,0.0022017233514759482,-1,-1,0.5051909754037122,0.5322226029735607,0.47072257761665814,-1,-1,0.5173212139212868,-1,0.3756576039433158,-1,0.33141837057629453,-1,0.31910041272355116,-1,-1,0.4962405178121817,-1,-0.1888493267417095,-1,0.24269008777119683,-1
years,-1,0.283544279765932,-1,0.4531519650534416,-1,0.32828234286857283,-0.04338251807451865,0.13287633416548306,-1,-1,0.3665500331514131,0.5069042878473949,0.4338538553258642,-1,-1,0.5138553180251884,-1,0.31561028891419984,-1,0.3509140331132521,-1,0.3838111781930629,-1,-1,0.41820179849783523,-1,-0.21225011791137272,-1,0.3008703067649786,-1
ago,-1,0.31683956436756133,-1,0.4423241793111663,-1,0.3646258278609962,-0.0020445687913071,0.181328439295651,-1,-1,0.39067258480158285,0.4233313257493404,0.42753808314332165,-1,-1,0.4752810893237913,-1,0.3037123710249796,-1,0.2956901823338376,-1,0.37307538362812864,-1,-1,0.39039783585310395,-1,-0.22546426466508906,-1,0.27779133455862026,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
had,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emotional,-1,0.17695740132382753,-1,0.073420385298968,-1,0.21912099814694275,-0.06655026544105103,0.0222826182689414,-1,-1,0.21724175538691393,0.32548374684947745,0.27241187824819413,-1,-1,0.32538677176411523,-1,0.21221555565384742,-1,0.23035227058009744,-1,0.23378663443818637,-1,-1,0.20931880191376118,-1,-0.19798044849652197,-1,0.22690596440036392,-1
reunion,-1,-0.015070131276714527,-1,0.16152500702503736,-1,0.11707280688620902,0.14054396685895432,0.11491898139188572,-1,-1,0.19020972702954353,0.15025046493337757,0.24172394428624155,-1,-1,0.049109943063759265,-1,0.05762503087235571,-1,-0.03579292514798316,-1,0.2178790846403349,-1,-1,-0.04800454069828697,-1,-0.11253773332685535,-1,0.20965097780822795,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,0.4012942217766329,-1,0.3244371952641879,-1,0.3085375724098829,0.05013742373107999,0.2584980412699758,-1,-1,0.42489805056836705,0.608534926484568,0.6869871144954297,-1,-1,0.42029377282386504,-1,0.3402088758119538,-1,0.42046555546818565,-1,0.3229987720828337,-1,-1,0.41261082900975077,-1,-0.19749677415705658,-1,0.1899383384958382,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
