model,his,first,stop,kenya,has,seen,some,of,the,worst,islamist,violence,:,two,years,ago,gunmen,from,the,somali,militant,group,al-shabab,massacred,at,least,67,people,inside,nairobi,'s,westgate,shopping,mall,.
week,-1,-1,0.4967488813074519,0.43372389832161673,-1,0.5449180182001973,-1,-1,-1,0.3869596946959757,0.135108784682191,0.3837743456647985,-1,0.6318699402809922,0.6872817189349585,0.7776493979262232,0.20067195331728638,-1,-1,0.13415751737666426,0.19820703253559335,-1,0.14615295508886395,-0.05906878241306823,-1,0.5937376000514178,0.45686501364609056,0.5071659688182876,0.4411001271606121,0.27435247341474944,-1,-0.05065979257894582,0.33989317225776317,0.13099883686052372,-1
visiting,-1,-1,0.4535618334606908,0.4154767642940176,-1,0.43270178417360095,-1,-1,-1,0.29095393802687597,0.18234952400092785,0.2771924170311386,-1,0.45347764600430573,0.3638318461701522,0.4046693024697082,0.2509206474928791,-1,-1,0.28641145178114447,0.2210986860025541,-1,0.15454469235917123,0.11384006223488585,-1,0.340049516210722,0.268943622387693,0.526019885202294,0.4552231310282221,0.3520787211893789,-1,0.0697009512256026,0.3462934538883441,0.1928298457104185,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
refugee,-1,-1,0.264607718142168,0.38891403154138826,-1,0.1483299634851163,-1,-1,-1,0.320664784706696,0.32338800727144745,0.27151470431622204,-1,0.2966206744236026,0.26867383749484985,0.21163188894940133,0.07228119704571401,-1,-1,0.4115804660542336,0.38684365283645716,-1,0.34378442040531987,-0.14951898552019083,-1,0.24778745429414994,0.23054342721004306,0.3572556439775093,0.2092655008946771,0.38369587947154493,-1,0.0740215220544026,0.24544297372615909,0.18191684147703735,-1
camp,-1,-1,0.4219915170230777,0.4316378150530803,-1,0.32133676308480497,-1,-1,-1,0.38416037635434996,0.22927105363092803,0.3023694268913597,-1,0.41008950636005603,0.4094747529172498,0.37487639673717454,0.28885459236276934,-1,-1,0.26294218508853406,0.22383750626208898,-1,0.24887945047439763,-0.032627372962440226,-1,0.4034729315483476,0.30620372860122413,0.414188499206985,0.463508570398109,0.43566005002991126,-1,0.22432328100063392,0.38246721870626477,0.2939849092828557,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slum,-1,-1,-0.08595748150626337,0.05857444347403018,-1,-0.03811386794553706,-1,-1,-1,0.16446532611382625,0.015748413807809225,0.010783956726265975,-1,-0.08991077300834815,-0.14017736962232252,-0.14044215819168926,-0.029629406229130906,-1,-1,0.1527683144764127,0.05059480962502849,-1,-0.009420236135396332,-0.058936489221248056,-1,-0.09903672320419932,-0.08264335552418278,-0.020778074231939003,0.12715752862349472,0.36579003348588646,-1,0.3640279198654548,0.2936890846893352,0.38764736325437577,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mosque,-1,-1,0.19055134000347507,0.3242139510699582,-1,0.19576526136585726,-1,-1,-1,0.24197595641987368,0.22093854666663293,0.1194311455517616,-1,0.26503298417029875,0.117822238465224,0.19796536085263028,0.38547023984272766,-1,-1,0.3453027648497873,0.24702297198601186,-1,0.2934120212161784,0.031389523201461156,-1,0.23912542005730608,0.22338180488101056,0.2615061932051099,0.36451618401494223,0.5422805541365573,-1,0.41610491065832445,0.367027087736832,0.45708252814683126,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
