model,in,kenya,75,%,of,the,wealth,is,owned,by,around,1,%,of,the,population,so,pope,francis,'s,message,may,well,prove,popular,among,many,of,the,remaining,99,%,.
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,0.43372389832161673,0.3691899479468199,-1,-1,-1,0.19552445078923975,-1,0.3096742639963682,-1,0.5080026811494311,-1,-1,-1,-1,0.41505264412564336,0.5899194662478845,0.34873185387456385,0.2522094845523625,-1,0.36597709715670734,-1,0.47544757835720053,0.3096560261873078,0.41613111698498706,0.3883651257352827,-1,-1,-1,0.4289590348923884,0.3154636983130754,-1,-1
visiting,-1,0.4154767642940176,0.25949995761689015,-1,-1,-1,0.1795541748681192,-1,0.366490794560308,-1,0.3797600361585538,-1,-1,-1,-1,0.286361188521597,0.3400825319200471,0.31529510883405976,0.21702875370507824,-1,0.24165621677074556,-1,0.34563893839233906,0.20339016957358458,0.3489946850942407,0.5240774773312826,-1,-1,-1,0.2802796735787907,0.13306059967507744,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
refugee,-1,0.38891403154138826,0.2301735760172796,-1,-1,-1,0.30291031295330295,-1,0.3161994321162265,-1,0.28592290805108767,-1,-1,-1,-1,0.42698292855908226,0.19912422731506152,0.1986428997092069,0.37648461902222274,-1,0.08869479671004532,-1,0.15408254205009397,-0.03512513269852224,0.2931927621342929,0.25488854510304115,-1,-1,-1,0.1495821173551276,0.05852196319857328,-1,-1
camp,-1,0.4316378150530803,0.3309271313307359,-1,-1,-1,0.21585040921973797,-1,0.34117635147026903,-1,0.44897092149285633,-1,-1,-1,-1,0.33824814097758815,0.36844357719235754,0.19071235434979128,0.29631989412887605,-1,0.145188994106757,-1,0.2630466821862545,0.1586984751936935,0.25130285198237257,0.27263571102532647,-1,-1,-1,0.29124511733851044,0.07067906697251702,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slum,-1,0.05857444347403018,-0.08041265860196067,-1,-1,-1,0.12391672922327679,-1,0.03871406025850366,-1,0.007089394187188902,-1,-1,-1,-1,0.23958689275972644,-0.11226552681856927,-0.21329838877106266,-0.08578707394555796,-1,-0.10010196695203843,-1,-0.060950482302406295,-0.02119058829653353,0.18238964302997718,0.0010688530189419954,-1,-1,-1,0.0016979616857273339,-0.16372642370126633,-1,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mosque,-1,0.3242139510699582,0.19893325937725326,-1,-1,-1,0.10514194040278191,-1,0.3230943417066052,-1,0.23772194663285862,-1,-1,-1,-1,0.24983585432591582,0.13531499404946878,0.1628791872385128,0.18374731931713018,-1,0.08979565799018563,-1,0.09997851949702352,0.09791482086289749,0.2530854618960945,0.23491754498500172,-1,-1,-1,0.16196545867777923,0.039175144270698126,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
