model,his,capacity,to,look,beyond,europe,and,embrace,the,concerns,of,people,around,the,world,is,also,likely,to,endear,him,to,the,faithful,and,to,those,of,other,faiths,as,this,pope,from,the,southern,hemisphere,offers,a,message,of,hope,to,the,dispossessed,and,the,struggling,.
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,0.36026306132592034,-1,0.5730747662300102,0.399893601163096,0.5671826614439842,-1,0.20048020453692295,-1,0.44568519654393024,-1,0.5071659688182876,0.5080026811494311,-1,0.4472156941457006,-1,-1,0.6210916912656466,-1,-0.23493008551350347,-1,-1,-1,0.036415164095486396,-1,-1,0.49202803206777124,-1,-1,-0.06372297090744272,-1,-1,0.34873185387456385,-1,-1,0.43667564866032915,0.12459731084815173,0.3582865597716427,-1,0.36597709715670734,-1,0.5254080865512994,-1,-1,-0.1812691160756783,-1,-1,0.42990735490410736,-1
visiting,-1,0.18884899971571167,-1,0.34853416454235675,0.29054480476813116,0.4774222655089657,-1,0.22204329625516894,-1,0.28281426962589973,-1,0.526019885202294,0.3797600361585538,-1,0.2977814678719821,-1,-1,0.3589384394955817,-1,-0.15454664743732316,-1,-1,-1,0.25652171851834205,-1,-1,0.5170783650822387,-1,-1,0.1320464284639563,-1,-1,0.31529510883405976,-1,-1,0.44285814444955895,0.24432139048118662,0.2670363541279479,-1,0.24165621677074556,-1,0.3577207665546389,-1,-1,0.23034402945734422,-1,-1,0.5706172970237574,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
refugee,-1,0.2633498145643778,-1,0.1601728356788319,0.023016316960709826,0.4701379096863666,-1,0.1248098615673301,-1,0.3184269331003253,-1,0.3572556439775093,0.28592290805108767,-1,0.34110838029400137,-1,-1,0.211106049653072,-1,-0.43923304251883755,-1,-1,-1,0.18431046132080708,-1,-1,0.2776327555009661,-1,-1,0.060842428938498894,-1,-1,0.1986428997092069,-1,-1,0.5553796950448024,0.38790750550836806,0.24167161896265466,-1,0.08869479671004532,-1,0.12673464862050754,-1,-1,-0.3138075775288396,-1,-1,0.34490919574820955,-1
camp,-1,0.3768853368493591,-1,0.32614019742114375,0.2198007376371761,0.49369974075682177,-1,0.17923944230535827,-1,0.26880268312488553,-1,0.414188499206985,0.44897092149285633,-1,0.37353424661363743,-1,-1,0.3217081725523425,-1,-0.2608837520325866,-1,-1,-1,0.3378749368413322,-1,-1,0.35510794253723166,-1,-1,-0.028711746952208905,-1,-1,0.19071235434979128,-1,-1,0.49550819254409495,0.2315063084100124,0.16013984670972792,-1,0.145188994106757,-1,0.2785852353279171,-1,-1,-0.19120770103225992,-1,-1,0.3574318405400986,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slum,-1,0.11225760569123466,-1,-0.08122055588270416,-0.022604370863840373,0.18382988342694806,-1,0.03710327890139675,-1,-0.007252075024878124,-1,-0.020778074231939003,0.007089394187188902,-1,-0.024768264466884737,-1,-1,-0.03300164326042543,-1,-0.14737831051973327,-1,-1,-1,0.1855466593107714,-1,-1,-0.07157533503999902,-1,-1,0.07541925125812066,-1,-1,-0.21329838877106266,-1,-1,0.27496115971822754,0.3930396495818078,0.023894405366036486,-1,-0.10010196695203843,-1,-0.11811948378969661,-1,-1,-0.12074410134887548,-1,-1,0.04394949623130184,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mosque,-1,0.21572683568179396,-1,0.12386774629581787,0.08119704126176563,0.3095964078076947,-1,0.13271854472386035,-1,0.08926492291063759,-1,0.2615061932051099,0.23772194663285862,-1,0.18337482542167405,-1,-1,0.12072098770926443,-1,-0.29091679508277957,-1,-1,-1,0.40098673278218344,-1,-1,0.05947071410466942,-1,-1,0.07757829537343164,-1,-1,0.1628791872385128,-1,-1,0.3962458320125044,0.2660351150900184,0.11020809540780085,-1,0.08979565799018563,-1,0.2085261704082747,-1,-1,-0.04208953128261528,-1,-1,0.17446541027607332,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
