model,rose,told,sky,sports,:,``,it,was,what,the,doctor,ordered,and,has,got,me,right,where,i,want,to,be,going,into,tomorrow,.
rickie,0.00786402578127221,-1,0.08809399917347782,-0.11425304798126246,-1,-1,-1,-1,-1,-1,0.2295414034603872,-0.08872309071426998,-1,-1,0.0016049481876142524,-0.06029824338592782,-0.15605995866807576,-1,-1,-0.07173040263501851,-1,-1,-0.08671444885794255,-1,0.01778301050873765,-1
fowler,0.14978431868081254,-1,0.2291079284920995,-0.04353001758593922,-1,-1,-1,-1,-1,-1,0.3560298772122561,0.09795182083698739,-1,-1,0.10482170865144758,0.06517832757203967,0.0023284703397643547,-1,-1,-0.012544956135798868,-1,-1,0.01459521031808464,-1,0.11613339952632729,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,0.3067467020111243,-1,0.39809313424751736,0.400078586401694,-1,-1,-1,-1,-1,-1,0.43647144157544404,0.3909778740907486,-1,-1,0.5466998139875794,0.38569961248978313,0.3490796555147918,-1,-1,0.43071318281434834,-1,-1,0.45964619870199197,-1,0.27404253591878114,-1
strokes,0.1006796328310281,-1,0.10811098531917229,-0.013052085050214046,-1,-1,-1,-1,-1,-1,0.12901796009280342,0.021990496525856718,-1,-1,0.28545136813555694,0.16185944479229775,0.1583292143515307,-1,-1,0.12885472264130282,-1,-1,0.20954018975256006,-1,0.1391258304084093,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
third,0.4258824514595825,-1,0.42922176355928965,0.2644556649823143,-1,-1,-1,-1,-1,-1,0.4195243967688105,0.2571668948421588,-1,-1,0.4889237379675083,0.3505732102273914,0.40149330923570736,-1,-1,0.39465623280790174,-1,-1,0.5283950537986637,-1,0.2997313223006163,-1
round,0.28239105893936256,-1,0.36100290889904085,0.27396968009552713,-1,-1,-1,-1,-1,-1,0.2894203823035053,0.2299263755544214,-1,-1,0.482061432210543,0.3747393415236768,0.3138141712123935,-1,-1,0.3527599648527078,-1,-1,0.5345698900068409,-1,0.44075591106203127,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wells,0.2680168713470724,-1,0.23801317870698468,0.20930084708733854,-1,-1,-1,-1,-1,-1,0.1777094205045775,0.3217086717050974,-1,-1,0.09524235432406891,0.02294759288639525,0.06413226814072392,-1,-1,0.07095389451173928,-1,-1,0.10274549194727545,-1,0.11933029130724238,-1
fargo,0.17451950789685078,-1,0.062309923496173814,0.07468833813833498,-1,-1,-1,-1,-1,-1,-0.14930826199703962,0.14602982865644598,-1,-1,-0.20021538628887958,-0.2872021441094481,-0.22590788488467917,-1,-1,-0.22925192256710947,-1,-1,-0.18851722601948495,-1,-0.06545197177240825,-1
championship,0.30915844991651,-1,0.4989452843285669,0.40086015832564503,-1,-1,-1,-1,-1,-1,0.3573271817639889,0.1876086345784258,-1,-1,0.418203043621304,0.26178049502168954,0.367013269526991,-1,-1,0.3983916004165591,-1,-1,0.4321237631271275,-1,0.3058411524267213,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
